"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Деркач
Андрій
Леонідович","Доля
Олексій
Васильович","Кравченко
Світлана
Анатоліївна","Кубраков
Сергій
Володимирович","Любивий
Володимир
Анатолійович","Московченко
Віктор
Васильович","Петрук
Ольга
Андріївна","Семеніхін
Артем
Юрійович","Шульга
Микола
Іванович","Дата підписання протоколу"
"590135","159","Сумська область","сільський клуб, фойє
вул.Шевченко, 1, с.Ходине, Глухівський р-н, Сумська обл., 41476","342","116","336","32","201","25","226","","0","201","25","226","5","221","172","4","0","3","1","33","0","8","0","29.10.12"
"590136","159","Сумська область","ДНЗ ""Горобинка"", спортивний зал
вул.Ковйонська, 154, смт Шалигине, Глухівський р-н, Сумська обл., 41470","504","168","490","41","295","41","336","","0","295","41","336","7","329","284","2","3","2","0","23","3","11","1","29.10.12"
"590137","159","Сумська область","Шалигинська школа, фойє
вул.Шкільна, 2, смт Шалигине, Глухівський р-н, Сумська обл., 41470","1284","529","1261","56","700","55","755","","0","700","55","755","34","721","571","10","5","16","4","66","2","44","3","29.10.12"
"590138","159","Сумська область","сільський клуб, фойє
вул.Центральна, 61, с.Старикове, Глухівський р-н, Сумська обл., 41444","174","59","165","11","104","11","115","","0","104","11","115","5","110","98","1","0","0","0","7","2","2","0","29.10.12"
"590139","159","Сумська область","Соснівська школа, фойє
вул.Будьонного, 70, с.Соснівка, Глухівський р-н, Сумська обл., 41442","438","160","427","32","246","32","278","","0","246","32","278","5","273","211","2","5","7","1","19","5","18","5","29.10.12"
"590140","159","Сумська область","сільський клуб, глядацький зал
вул.Центральна, 91, с.Катеринівка, Глухівський р-н, Сумська обл., 41443","162","55","158","14","94","13","107","","0","94","13","107","5","102","96","0","1","1","0","2","0","2","0","29.10.12"
"590141","159","Сумська область","сільський клуб, фойє
вул.Радянська, 14А, с.Білокопитове, Глухівський р-н, Сумська обл., 41446","552","235","545","35","285","32","317","","0","285","32","317","8","309","193","4","6","8","3","46","2","45","2","29.10.12"
"590142","159","Сумська область","Сварківська школа, спортивний зал
вул.Леніна, 7, с.Сваркове, Глухівський р-н, Сумська обл., 41445","636","227","631","34","375","34","409","","0","375","34","409","20","389","326","6","9","3","0","21","2","20","2","29.10.12"
"590143","159","Сумська область","Черневська школа, фойє
вул.Пивоварова, 1А, с.Черневе, Глухівський р-н, Сумська обл., 41461","264","93","254","19","153","18","171","","0","153","18","171","4","167","147","2","0","5","0","6","0","7","0","29.10.12"
"590144","159","Сумська область","сільська рада, зал засідань
вул.Радянська, 100А, с.Перемога, Глухівський р-н, Сумська обл., 41460","876","342","857","55","479","55","534","","0","479","55","534","26","508","370","7","10","9","1","52","3","49","7","29.10.12"
