"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Балабан
Наталія
Володимирівна","Білоус
Василь
Васильович","Білоус
Інна
Василівна","Благодир
Андрій
Валерійович","Гінзбург
Ольга
Петрівна","Демидко
Віталій
Олегович","Молоток
Ігор
Федорович","Нога
Микола
Олександрович","Нога
Микола
Петрович","Петько
Сергій
Валентинович","Портянко
Максим
Андрійович","Ружина
Анастасія
Олегівна","Рябченко
Олег
Миколайович","Стриженко
Микола
Миколайович","Талала
Сергій
Миколайович","Ходькова
Аліна
Миколаївна","Яровий
Андрій
Михайлович","Дата підписання протоколу"
"590179","160","Сумська область","школа, фойє
вул.Будьонного, 27, с.Вирівка, Конотопський р-н, Сумська обл., 41630","1116","544","1071","76","510","62","572","","0","510","62","572","21","551","19","3","1","2","45","7","173","9","28","1","1","1","65","2","187","2","5","29.10.12"
"590180","160","Сумська область","Конотопський аграрний ліцей, к.26
вул.Заводська, 68, с-ще Заводське, Конотопський р-н, Сумська обл., 41631","1024","485","1016","52","488","51","539","","0","488","51","539","18","521","14","1","5","1","30","9","100","12","57","5","0","1","95","8","173","1","9","29.10.12"
"590200","160","Сумська область","навчально-виховний комплекс, спортивна зала
вул.Майдан Революції, 6, с.Мельня, Конотопський р-н, Сумська обл., 41640","292","82","285","33","179","31","210","","0","179","31","210","15","195","4","0","0","0","22","17","30","4","30","0","0","1","22","1","63","0","1","28.10.12"
"590207","160","Сумська область","сільський клуб, диско-зала
вул.Леніна, 20, с.Присеймів’я, Конотопський р-н, Сумська обл., 41642","180","52","182","32","100","28","128","","0","100","28","128","6","122","9","1","2","0","14","0","33","3","8","0","0","0","24","2","24","1","1","29.10.12"
"590208","160","Сумська область","навчально-виховний комплекс, актова зала
вул.Шевченка, 43, с.Чорноплатове, Конотопський р-н, Сумська обл., 41642","436","193","428","29","215","28","243","","0","215","28","243","9","234","11","1","2","0","12","2","95","4","13","0","0","0","20","0","71","0","3","29.10.12"
"590275","160","Сумська область","школа, фойє
вул.Чайківка, 7, с.Алтинівка, Кролевецький р-н, Сумська обл., 41346","1100","599","1078","36","469","32","501","","0","469","32","501","32","469","8","3","8","2","50","49","138","21","62","1","2","2","57","2","56","4","4","29.10.12"
"590279","160","Сумська область","будинок культури, актова зала
вул.Центральна, 16, с.Гречкине, Кролевецький р-н, Сумська обл., 41317","276","130","268","50","103","43","146","","0","103","43","146","1","145","1","0","1","0","5","6","35","18","42","0","0","0","4","1","29","2","1","29.10.12"
"590281","160","Сумська область","будинок культури, актова зала
вул.Мічуріна, 62, с.Добротове, Кролевецький р-н, Сумська обл., 41344","488","222","482","34","240","26","266","","0","240","26","266","4","262","2","0","3","0","24","22","87","21","55","0","1","1","7","0","37","0","2","29.10.12"
"590285","160","Сумська область","школа, актова зала
вул.Шлях, 1, с.Лапшине, Кролевецький р-н, Сумська обл., 41354","192","39","195","20","133","20","153","","0","133","20","153","5","148","0","0","0","0","12","6","60","4","34","1","0","0","4","0","27","0","0","29.10.12"
"590286","160","Сумська область","сільська рада, актова зала
вул.Леніна, 2, с.Ленінське, Кролевецький р-н, Сумська обл., 41354","756","304","736","40","413","39","452","","0","413","39","452","27","425","1","1","7","3","30","40","79","6","53","1","0","1","28","3","168","2","2","29.10.12"
