"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Андрусенко
Микола
Андрійович","Ващенко
Олександр
Григорович","Коломієць
Віталій
Миколайович","Моісеєнко
Віталій
Володимирович","Непочатов
Олександр
Миколайович","Позняк
Віталій
Степанович","Саєнко
Олександр
Іванович","Солдатенко
Надія
Олексіївна","Хоменко
Альберт
Анатолійович","Храпатий
Віктор
Федорович","Шульга
Володимир
Петрович","Ющенко
Петро
Андрійович","Дата підписання протоколу"
"590060","161","Сумська область","школа №3, спортивна зала
вул.Центральна, 1, м.Буринь, Буринський р-н, Сумська обл., 41700","2442","1284","2406","63","1100","58","1158","","0","1100","58","1158","67","1091","16","17","31","5","135","57","232","7","6","1","512","72","29.10.12"
"590061","161","Сумська область","районний будинок культури, фойє
пл.Першотравнева, 3, м.Буринь, Буринський р-н, Сумська обл., 41700","2364","1016","2330","35","1316","32","1348","","0","1297","32","1329","32","1297","22","31","52","7","114","48","237","17","8","2","688","71","29.10.12"
"590062","161","Сумська область","школа №2, зала їдальні
вул.Шевченка, 2, м.Буринь, Буринський р-н, Сумська обл., 41700","2250","1169","2237","35","1048","33","1081","","0","1048","33","1081","45","1036","20","19","40","9","74","54","156","6","1","4","489","164","29.10.12"
"590063","161","Сумська область","школа №1, спортивна зала
вул.Макаренка, 3, м.Буринь, Буринський р-н, Сумська обл., 41700","1950","935","1938","26","995","20","1015","","0","995","20","1015","26","989","15","21","36","5","124","41","161","8","6","6","489","77","29.10.12"
"590064","161","Сумська область","сільська рада, актова зала
вул.Шкільна, 1, с.Біжівка, Буринський р-н, Сумська обл., 41762","468","108","462","59","307","53","360","","0","307","53","360","9","351","3","14","6","5","19","7","78","2","0","5","177","35","29.10.12"
"590065","161","Сумська область","школа, кабінет 3-4 класів
вул.Шевченка, 8, с.Бурики, Буринський р-н, Сумська обл., 41745","84","20","80","13","51","13","64","","0","51","13","64","3","61","1","0","0","0","2","2","3","0","0","0","25","28","29.10.12"
"590066","161","Сумська область","філія школи, кабінет 2-3 класів
вул.Жовтнева, 51, с.Романчукове, Буринський р-н, Сумська обл., 41745","180","54","181","21","107","19","126","","0","107","19","126","4","122","0","1","4","2","7","9","41","2","0","2","15","39","29.10.12"
"590067","161","Сумська область","сільський клуб, фойє
вул.Гагаріна, 2, с.Верхня Сагарівка, Буринський р-н, Сумська обл., 41733","180","41","179","39","100","39","139","","0","100","39","139","2","137","1","2","2","0","5","12","49","0","0","0","60","6","29.10.12"
"590068","161","Сумська область","школа, фойє
вул.Паратівка, 3, с.Вознесенка, Буринський р-н, Сумська обл., 41742","396","121","392","32","248","27","275","","0","248","27","275","5","270","6","10","8","3","12","8","79","4","0","1","134","5","29.10.12"
"590069","161","Сумська область","школа, спортивна зала
вул.Шкільна, 9, с.Воскресенка, Буринський р-н, Сумська обл., 41734","702","246","692","77","382","74","456","","0","382","74","456","12","444","4","11","9","6","22","16","108","5","4","6","216","37","29.10.12"
"590070","161","Сумська область","навчально-виховний комплекс, фойє
вул.Заглобівка, 1, с.Гвинтове, Буринський р-н, Сумська обл., 41710","468","182","464","22","264","22","286","","0","264","22","286","20","266","6","14","9","8","22","32","78","6","1","1","73","16","29.10.12"
"590071","161","Сумська область","фельдшерський пункт, маніпуляційна
вул.Центральна, 4, с.Нечаївка, Буринський р-н, Сумська обл., 41710","108","42","102","3","63","3","66","","0","63","3","66","3","63","2","1","3","1","5","2","29","0","0","1","15","4","29.10.12"
"590072","161","Сумська область","навчально-виховний-комплекс, к.2
вул.Богдана Хмельницького, 3, с.Дяківка, Буринський р-н, Сумська обл., 41724","492","159","485","44","292","41","333","","0","292","41","333","11","322","4","4","12","1","29","14","71","3","0","0","69","115","29.10.12"
"590073","161","Сумська область","фельдшерсько-акушерський пункт, к.1
вул.Центральна, 1, с-ще Кошарське, Буринський р-н, Сумська обл., 41724","144","50","137","17","81","13","94","","0","81","13","94","4","90","3","3","3","2","3","8","27","0","0","0","23","18","29.10.12"
"590074","161","Сумська область","будинок культури, глядацька зала
вул.Сарничева, 1В, с.Жуківка, Буринський р-н, Сумська обл., 41750","522","156","508","26","343","23","366","","0","343","23","366","8","358","0","7","19","6","21","22","83","3","2","1","158","36","29.10.12"
"590075","161","Сумська область","сільська рада, обрядова зала
вул.Присеймівська, 30, с.Клепали, Буринський р-н, Сумська обл., 41723","606","224","591","65","323","59","382","","0","323","59","382","26","356","2","7","11","6","19","15","73","2","3","2","121","95","29.10.12"
"590076","161","Сумська область","навчально-виховний комплекс, спортивна зала
вул.Радянська, 5, с.Миколаївка, Буринський р-н, Сумська обл., 41736","420","155","410","18","247","18","265","","0","247","18","265","9","256","2","0","19","1","16","16","79","2","3","2","85","31","29.10.12"
"590077","161","Сумська область","школа, фойє
вул.Шкільна, 1, с.Бошівка, Буринський р-н, Сумська обл., 41737","258","87","244","5","166","5","171","","0","166","5","171","10","161","0","0","0","0","23","20","67","0","0","0","40","11","29.10.12"
"590078","161","Сумська область","школа №2, зала їдальні
вул.Леніна, 54, с.Михайлівка, Буринський р-н, Сумська обл., 41730","840","358","836","160","341","141","482","","0","341","141","482","8","474","3","5","13","2","28","16","118","4","0","1","258","26","29.10.12"
"590079","161","Сумська область","фельдшерський пункт, к.2
вул.Гагаріна, 1А, с.Нова Олександрівка, Буринський р-н, Сумська обл., 41730","84","15","80","13","57","12","69","","0","57","12","69","6","63","0","1","2","0","4","4","16","0","1","0","30","5","29.10.12"
"590080","161","Сумська область","навчально-виховний комплекс, спортивна зала
вул.Центральна, 59, с.Олександрівка, Буринський р-н, Сумська обл., 41713","324","87","323","27","211","26","237","","0","211","26","237","6","231","2","4","12","2","11","16","77","2","0","1","86","18","29.10.12"
"590081","161","Сумська область","школа, фойє
вул.Радянська, 5, с.Піски, Буринський р-н, Сумська обл., 41720","738","336","723","47","362","40","402","","0","362","40","402","11","391","2","6","1","6","30","24","78","4","1","1","218","20","29.10.12"
"590082","161","Сумська область","навчально-виховний комплекс, актова зала
вул.Солдатенка, 4, с.Слобода, Буринський р-н, Сумська обл., 41715","1044","464","1054","80","524","56","580","","0","524","56","580","23","557","10","7","15","13","44","31","88","15","4","3","295","32","29.10.12"
"590083","161","Сумська область","школа, актова зала
вул.Заводська, 6, с.Слобода, Буринський р-н, Сумська обл., 41715","888","394","891","44","450","44","494","","0","450","44","494","20","474","6","8","7","5","19","30","76","5","4","3","265","46","29.10.12"
"590084","161","Сумська область","навчально-виховний комплекс, фойє
вул.Калініна, 5, с.Сніжки, Буринський р-н, Сумська обл., 41760","420","93","415","52","281","46","327","","0","281","46","327","15","312","2","13","6","2","11","14","129","2","1","2","105","25","29.10.12"
"590085","161","Сумська область","сільська рада, актова зала
вул.Леніна, 4, с.Степанівка, Буринський р-н, Сумська обл., 41717","576","174","556","40","363","39","402","","0","363","39","402","12","390","4","6","13","3","54","36","64","3","3","4","174","26","29.10.12"
"590086","161","Сумська область","школа, коридор
вул.Чкалова, 15, с.Суховерхівка, Буринський р-н, Сумська обл., 41752","510","112","503","11","388","10","398","","0","388","10","398","5","393","3","7","7","5","15","58","111","2","1","0","151","33","28.10.12"
