"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Бова
Юрій
Анатолійович","Волощук
Віталій
Володимирович","Даниленко
Володимир
Андрійович","Дашутін
Григорій
Петрович","Купрейчик
Ірина
Валеріївна","Лепков
Олексій
Анатолійович","Федірко
Петро
Трохимович","Дата підписання протоколу"
"590096","162","Сумська область","будинок культури, фойє
вул.Леніна, 13, смт Велика Писарівка, Великописарівський р-н, Сумська обл., 42800","904","369","891","23","514","21","535","","0","514","21","535","22","512","28","3","109","196","168","5","3","29.10.12"
"590097","162","Сумська область","філія Охтирського професійного ліцею, кабінет, англ. мови, 2-й поверх
вул.Коцюбинського, 28, смт Велика Писарівка, Великописарівський р-н, Сумська обл., 42800","664","298","642","11","356","10","366","","0","356","10","366","7","359","26","3","83","106","134","2","5","29.10.12"
"590098","162","Сумська область","станція юнатів, класна кімната
вул.Жовтнева, 2, смт Велика Писарівка, Великописарівський р-н, Сумська обл., 42800","912","430","872","19","467","15","482","","0","467","15","482","26","456","46","9","81","182","133","2","3","29.10.12"
"590099","162","Сумська область","лікарня ветеринарної медицини, великий зал
вул.Кантемирівська, 8, смт Велика Писарівка, Великописарівський р-н, Сумська обл., 42800","1016","462","1011","16","538","16","554","","0","538","16","554","21","533","26","14","101","205","176","9","2","29.10.12"
"590100","162","Сумська область","філія ""Великописарівський райавтодор"", актова зала
вул.Сумська, 7, смт Велика Писарівка, Великописарівський р-н, Сумська обл., 42800","472","162","468","16","295","15","310","","0","295","15","310","23","287","11","3","48","141","76","2","6","29.10.12"
"590101","162","Сумська область","селищна рада, зал засідань
вул.Леніна, 12, смт Кириківка, Великописарівський р-н, Сумська обл., 42830","832","390","815","39","406","36","442","","0","406","36","442","26","416","29","5","92","125","161","0","4","29.10.12"
"590102","162","Сумська область","будинок культури, фойє
вул.Шевченка, 38, смт Кириківка, Великописарівський р-н, Сумська обл., 42830","632","243","634","66","323","66","389","","0","323","66","389","12","377","30","4","98","103","133","5","4","29.10.12"
"590103","162","Сумська область","кафе ""Форум"", великий зал
пров.Вокзальний, 27, смт Кириківка, Великописарівський р-н, Сумська обл., 42831","512","219","499","43","253","40","293","","0","253","40","293","8","285","33","4","44","102","96","3","3","29.10.12"
"590104","162","Сумська область","школа, спортивний зал
вул.Правдинська, 32, с.Заводське, Великописарівський р-н, Сумська обл., 42832","760","282","740","56","424","54","478","","0","424","54","478","17","461","40","4","41","154","217","0","5","29.10.12"
"590105","162","Сумська область","сільська рада, зал засідань
вул.Харківська, 1, с.Вищевеселе, Великописарівський р-н, Сумська обл., 42850","368","147","360","21","202","19","221","","0","202","19","221","9","212","15","0","37","107","51","2","0","29.10.12"
