"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Вадзюк
Степан
Несторович","Григорій
Микола
Євгенович","Давидович
Ярослав
Васильович","Кайда
Олексій
Петрович","Копак
Мирослав
Петрович","Кухар
Володимир
Богданович","Максимов
Віталій
Вікторович","Олійник
Юрій
Володимирович","Паразінський
Василь
Адольфович","Пастух
Тарас
Тимофійович","Ратушняк
Михайло
Михайлович","Стецюк
Володимир
Михайлович","Федик
Павло
Дмитрович","Дата підписання протоколу"
"611096","163","Тернопільська область","Тернопільський національний економічний університет, корпус 2, ауд.2112, 1-й поверх
майдан Перемоги, 3, м.Тернопіль, 46020","2478","1088","2445","18","1376","14","1390","","0","1376","14","1390","26","1364","8","5","13","755","4","8","250","50","15","106","127","6","17","29.10.12"
"611097","163","Тернопільська область","Тернопільський національний економічний університет, корпус 2, ауд.2111, 1-й поверх
майдан Перемоги, 3, м.Тернопіль, 46020","2490","1056","2462","9","1428","6","1434","","0","1428","6","1434","30","1404","13","5","15","805","7","5","227","93","8","78","126","4","18","29.10.12"
"611098","163","Тернопільська область","інститут агропромислового виробництва, фойє, 1-й поверх
вул.Тролейбусна, 12, м.Тернопіль, 46020","2412","969","2385","5","1438","5","1443","","0","1438","5","1443","30","1413","25","6","12","802","4","6","226","76","7","66","153","6","24","29.10.12"
"611099","163","Тернопільська область","КП ""Міська шляхо-експлуатаційна дільниця"", фойє, 1-й поверх
вул.Тролейбусна, 7А, м.Тернопіль, 46027","2520","1132","2302","16","1375","13","1388","","0","1375","13","1388","25","1363","26","5","14","792","2","6","210","62","14","105","108","6","13","29.10.12"
"611100","163","Тернопільська область","школа №9, фойє, 1-й поверх
вул.Макаренка, 1А, м.Тернопіль, 46027","2496","1123","2490","9","1368","5","1373","","0","1368","5","1373","31","1342","23","6","18","760","6","6","189","73","11","101","128","6","15","29.10.12"
"611101","163","Тернопільська область","Тернопільський національний педагогічний університет, фойє, 1-й поверх
вул.Максима Кривоноса, 2, м.Тернопіль, 46027","2172","1053","2167","3","1116","3","1119","","0","1116","3","1119","13","1106","12","3","7","654","4","3","176","43","4","67","116","2","15","29.10.12"
"611102","163","Тернопільська область","школа №16, фойє, 1-й поверх
вул.В. Винниченка, 2, м.Тернопіль, 46027","2520","956","2447","9","1556","8","1564","","0","1556","8","1564","37","1527","19","13","12","863","4","5","214","55","18","123","164","2","35","29.10.12"
"611103","163","Тернопільська область","корпус №7 Тернопільського національного педагогічного університету, фойє, 1-й поверх
вул.Петриківська, 11А, м.Тернопіль, 46009","2454","1008","2417","28","1423","23","1446","","0","1423","23","1446","39","1407","12","7","18","705","6","13","239","70","43","92","144","23","35","29.10.12"
"611104","163","Тернопільська область","інститут післядипломної освіти, фойє, 1-й поверх
вул.Максима Кривоноса, 7А, м.Тернопіль, 46018","2460","870","2437","49","1544","46","1590","","0","1544","46","1590","39","1551","21","2","17","862","4","8","249","70","27","106","143","11","31","29.10.12"
"611105","163","Тернопільська область","школа №12, фойє, 1-й поверх
вул.Юності, 1, м.Тернопіль, 46018","2382","889","2349","33","1465","28","1493","","0","1465","28","1493","37","1456","19","7","20","789","4","4","209","57","43","82","138","11","73","29.10.12"
