"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Бочаров
Михайло
Григорович","Будкевич
Андрій
Андрійович","Головко
Михайло
Йосифович","Гульовський
Володимир
Орестович","Клименко
Володимир
Олександрович","Ковальчук
Іван
Григорович","Липка
Василь
Іванович","Ломакович
Віталій
Афанасійович","Муц
Орест
Павлович","Негода
Любомир
Миколайович","Пліш
Іван
Едуардович","Самойлович
Костянтин
Альбінович","Тарасенко
Андрій
Іванович","Дата підписання протоколу"
"610328","164","Тернопільська область","магазин ПП Складанюк В.Д., торговий зал
вул.Івана Франка, бічна, 2А, с.Базаринці, Збаразький р-н, Тернопільська обл., 47305","516","129","521","22","365","22","387","","0","365","22","387","4","383","10","1","272","8","40","1","10","24","17","0","0","0","0","29.10.12"
"610329","164","Тернопільська область","сільський клуб, танцювальний зал, вул.Довга, 22, с.Тарасівка
вул.Довга, 24, с.Тарасівка, Збаразький р-н, Тернопільська обл., 47305","330","87","331","29","215","28","243","","0","215","28","243","8","235","6","2","116","6","45","1","10","22","27","0","0","0","0","29.10.12"
"610330","164","Тернопільська область","сільський клуб, концертний зал
вул.Лісова, 1, с.Чорний Ліс, Збаразький р-н, Тернопільська обл., 47305","114","25","114","7","82","7","89","","0","82","7","89","0","89","3","0","50","2","8","1","6","8","10","0","1","0","0","29.10.12"
"610331","164","Тернопільська область","школа, актова зала
вул.Шкільна, 12, с.Бодаки, Збаразький р-н, Тернопільська обл., 47323","798","310","789","62","427","61","488","","0","427","61","488","7","481","13","5","264","7","64","4","8","41","71","0","2","1","1","29.10.12"
"610332","164","Тернопільська область","сільський клуб, концертний зал
вул.Нова, 6, с.Бутин, Збаразький р-н, Тернопільська обл., 47313","468","176","469","37","255","37","292","","0","255","37","292","3","289","8","2","139","3","61","4","3","29","37","0","2","0","1","29.10.12"
"610333","164","Тернопільська область","будинок культури, концертний зал
вул.Кавказька, 13, с.Великі Вікнини, Збаразький р-н, Тернопільська обл., 47320","702","286","693","21","395","21","416","","0","395","21","416","11","405","6","4","140","16","133","1","1","35","64","2","2","0","1","29.10.12"
"610334","164","Тернопільська область","сільський клуб, концертний зал
вул.Миру, 1, с.Малі Вікнини, Збаразький р-н, Тернопільська обл., 47320","354","99","351","21","234","21","255","","0","234","21","255","1","254","5","3","108","5","89","1","1","17","24","0","0","1","0","29.10.12"
"610335","164","Тернопільська область","культурно-спортивний комплекс, фойє
вул.Сільська, 26, с.Котюжино, Збаразький р-н, Тернопільська обл., 47320","420","133","415","17","270","17","287","","0","270","17","287","8","279","3","3","125","6","71","2","0","15","49","3","1","0","1","29.10.12"
"610336","164","Тернопільська область","будинок культури, концертний зал
вул.Коцюбинського, 5В, с.Великий Кунинець, Збаразький р-н, Тернопільська обл., 47311","720","232","713","48","443","45","488","","0","443","45","488","19","469","6","2","208","8","128","6","3","34","70","1","1","1","1","29.10.12"
"610337","164","Тернопільська область","сільський клуб, концертний зал
вул.Гагаріна, 35, с.Малий Кунинець, Збаразький р-н, Тернопільська обл., 47311","168","59","162","22","97","12","109","","0","97","12","109","0","109","0","1","35","5","50","2","0","2","13","0","0","1","0","29.10.12"
"610338","164","Тернопільська область","школа, спортивний зал
вул.І.Франка, 66, с.Вищі Луб’янки, Збаразький р-н, Тернопільська обл., 47362","816","196","804","63","560","60","620","","0","560","60","620","12","608","8","2","326","70","159","3","2","23","14","1","0","0","0","29.10.12"
"610339","164","Тернопільська область","сільський клуб, концертний зал
вул.Богдана Хмельницького, 82, с.Новий Роговець, Збаразький р-н, Тернопільська обл., 47362","294","80","290","35","180","34","214","","0","180","34","214","1","213","1","0","118","5","37","0","0","12","40","0","0","0","0","29.10.12"
"610340","164","Тернопільська область","школа, фойє
вул.Грушевського, 21, смт Вишнівець, Збаразький р-н, Тернопільська обл., 47313","1800","782","1780","52","972","46","1018","","0","972","46","1018","23","995","13","4","482","19","178","4","5","127","158","1","2","1","1","29.10.12"
"610341","164","Тернопільська область","музична школа, фойє
пров.Богдана Хмельницького, 7, смт Вишнівець, Збаразький р-н, Тернопільська обл., 47313","1020","441","996","32","549","30","579","","0","549","30","579","20","559","21","4","244","31","82","9","8","64","95","1","0","0","0","29.10.12"
"610342","164","Тернопільська область","школа, актова зала
вул.Широка, школа, с.Гніздичне, Збаразький р-н, Тернопільська обл., 47332","888","292","878","88","517","79","596","","0","517","79","596","16","580","27","3","195","31","206","8","5","30","68","1","3","1","2","29.10.12"
"610343","164","Тернопільська область","школа, актова зала
вул.Івана Франка, школа, с.Хоми, Збаразький р-н, Тернопільська обл., 47332","168","35","173","23","111","22","133","","0","111","22","133","1","132","6","1","38","2","41","0","0","10","33","0","0","0","1","29.10.12"
"610344","164","Тернопільська область","сільський клуб, глядацький зал
вул.Центральна, сільський клуб, с.Чеснівський Раковець, Збаразький р-н, Тернопільська обл., 47332","204","53","197","26","128","23","151","","0","128","23","151","1","150","6","0","47","2","19","0","0","6","70","0","0","0","0","29.10.12"
