"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Баранов
Костянтин
Володимирович","Бойко
Володимир
Богданович","Бойко
Володимир
Іванович","Болєщук
Володимир
Михайлович","Вихрущ
Анатолій
Володимирович","Петровський
Володимир
Михайлович","Ткач
Володимир
Михайлович","Чайківський
Іван
Адамович","Шевченко
Лілія
Антонівна","Шевчук
Олексій
Панасович","Дата підписання протоколу"
"000001","165","Тернопільська область","клуб санаторію ""Барвінок""
вул.Манюки, 2, с.Мшанець, Зборівський р-н, Тернопільська обл., 47235","102","84","106","0","18","0","18","","0","18","0","18","2","16","1","4","1","1","1","6","0","0","1","1","28.10.12"
"000002","165","Тернопільська область","
вул.Князя Острозького, 9, м.Тернопіль","48","26","27","11","13","9","22","","0","13","9","22","0","22","0","10","0","4","1","4","0","2","1","0","28.10.12"
"610001","165","Тернопільська область","управління водного господарства, актова зала
вул.Січових Стрільців, 69, м.Бережани, Бережанський р-н, Тернопільська обл., 47501","1866","749","1861","13","1104","13","1117","","0","1104","13","1117","27","1090","7","403","29","62","23","358","21","167","17","3","29.10.12"
"610002","165","Тернопільська область","народний дім ""Просвіта"", актова зала
вул.Шевченка, 67, м.Бережани, Бережанський р-н, Тернопільська обл., 47501","768","258","782","9","502","8","510","","0","502","8","510","19","491","4","207","16","35","9","142","4","69","3","2","29.10.12"
"610003","165","Тернопільська область","школа №1, їдальня
вул.Гімназійна, 2, м.Бережани, Бережанський р-н, Тернопільська обл., 47501","1692","627","1717","43","1030","35","1065","","0","1030","35","1065","38","1027","28","408","29","67","25","251","13","192","12","2","29.10.12"
"610004","165","Тернопільська область","школа №2, каб.3
вул.Шевченка, 1, м.Бережани, Бережанський р-н, Тернопільська обл., 47201","774","305","787","10","459","10","469","","0","459","10","469","12","457","9","161","10","32","14","156","3","62","10","0","29.10.12"
"610005","165","Тернопільська область","школа-інтернат, їдальня
вул.Руська, 12, м.Бережани, Бережанський р-н, Тернопільська обл., 47501","792","331","775","14","448","13","461","","0","448","13","461","17","444","7","171","12","20","9","163","4","47","11","0","29.10.12"
"610006","165","Тернопільська область","районний будинок культури, актова зала
вул.Міцкевича, 4, м.Бережани, Бережанський р-н, Тернопільська обл., 47501","1602","655","1597","18","929","18","947","","0","929","18","947","38","909","12","325","22","72","22","306","13","115","17","5","29.10.12"
"610007","165","Тернопільська область","ВАТ ""Бережаниавтотранс"", актова зала
вул.Тернопільська, 9, м.Бережани, Бережанський р-н, Тернопільська обл., 47501","2190","861","2150","16","1314","15","1329","","0","1314","15","1329","39","1290","21","545","36","85","23","387","20","149","22","2","29.10.12"
"610008","165","Тернопільська область","полігон Бережанського агротехнічного інституту, актова зала
вул.Сонячна, 4, м.Бережани, Бережанський р-н, Тернопільська обл., 47501","1836","775","1835","34","1030","31","1061","","0","1030","31","1061","30","1031","16","391","33","123","18","321","9","111","8","1","29.10.12"
"610009","165","Тернопільська область","школа №3, фойє
вул.Садова, 5, м.Бережани, Бережанський р-н, Тернопільська обл., 47501","1578","548","1579","16","1015","15","1030","","0","1015","15","1030","22","1008","5","386","34","92","36","288","13","134","16","4","29.10.12"
"610010","165","Тернопільська область","народний дім, актова зала
вул.Шепети, 2, м.Бережани, Бережанський р-н, Тернопільська обл., 47501","708","220","706","14","474","14","488","","0","474","14","488","10","478","8","158","21","51","8","184","10","36","1","1","29.10.12"
"610011","165","Тернопільська область","народний дім, актова зала
вул.Раївська, 20, м.Бережани, Бережанський р-н, Тернопільська обл., 47501","666","241","663","6","419","6","425","","0","419","6","425","15","410","7","177","21","33","9","136","4","14","7","2","29.10.12"
"610012","165","Тернопільська область","народний дім, актова зала
вул.Шевченка, 82, с.Біще, Бережанський р-н, Тернопільська обл., 47512","384","107","380","34","243","34","277","","0","243","34","277","10","267","7","118","13","13","5","38","1","70","0","2","30.10.12"
"610013","165","Тернопільська область","народний дім, актова зала
вул.Лепкого, 58, с.Поручин, Бережанський р-н, Тернопільська обл., 47545","414","137","410","47","232","45","277","","0","232","45","277","11","266","15","123","9","6","3","46","6","58","0","0","29.10.12"
"610014","165","Тернопільська область","народний дім, актова зала
вул.Вічна, 1, с.Божиків, Бережанський р-н, Тернопільська обл., 47535","462","183","457","45","237","42","279","","0","237","42","279","10","269","1","100","8","39","8","63","6","43","0","1","29.10.12"
