"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Апостол
Михайло
Володимирович","Давиденко
Андрій
Анатолійович","Люшняк
Микола
Володимирович","Півторак
Роман
Євстахійович","Савчук
Михайло
Дмитрович","Стецюк
Тетяна
Іванівна","Хоптян
Надія
Андріївна","Дата підписання протоколу"
"610132","166","Тернопільська область","сільська рада, зал засідань
вул.Місто, 16, с.Бариш, Бучацький р-н, Тернопільська обл., 48424","744","173","756","52","523","48","571","","0","523","48","571","10","561","289","77","124","5","4","1","61","29.10.12"
"610133","166","Тернопільська область","будинок культури, танцювальний зал
вул.Місто, 36, с.Бариш, Бучацький р-н, Тернопільська обл., 48424","880","272","870","46","564","44","608","","0","564","44","608","15","593","381","66","108","2","4","5","27","29.10.12"
"610134","166","Тернопільська область","сільський клуб, глядацький зал
вул.Гутишино, 27, с.Бариш, Бучацький р-н, Тернопільська обл., 48424","128","35","128","11","83","10","93","","0","83","10","93","2","91","45","13","26","0","1","1","5","29.10.12"
"610135","166","Тернопільська область","сільський клуб, глядацький зал
вул.Центральна, 52, с.Берем’яни, Бучацький р-н, Тернопільська обл., 48464","512","168","507","54","291","53","344","","0","291","53","344","17","327","82","109","61","5","6","7","57","29.10.12"
"610136","166","Тернопільська область","будинок культури, глядацький зал
вул.Центральна, 3, с.Бобулинці, Бучацький р-н, Тернопільська обл., 48472","552","144","545","33","376","32","408","","0","376","32","408","9","399","92","167","82","3","2","2","51","29.10.12"
"610137","166","Тернопільська область","філія ""Бучацький райавтодор"", актова зала
вул.Генерала Шухевича, 61, м.Бучач, Бучацький р-н, Тернопільська обл., 48400","400","131","392","2","267","2","269","","0","267","2","269","20","249","83","47","89","0","7","7","16","30.10.12"
"610138","166","Тернопільська область","школа №3, актова зала
вул.Дорошенка, 4, м.Бучач, Бучацький р-н, Тернопільська обл., 48400","1032","355","1007","30","647","30","677","","0","647","30","677","11","666","311","123","172","0","19","4","37","28.10.12"
"610139","166","Тернопільська область","бібліотека, фойє
вул.Галицька, 21, м.Бучач, Бучацький р-н, Тернопільська обл., 48400","1272","449","1247","35","788","35","823","","0","788","35","823","18","805","352","147","230","4","19","17","36","29.10.12"
"610140","166","Тернопільська область","будинок культури, глядацький зал №2
вул.Шкільна, 8, м.Бучач, Бучацький р-н, Тернопільська обл., 48400","1192","456","1170","34","705","31","736","","0","705","31","736","13","723","305","140","199","11","11","4","53","29.10.12"
"610141","166","Тернопільська область","Бучацький лісозавод, актова зала
вул.Галицька, 145, м.Бучач, Бучацький р-н, Тернопільська обл., 48400","776","242","766","20","515","19","534","","0","515","19","534","13","521","216","102","171","3","8","0","21","29.10.12"
