"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Бедриківський
Володимир
Володимирович","Білаш
Михайло
Федорович","Ваврик
Олег
Володимирович","Величко
Володимир
Омелянович","Віват
Іван
Осипович","Козак
Тарас
Мирославович","Петренко
Сергій
Петрович","Полянчич
Михайло
Михайлович","Скакун
Людмила
Петрівна","Стойко
Іван
Михайлович","Холоднюк
Павло
Васильович","Чижмарь
Юрій
Васильович","Чубак
Василь
Володимирович","Дата підписання протоколу"
"000001","167","Тернопільська область","актовий зал установи
вул.Л.Українки, 3, м. Чортків, Тернопільська обл., 48500","384","85","300","6","293","6","299","","0","293","6","299","32","267","131","3","33","10","4","12","16","2","6","11","3","9","27","29.10.12"
"610055","167","Тернопільська область","будинок культури, глядацький зал
вул.Центральна, 12, с.Бабинці, Борщівський р-н, Тернопільська обл., 48744","606","171","601","36","399","36","435","","0","399","36","435","9","426","51","0","21","27","6","25","0","23","6","128","1","95","43","29.10.12"
"610056","167","Тернопільська область","сільський клуб, глядацькй зал
вул.Нижня Бережанська, 661, с.Бережанка, Борщівський р-н, Тернопільська обл., 48720","156","36","150","12","109","11","120","","0","109","11","120","4","116","30","7","7","3","1","6","2","5","1","28","1","14","11","29.10.12"
"610057","167","Тернопільська область","школа, кл.3
вул.Головна Долішня, 25А, с.Білівці, Борщівський р-н, Тернопільська обл., 48761","396","69","395","29","300","27","327","","0","300","27","327","8","319","47","0","1","8","2","6","0","7","7","184","0","47","10","29.10.12"
"610058","167","Тернопільська область","школа, їдальня
вул.Махнівка, 35, с.Більче-Золоте, Борщівський р-н, Тернопільська обл., 48733","1506","468","1485","118","921","117","1038","","0","921","117","1038","26","1012","203","1","67","30","9","122","3","15","14","360","8","115","65","29.10.12"
"610059","167","Тернопільська область","школа, спортивний зал
вул.Центральна, 109, с.Боришківці, Борщівський р-н, Тернопільська обл., 48762","486","124","479","36","327","35","362","","0","327","35","362","5","357","58","0","9","1","5","65","3","20","2","46","2","125","21","28.10.12"
"610060","167","Тернопільська область","школа мистецтв, фойє
вул.Січових Стрільців, 1, м.Борщів, Борщівський р-н, Тернопільська обл., 48702","1416","630","1398","10","776","10","786","","0","776","10","786","25","761","136","14","55","32","18","46","3","22","23","287","5","30","90","29.10.12"
"610061","167","Тернопільська область","будинок культури, фойє
вул.Грушевського, 2А, м.Борщів, Борщівський р-н, Тернопільська обл., 48702","2214","931","2181","14","1271","12","1283","","0","1271","12","1283","34","1249","193","18","61","109","26","118","8","31","20","483","10","47","125","29.10.12"
"610062","167","Тернопільська область","школа №1, фойє
вул.Шевченка, 10, м.Борщів, Борщівський р-н, Тернопільська обл., 48702","1668","693","1654","8","967","8","975","","0","967","8","975","17","958","137","6","91","39","14","74","5","10","14","384","4","68","112","29.10.12"
"610063","167","Тернопільська область","філія Товстенського ПСГ ліцею, спортивний зал
вул.Шухевича, 14, м.Борщів, Борщівський р-н, Тернопільська обл., 48702","2154","901","2129","26","1228","25","1253","","0","1228","25","1253","13","1240","164","12","75","74","18","79","5","20","18","534","7","79","155","29.10.12"
"610064","167","Тернопільська область","клуб цукрового заводу, глядацький зал
вул.В.Великого, 10, м.Борщів, Борщівський р-н, Тернопільська обл., 48720","1086","395","1084","15","677","14","691","","0","677","14","691","6","685","167","2","26","34","4","82","7","21","9","201","0","31","101","29.10.12"
"610065","167","Тернопільська область","загальноосвітня школа, бібліотека
вул. Шкільна, 52В, с.Бурдяківці, Борщівський р-н, Тернопільська обл., 48715","828","250","820","94","489","89","578","","0","489","89","578","14","564","92","5","22","19","8","47","2","42","7","216","1","78","25","28.10.12"
"610066","167","Тернопільська область","сільський клуб, глядацький зал
вул.Центральна, 1, с.Вербівка, Борщівський р-н, Тернопільська обл., 48726","162","38","158","12","112","12","124","","0","112","12","124","4","120","45","1","2","9","0","13","0","0","0","17","0","19","14","29.10.12"
"610067","167","Тернопільська область","сільський клуб, глядацький зал
вул.С.Бандери, 2, с.Верхняківці, Борщівський р-н, Тернопільська обл., 48763","546","175","539","28","343","28","371","","0","343","28","371","8","363","59","3","9","11","1","42","0","7","13","114","2","35","67","28.10.12"
"610068","167","Тернопільська область","школа, фойє
вул.Січових Стрільців, 41, с.Вигода, Борщівський р-н, Тернопільська обл., 48758","318","87","318","20","211","20","231","","0","211","20","231","2","229","47","2","9","3","7","12","2","32","6","53","1","42","13","29.10.12"
"610069","167","Тернопільська область","сільський клуб, фойє
вул.Лесі Українки, 1, с.Висічка, Борщівський р-н, Тернопільська обл., 48764","450","133","448","8","309","8","317","","0","309","8","317","5","312","34","3","2","57","0","16","3","22","3","67","1","70","34","28.10.12"
