"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Балута
Ігор
Миронович","Бартащук
Віталій
Олексійович","Жван
Вікторія
Вікторівна","Коновалов
Сергій
Миколайович","Котляр
Андрій
Олексійович","Кошель
Володимир
Іванович","Майорченко
Віктор
Нестерович","Осетров
Олександр
Павлович","Писаренко
Валерій
Володимирович","Дата підписання протоколу"
"631089","168","Харківська область","школа №159, вестибюль, 1-й поверх
просп.Перемоги, 67Б, м.Харків, 61174","2226","1079","2202","10","1139","8","1147","","0","1139","8","1147","63","1084","315","12","27","10","19","21","26","182","472","29.10.12"
"631090","168","Харківська область","школа №159, спортзала, 1-й поверх
просп.Перемоги, 67Б, м.Харків, 61174","2064","984","2042","14","1069","11","1080","","0","1069","11","1080","72","1008","291","25","23","15","19","22","29","164","420","29.10.12"
"631091","168","Харківська область","школа №159, їдальня, 1-й поверх
просп.Перемоги, 67Б, м.Харків, 61174","2022","968","2007","18","1040","14","1054","","0","1040","14","1054","74","980","229","23","19","14","20","13","24","158","480","29.10.12"
"631092","168","Харківська область","ліцей №149, 1-й поверх
просп.Перемоги, 67А, м.Харків, 61174","2010","954","1996","12","1047","9","1056","","0","1046","9","1055","73","982","314","15","18","19","18","15","29","176","378","29.10.12"
"631093","168","Харківська область","ліцей №149, 1-й поверх
просп.Перемоги, 67А, м.Харків, 61174","2058","983","2042","9","1067","8","1075","","0","1067","8","1075","83","992","321","19","21","18","16","11","23","158","405","29.10.12"
"631094","168","Харківська область","ліцей №149, 1-й поверх
просп.Перемоги, 67А, м.Харків, 61174","2040","1006","2029","16","1019","15","1034","","0","1019","15","1034","85","949","315","7","24","17","13","17","31","146","379","29.10.12"
"631095","168","Харківська область","Інститут банк. справи, 1-й поверх
просп.Перемоги, 55, м.Харків, 61174","2166","879","2220","2","1285","2","1287","","0","1285","2","1287","80","1207","235","43","45","33","32","43","25","80","671","29.10.12"
"631096","168","Харківська область","Проф. ліцей будівництва, 1-й поверх
просп.Перемоги, 55В, м.Харків, 61174","2118","742","2214","0","1376","0","1376","","0","1376","0","1376","163","1213","271","60","69","19","71","43","29","59","592","29.10.12"
"631097","168","Харківська область","Міська поліклініка №8, 1-й поверх
просп.Перемоги, 53, м.Харків, 61174","2202","948","2216","6","1250","4","1254","","0","1250","4","1254","112","1142","227","41","36","13","28","20","21","81","675","29.10.12"
"631098","168","Харківська область","школа №125, 1-й поверх
бульв.Фронтовиків, 1, м.Харків, 61051","2124","1017","2108","33","1078","29","1107","","0","1078","29","1107","88","1019","299","19","24","12","16","12","15","168","454","29.10.12"
