"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Бережна
Ірина
Григоріївна","Білогрищенко
Андрій
Іванович","Кірш
Олександр
Вікторович","Почапський
Максим
Дмитрович","Сидорченко
Віктор
Олександрович","Старих
Олег
Анатолійович","Стеценко
Ігор
Олександрович","Дата підписання протоколу"
"631231","169","Харківська область","Харківський Автотранспортний технікум ім.С.Орджонікідзе, актовий зал, 1-й поверх
майдан Конституції, 28, м.Харків, 61003","1904","888","1914","24","996","20","1016","","0","996","20","1016","61","955","305","28","420","10","145","21","26","29.10.12"
"631232","169","Харківська область","школа №5, коридор, 1-й поверх
вул.Іванова, 19/21, м.Харків, 61002","1912","855","1914","23","1036","21","1057","","0","1036","21","1057","35","1022","332","28","495","17","108","21","21","29.10.12"
"631233","169","Харківська область","ХНТУСГ, буфет, 1-й поверх
вул.Артема, 44, м.Харків, 61002","2072","905","2056","26","1151","16","1167","","0","1151","16","1167","53","1114","327","34","535","18","153","27","20","29.10.12"
"631234","169","Харківська область","ННЦ ""Інститут метрології"", 2-й поверх
вул.Мироносицька, 42, м.Харків, 61002","1952","892","1935","34","1036","24","1060","","0","1036","24","1060","39","1021","337","30","479","23","119","20","13","29.10.12"
"631235","169","Харківська область","Палац студентів ""ХПІ"", коридор, 1-й поверх
вул.Пушкінська, 79, м.Харків, 61024","1976","877","1955","32","1072","27","1099","","0","1070","27","1097","51","1046","390","32","422","16","147","20","19","29.10.12"
"631236","169","Харківська область","Харківський педагогічний ліцей №4, коридор, 1-й поверх
вул.Лермонтовська, 15/17, м.Харків, 61024","2256","891","2226","20","1347","18","1365","","0","1347","18","1365","86","1279","428","47","566","35","143","30","30","29.10.12"
"631237","169","Харківська область","Палац студентів НТУ ""ХПІ"", актовий зал, 1-й поверх
вул.Пушкінська, 79, м.Харків, 61024","2176","1180","2172","2","994","2","996","","0","994","2","996","181","815","368","50","161","48","97","49","42","29.10.12"
"631238","169","Харківська область","Навчальний корпус НЮАУ ім.Я.Мудрого, хол
вул.Пушкінська, 106, м.Харків, 61023","1752","483","1854","4","1265","4","1269","","0","1265","4","1269","161","1108","437","52","409","50","68","65","27","29.10.12"
"631239","169","Харківська область","гуртожиток №5 автомобільно-дорожнього університету, актовий зал, 1-й поверх
пров.Студентський, 10, м.Харків, 61024","2032","910","2019","3","1119","3","1122","","0","1119","3","1122","144","978","491","52","230","38","107","33","27","29.10.12"
"631240","169","Харківська область","Центр підготовки іноземних громадян НТУ ""ХПІ"", вестибюль, 1-й поверх
вул.Весніна, 5, м.Харків, 61023","2256","898","2292","26","1338","20","1358","","0","1338","20","1358","94","1264","509","38","504","23","107","31","52","29.10.12"
"631241","169","Харківська область","НТУ ""Харківський політехнічний інститут"", навчальний корпус №2, буфет, 1-й поверх
вул.Червонопрапорна, 16, м.Харків, 61002","1960","915","1952","23","1025","20","1045","","0","1025","20","1045","44","1001","283","32","507","19","119","25","16","29.10.12"
"631242","169","Харківська область","Харківська національна академія міського господарства, 1-й поверх
вул.Революції, 12, м.Харків, 61002","2032","913","2022","21","1102","17","1119","","0","1102","17","1119","54","1065","287","42","552","8","123","23","30","29.10.12"
"631243","169","Харківська область","Харківський технологічний ліцей №9, коридор, 1-й поверх
вул.Громадянська, 22/26, м.Харків, 61057","2088","1042","2055","29","1023","23","1046","","0","1023","23","1046","47","999","325","33","461","12","123","22","23","29.10.12"
"631244","169","Харківська область","Культурно-спортивний комплекс ""Комунар"", 1-й поверх
вул.Рудика, 2, м.Харків, 61070","2064","1102","2039","11","951","11","962","","0","951","11","962","49","913","384","34","236","9","206","20","24","29.10.12"
"631245","169","Харківська область","Культурно-спортивний комплекс ""Комунар"", 1-й поверх
вул.Рудика, 2, м.Харків, 61070","2112","1055","2098","16","1046","11","1057","","0","1045","11","1056","116","940","401","38","269","11","179","31","11","29.10.12"
"631246","169","Харківська область","школа №100, актовий зал, 1-й поверх
вул.Лісопарківська, 111, м.Харків, 61070","2024","991","2007","34","1004","29","1033","","0","1004","29","1033","81","952","386","30","303","17","174","14","28","29.10.12"
"631247","169","Харківська область","школа №52, актовий зал, 1-й поверх
вул.Старошишківська, 8, м.Харків, 61070","2392","1227","2366","23","1146","19","1165","","0","1146","19","1165","60","1105","505","48","304","7","182","27","32","29.10.12"
"631248","169","Харківська область","школа №52, спортивний зал, 1-й поверх
вул.Старошишківська, 8, м.Харків, 61070","2288","1281","2273","17","996","11","1007","","0","996","11","1007","69","938","406","31","308","8","141","15","29","29.10.12"
"631249","169","Харківська область","Дитячий садок №413, спальна кімната, 1-й поверх
вул.Саперна, 10, м.Харків, 61070","2440","1229","2409","13","1199","12","1211","","0","1199","12","1211","64","1147","475","55","347","17","187","22","44","29.10.12"
"631250","169","Харківська область","НАУ ім.М.Є.Жуковського ""ХАІ"", учбовий корпус літакобудівного факультету, хол
вул.Чкалова, 17, м.Харків, 61070","1544","668","1511","21","860","16","876","","0","860","16","876","46","830","383","36","219","12","132","23","25","29.10.12"
"631251","169","Харківська область","НАУ ім.М.Є.Жуковського ""ХАІ"", гуртожиток №2, актовий зал
вул.Чкалова, 11, м.Харків, 61070","2096","817","2079","22","1259","20","1279","","0","1259","20","1279","93","1186","611","39","253","41","147","44","51","29.10.12"
"631252","169","Харківська область","НАУ ім.М.Є.Жуковського ""ХАІ"", учбовий корпус радіотехнічного факультету, хол
вул.Чкалова, 17, м.Харків, 61070","1656","753","1648","6","900","3","903","","0","900","3","903","72","831","342","37","235","34","116","32","35","29.10.12"
