"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Авдєєва
Лілія
Геннадіївна","Александровська
Алла
Олександрівна","Карбань
Ігор
Семенович","Котуков
Олександр
Анатолійович","Святаш
Дмитро
Володимирович","Середа
Анатолій
Миколайович","Тарасенко
Анатолій
Володимирович","Дата підписання протоколу"
"000001","170","Харківська область","навчальний клас установи
вул. І. Камишева, 35, м. Харків, 61038","72","51","41","0","21","0","21","","0","21","0","21","1","20","3","4","0","0","11","2","0","28.10.12"
"631422","170","Харківська область","клуб ""Етюд"", зала для гри в теніс
просп.Московський, 193, м.Харків, 61037","848","360","845","14","475","13","488","","0","475","13","488","17","471","101","91","7","85","159","14","14","29.10.12"
"631423","170","Харківська область","школа №98, їдальня
вул.Писемського, 5, м.Харків, 61054","2120","1166","2104","20","937","17","954","","0","937","17","954","24","930","236","203","16","114","315","19","27","29.10.12"
"631424","170","Харківська область","школа №98, спортивна зала
вул.Писемського, 5, м.Харків, 61054","2240","1161","2213","18","1066","13","1079","","0","1066","13","1079","38","1041","236","243","15","131","371","25","20","29.10.12"
"631425","170","Харківська область","гімназія №43, 1-й поверх, рекреація
шосе Салтівське, 121/2, м.Харків, 61038","1240","613","1232","13","618","9","627","","0","618","9","627","22","605","145","122","9","82","215","15","17","29.10.12"
"631426","170","Харківська область","школа №8, 2-й поверх, рекреація
шосе Салтівське, 61, м.Харків, 61038","2232","1315","2274","23","898","19","917","","0","898","19","917","49","868","175","160","23","118","328","28","36","29.10.12"
"631427","170","Харківська область","школа №8, 3-й поверх, рекреація
шосе Салтівське, 61, м.Харків, 61038","2016","1126","2019","21","875","15","890","","0","875","15","890","50","840","181","179","9","119","311","27","14","29.10.12"
"631428","170","Харківська область","вечірня школа №5, актова зала
вул.Маршала Батицького, 2, м.Харків, 61038","1872","1139","1851","11","726","7","733","","0","726","7","733","36","697","140","154","13","66","257","47","20","29.10.12"
"631429","170","Харківська область","Харківський професійний будівельний ліцей, актова зала
вул.Камишева Івана, 16/12, м.Харків, 61038","1944","1054","1929","14","878","12","890","","0","878","12","890","39","851","140","179","19","120","336","30","27","29.10.12"
"631430","170","Харківська область","гуртожиток ""Турбоатом"", 1-й поверх, вестибюль
вул.Маршала Батицького, 20, м.Харків, 61038","2312","1440","2254","10","863","9","872","","0","862","9","871","44","827","176","185","21","112","274","27","32","29.10.12"
"631431","170","Харківська область","школа №97, 1-й поверх, рекреація
вул.Гвардійців-Широнінців, 5Г, м.Харків, 61153","2072","1076","2040","13","986","10","996","","0","986","10","996","38","958","217","160","14","90","450","15","12","29.10.12"
"631432","170","Харківська область","школа №97, спортивна зала
вул.Гвардійців-Широнінців, 5Г, м.Харків, 61153","2328","1158","2307","10","1164","6","1170","","0","1162","6","1168","40","1128","207","193","16","119","553","18","22","29.10.12"
"631433","170","Харківська область","школа №97, 2-й поверх, рекреація
вул.Гвардійців-Широнінців, 5Г, м.Харків, 61153","2368","1273","2352","17","1081","14","1095","","0","1081","14","1095","52","1043","205","259","6","117","422","11","23","29.10.12"
"631434","170","Харківська область","школа №97, 2-й поверх, рекреація
вул.Гвардійців-Широнінців, 5Г, м.Харків, 61153","2160","1078","2127","11","1072","10","1082","","0","1072","10","1082","36","1046","221","247","13","112","409","16","28","29.10.12"
"631435","170","Харківська область","гуртожиток Харківського НПУ імені Г.С.Сковороди, вестибюль
просп.П’ятдесятиріччя ВЛКСМ, 50, м.Харків, 61153","1768","693","1793","0","1075","0","1075","","0","1075","0","1075","78","997","145","121","58","223","333","58","59","29.10.12"
"631436","170","Харківська область","гуртожиток ""Харківміськліфт"", зала фітнесу
вул.Гвардійців-Широнінців, 37, м.Харків, 61170","2072","1089","2055","15","970","13","983","","0","970","13","983","42","941","220","176","9","126","373","17","20","29.10.12"
"631437","170","Харківська область","гуртожиток ""Харківміськліфт"", танцювальна зала
вул.Гвардійців-Широнінців, 37, м.Харків, 61170","2000","1091","2003","1","908","1","909","","0","907","1","908","70","838","164","109","27","150","307","32","49","29.10.12"
"631438","170","Харківська область","гуртожиток Харківського НТУ сільського господарства імені П.Василенка, актова зала
вул.Гвардійців-Широнінців, 43Б, м.Харків, 61170","2136","1076","2113","2","1058","2","1060","","0","1058","2","1060","42","1018","211","101","29","254","262","26","135","29.10.12"
"631439","170","Харківська область","школа №64, спортивна зала
вул.Ейдемана Роберта, 5В, м.Харків, 61118","2392","1206","2396","11","1177","9","1186","","0","1177","9","1186","42","1144","207","303","12","132","443","20","27","29.10.12"
"631440","170","Харківська область","школа №64, 2-й поверх, рекреація
вул.Ейдемана Роберта, 5В, м.Харків, 61118","2184","1082","2190","18","1090","12","1102","","0","1090","12","1102","31","1071","203","279","7","123","413","26","20","29.10.12"
"631441","170","Харківська область","школа №64, 2-й поверх, рекреація
вул.Ейдемана Роберта, 5В, м.Харків, 61118","2264","1187","2238","17","1064","13","1077","","0","1064","13","1077","34","1043","201","220","14","105","462","14","27","29.10.12"
"631442","170","Харківська область","школа №64, актова зала
вул.Ейдемана Роберта, 5В, м.Харків, 61118","2304","1167","2296","16","1121","16","1137","","0","1121","16","1137","38","1099","211","247","14","130","451","18","28","29.10.12"
"631443","170","Харківська область","школа №138, 1-й поверх, рекреація
вул.Ейдемана Роберта, 6, м.Харків, 61112","2392","1300","2368","10","1083","9","1092","","0","1083","9","1092","37","1055","187","226","15","143","440","15","29","29.10.12"
"631444","170","Харківська область","школа №138, 1-й поверх, рекреація
вул.Ейдемана Роберта, 6, м.Харків, 61112","1456","757","1431","12","688","11","699","","0","688","11","699","17","682","130","155","8","85","278","11","15","29.10.12"
"631445","170","Харківська область","школа №138, 2-й поверх, рекреація
вул.Ейдемана Роберта, 6, м.Харків, 61112","1600","789","1583","8","803","8","811","","0","803","8","811","32","779","137","192","11","95","322","16","6","29.10.12"
