"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Азарова
Наталія
Миколаївна","Бондаренко
Олександр
Володимирович","Вітер
Геннадій
Романович","Горіна
Ірина
Анатоліївна","Заліван
Олександр
Володимирович","Ковальковський
Володимир
Васильович","Малюга
Валерій
Олегович","Мамаєв
Олександр
Федорович","Розсоха
Володимир
Васильович","Тупікін
Ігор
Юрійович","Шаповал
Валентина
Дмитрівна","Шелехов
Віталій
Вікторович","Дата підписання протоколу"
"631354","171","Харківська область","школа №95, коридор, ліворуч
вул.Ньютона, 137, м.Харків, 61162","2334","1213","2299","45","1079","42","1121","","0","1079","42","1121","82","1039","34","8","19","523","14","8","213","6","9","18","11","176","29.10.12"
"631355","171","Харківська область","школа №95, велика спортивна зала, 1-й поверх
вул.Ньютона, 137, м.Харків, 61162","2070","982","2038","50","1045","43","1088","","0","1045","43","1088","43","1045","40","7","21","503","14","17","218","6","24","17","10","168","28.10.12"
"631356","171","Харківська область","КЗ Комплексна дитячо-юнацька спортивна школа №6, хол, 1-й поверх
вул.Ньютона, 143Б, м.Харків, 61162","1572","738","1573","19","821","13","834","","0","821","13","834","91","743","22","10","14","364","10","7","157","2","7","10","7","133","29.10.12"
"631357","171","Харківська область","гімназія №82, рекреація, 1-й поверх, праворуч
просп.Героїв Сталінграда, 171Б, м.Харків, 61096","2280","1171","2244","69","1061","48","1109","","0","1061","48","1109","77","1032","43","4","24","536","11","13","212","5","11","16","17","140","29.10.12"
"631358","171","Харківська область","гімназія №82, спортивна зала, 1-й поверх
просп.Героїв Сталінграда, 171Б, м.Харків, 61096","2238","1237","2205","45","968","33","1001","","0","967","33","1000","71","929","34","13","23","408","12","6","241","4","11","23","10","144","29.10.12"
"631359","171","Харківська область","гімназія №82, їдальня, 1-й поверх
просп.Героїв Сталінграда, 171Б, м.Харків, 61096","1890","898","1852","38","965","27","992","","0","965","27","992","74","918","40","7","16","482","9","10","194","3","12","12","10","123","29.10.12"
"631360","171","Харківська область","гімназія №82, рекреація, 1-й поверх, ліворуч
просп.Героїв Сталінграда, 171Б, м.Харків, 61096","1758","869","1738","23","870","19","889","","0","868","19","887","48","839","35","8","17","339","17","8","255","4","14","14","7","121","29.10.12"
"631361","171","Харківська область","школа №77, рекреація, 1-й поверх, ліве крило
вул.Садовопаркова, 2А, м.Харків, 61096","1896","936","1884","64","912","48","960","","0","912","48","960","59","901","31","12","20","438","13","6","193","4","15","16","11","142","29.10.12"
"631362","171","Харківська область","школа №77, спортивна зала, 1-й поверх
вул.Садовопаркова, 2А, м.Харків, 61096","2112","1132","2087","46","942","38","980","","0","942","38","980","53","927","45","6","18","435","11","12","207","0","10","20","10","153","29.10.12"
"631363","171","Харківська область","школа №77, рекреація, 1-й поверх, праве крило
вул.Садовопаркова, 2А, м.Харків, 61096","1650","854","1646","51","755","41","796","","0","755","41","796","63","733","27","6","9","378","7","1","172","4","13","8","5","103","29.10.12"
"631364","171","Харківська область","Дільниця №23 КП ""Жилкомсервіс"", червоний куточок
просп.Маршала Жукова, 31, м.Харків, 61096","1848","824","1828","31","1006","18","1024","","0","1006","18","1024","70","954","37","10","14","483","11","12","220","6","12","17","10","122","29.10.12"
"631365","171","Харківська область","школа №78, їдальня, 1-й поверх
проїзд Садовий, 7, м.Харків, 61128","1554","754","1554","24","780","20","800","","0","780","20","800","39","761","30","4","12","348","9","10","183","3","14","22","8","118","29.10.12"
"631366","171","Харківська область","школа №78, перехід, 1-й поверх
проїзд Садовий, 7, м.Харків, 61128","1992","1017","1964","47","935","40","975","","0","935","40","975","51","924","26","8","23","445","8","9","227","7","12","16","10","133","29.10.12"
"631367","171","Харківська область","школа №78, спортивна зала, 1-й поверх
проїзд Садовий, 7, м.Харків, 61128","2214","970","2200","34","1219","25","1244","","0","1219","25","1244","69","1175","45","13","8","516","15","17","286","6","22","33","10","204","29.10.12"
"631368","171","Харківська область","Дитячо-юнацький клуб ""Гармонія"", танцювальна зала
проїзд Садовий, 9, м.Харків, 61128","1998","916","1981","58","1036","46","1082","","0","1036","46","1082","54","1028","29","9","21","512","17","11","243","4","12","15","10","145","29.10.12"
"631369","171","Харківська область","школа №91, рекреація, 1-й поверх, ліворуч
проїзд Садовий, 18Б, м.Харків, 61100","1740","837","1732","51","863","40","903","","0","863","40","903","71","832","32","11","15","425","9","9","182","2","18","7","4","118","29.10.12"
"631370","171","Харківська область","школа №91, рекреація, 2-й поверх, праворуч
проїзд Садовий, 18Б, м.Харків, 61100","1788","825","1779","20","946","17","963","","0","946","17","963","70","893","32","12","16","361","13","9","264","4","16","12","16","138","29.10.12"
"631371","171","Харківська область","школа №91, рекреація, 1-й поверх, праворуч
проїзд Садовий, 18Б, м.Харків, 61100","1980","962","1956","28","997","21","1018","","0","997","21","1018","68","950","53","6","16","474","20","18","204","6","16","18","6","113","29.10.12"
"631372","171","Харківська область","школа №91, рекреація, 2-й поверх, ліворуч
проїзд Садовий, 18Б, м.Харків, 61100","2064","1028","2064","31","1009","27","1036","","0","1009","27","1036","79","957","42","15","25","441","15","10","202","7","14","22","14","150","29.10.12"
"631533","171","Харківська область","школа №80, актова зала
вул.Другої П’ятирічки, 12, м.Харків, 61007","2328","1338","2301","24","972","18","990","","0","972","18","990","68","922","40","3","22","450","17","11","204","4","17","13","6","135","29.10.12"
"631534","171","Харківська область","школа №119, рекреація, 2-й поверх
вул.Другої П’ятирічки, 4, м.Харків, 61007","2364","1085","2353","13","1267","12","1279","","0","1267","12","1279","70","1209","54","14","26","554","13","10","281","6","22","19","17","193","29.10.12"
"631535","171","Харківська область","школа №119, вестибюль
вул.Другої П’ятирічки, 4, м.Харків, 61007","2400","1170","2370","18","1213","17","1230","","0","1213","17","1230","88","1142","39","11","18","537","19","12","292","6","5","16","11","176","29.10.12"
"631536","171","Харківська область","школа №80, рекреація
вул.Другої П’ятирічки, 12, м.Харків, 61007","2316","1311","2295","19","988","17","1005","","0","987","17","1004","62","942","51","15","15","485","11","13","185","5","7","11","9","135","30.10.12"
