"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Дяків
Богдан
Степанович","Іванов
Володимир
Миколайович","Каплін
Євген
Володимирович","Мисик
Володимир
Юрійович","Обрядін
Володимир
Владиславович","Оглоданий
Андрій
Романович","Приліпко
Віталій
Вікторович","Штучний
Михайло
Миколайович","Дата підписання протоколу"
"631447","172","Харківська область","школа №128, 1-й поверх, рекреація
вул.Тимурівців, 72Б, м.Харків, 61111","2256","1260","2242","23","979","17","996","","0","979","17","996","95","901","42","36","33","426","160","9","178","17","29.10.12"
"631448","172","Харківська область","школа №128, 1-й поверх, рекреація
вул.Тимурівців, 72Б, м.Харків, 61111","2304","1215","2289","16","1074","15","1089","","0","1074","15","1089","88","1001","30","33","47","443","204","8","216","20","29.10.12"
"631449","172","Харківська область","школа №128, 2-й поверх, рекреація
вул.Тимурівців, 72Б, м.Харків, 61111","2128","1120","2110","13","995","13","1008","","0","995","13","1008","121","887","38","30","29","446","159","7","160","18","29.10.12"
"631450","172","Харківська область","школа №128, 2-й поверх, рекреація
вул.Тимурівців, 72Б, м.Харків, 61111","2144","1163","2129","13","971","10","981","","0","971","10","981","78","903","50","21","39","426","134","2","212","19","29.10.12"
"631462","172","Харківська область","Центр професійно-технічної освіти №2, вестибюль
вул.Тимурівців, 39, м.Харків, 61142","2328","1232","2273","21","1080","16","1096","","0","1080","16","1096","76","1020","30","15","33","546","165","7","207","17","28.10.12"
"631463","172","Харківська область","Центр професійно-технічної освіти №3, 1-й поверх, вестибюль
вул.Тимурівців, 37, м.Харків, 61142","2392","1367","2398","11","1015","10","1025","","0","1015","10","1025","79","946","34","28","52","416","127","12","243","34","29.10.12"
"631464","172","Харківська область","школа №167, 1-й поверх, рекреація
вул.Гарібальді, 9, м.Харків, 61121","2376","1427","2340","3","947","2","949","","0","0","0","949","68","881","33","22","42","376","122","6","244","36","30.10.12"
"631465","172","Харківська область","школа №167, спортивна зала
вул.Гарібальді, 9, м.Харків, 61121","2240","1059","2200","15","1173","8","1181","","0","1173","8","1181","110","1071","54","28","53","400","191","9","310","26","29.10.12"
"631466","172","Харківська область","школа №167, 2-й поверх, рекреація
вул.Гарібальді, 9, м.Харків, 61121","2368","1283","2327","8","1078","7","1085","","0","1078","7","1085","70","1015","42","22","39","419","175","11","286","21","29.10.12"
"631493","172","Харківська область","школа №56, 2-й поверх, рекреація
вул.Світла, 9, м.Харків, 61121","2000","1027","1964","18","959","14","973","","0","959","14","973","60","913","42","17","38","458","146","6","189","17","29.10.12"
"631494","172","Харківська область","школа №56, 2-й поверх, рекреація
вул.Світла, 9, м.Харків, 61121","1928","1022","1902","24","890","16","906","","0","890","16","906","72","834","26","25","34","393","155","4","175","22","29.10.12"
"631495","172","Харківська область","школа №56, 1-й поверх, рекреація
вул.Світла, 9, м.Харків, 61121","1880","1001","1864","23","858","21","879","","0","858","21","879","82","797","30","13","27","362","153","8","180","24","29.10.12"
"631496","172","Харківська область","школа №84, 2-й поверх, рекреація
вул.Світла, 15, м.Харків, 61121","2168","1185","2157","14","972","11","983","","0","972","11","983","72","911","28","30","42","429","159","7","200","16","29.10.12"
"631497","172","Харківська область","школа №84, 1-й поверх, рекреація
вул.Світла, 15, м.Харків, 61121","2328","1070","2302","31","1234","24","1258","","0","1234","24","1258","95","1163","43","28","35","589","168","11","260","29","29.10.12"
"631498","172","Харківська область","школа №84, 2-й поверх, рекреація
вул.Світла, 15, м.Харків, 61121","2312","1180","2280","22","1114","18","1132","","0","1114","18","1132","59","1073","49","25","30","501","207","5","236","20","29.10.12"
"631499","172","Харківська область","школа №42, 2-й поверх, рекреація
вул.Світла, 39А, м.Харків, 61129","2312","1173","2279","11","1131","8","1139","","0","1131","8","1139","73","1066","49","27","44","452","210","15","243","26","29.10.12"
"631500","172","Харківська область","школа №42, 1-й поверх, рекреація
вул.Світла, 39А, м.Харків, 61129","2272","1138","2256","14","1122","12","1134","","0","1122","12","1134","68","1066","40","25","28","582","161","6","203","21","28.10.12"
"631501","172","Харківська область","школа №42, 1-й поверх, рекреація
вул.Світла, 39А, м.Харків, 61129","2096","1045","2065","9","1042","9","1051","","0","1042","9","1051","56","995","26","35","26","509","154","9","221","15","29.10.12"
