"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Денисенко
Анатолій
Петрович","Картельов
Микола
Михайлович","Салигін
Васілій
Вікторовіч","Старков
Костянтин
Олександрович","Туренко
Іван
Андрійович","Ханафеєв
Владислав
Олексійович","Христенко
Юрій
Петрович","Дата підписання протоколу"
"631316","173","Харківська область","гімназія №46, вестибюль, 1-й поверх
вул.Державінська, 4А, м.Харків, 61001","1848","721","1827","31","1102","25","1127","","0","1102","25","1127","57","1070","449","32","170","187","132","51","49","29.10.12"
"631317","173","Харківська область","гімназія №46, їдальня, 1-й поверх
вул.Державінська, 4А, м.Харків, 61001","1952","856","1947","7","1089","7","1096","","0","1089","7","1096","50","1046","455","47","158","155","121","58","52","29.10.12"
"631318","173","Харківська область","гімназія №46, спортивна зала, 1-й поверх
вул.Державінська, 4А, м.Харків, 61001","1976","845","1969","15","1118","13","1131","","0","1118","13","1131","70","1061","409","28","166","175","149","69","65","29.10.12"
"631319","173","Харківська область","школа №151, рекреація, 2-й поверх
вул.Дніпровська, 10, м.Харків, 61001","1864","763","2062","11","1091","10","1101","","0","1091","10","1101","76","1025","423","44","217","118","96","69","58","29.10.12"
"631320","173","Харківська область","школа №151, рекреація, 1-й поверх
вул.Дніпровська, 10, м.Харків, 61001","2224","1057","2212","26","1147","20","1167","","0","1147","20","1167","58","1109","476","38","167","168","146","57","57","29.10.12"
"631321","173","Харківська область","школа №151, спортивна зала, 1-й поверх
вул.Дніпровська, 10, м.Харків, 61001","2184","911","2162","15","1260","13","1273","","0","1260","13","1273","72","1201","565","47","147","148","165","63","66","29.10.12"
"631322","173","Харківська область","гімназія №83, вестибюль, 1-й поверх
вул.Тарасівська, 43/45, м.Харків, 61068","2320","1060","2293","25","1244","16","1260","","0","1244","16","1260","63","1197","559","31","157","143","163","72","72","29.10.12"
"631323","173","Харківська область","гімназія №83, спортивна зала, 1-й поверх
вул.Тарасівська, 43/45, м.Харків, 61068","2208","923","2198","20","1268","17","1285","","0","1268","17","1285","61","1224","597","43","157","166","151","60","50","29.10.12"
"631324","173","Харківська область","школа №20, спортивна зала, 1-й поверх
вул.Середньоуральська, 16, м.Харків, 61001","2160","1014","2153","33","1118","28","1146","","0","1118","28","1146","65","1081","567","38","118","117","127","52","62","29.10.12"
"631325","173","Харківська область","школа №94, коридор, 2-й поверх
вул.Плеханівська, 151, м.Харків, 61037","2104","1244","2113","4","858","2","860","","0","858","2","860","53","807","413","28","122","110","65","33","36","29.10.12"
