"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Дебелий
Олег
Віталійович","Луценко
Ігор
Іванович","Мірошніков
Віталій
Юрійович","Петрик
Сергій
Володимирович","Тищенко
Павло
Васильович","Фельдман
Олександр
Борисович","Фукс
Андрій
Едуардович","Чорний
Дмитро
Валентинович","Шевченко
Жанна
Олександрівна","Дата підписання протоколу"
"000001","174","Харківська область","корпус 1
вул. Полтавський шлях, 99, м. Харків, 61093","1608","260","1376","0","1348","0","1348","","0","1348","0","1348","50","1298","52","26","18","69","8","1060","18","7","40","29.10.12"
"000002","174","Харківська область","корпус 2
вул.Полтавський шлях, 99, м.Харків, 61093","1864","676","1201","31","1160","28","1188","","0","1160","28","1188","48","1140","33","35","23","73","14","920","11","4","27","29.10.12"
"631177","174","Харківська область","електромеханічний технікум, їдальня
вул.Дмитрівська, 26, м.Харків, 61052","1168","689","1144","8","471","8","479","","0","471","8","479","16","463","65","52","8","71","8","241","11","3","4","29.10.12"
"631178","174","Харківська область","електромеханічний технікум, актова зала
вул.Дмитрівська, 26, м.Харків, 61052","1744","791","1713","4","949","4","953","","0","949","4","953","32","921","92","97","10","146","10","532","11","9","14","29.10.12"
"631179","174","Харківська область","будинок культури ""Червоний Жовтень"", фойє
вул.Червоножовтнева, 75/77, м.Харків, 61052","1536","734","1546","12","797","5","802","","0","797","5","802","43","759","76","96","13","128","13","381","9","15","28","29.10.12"
"631180","174","Харківська область","КП ""Харківводоканал"", фойє
вул.Червоножовтнева, 90, м.Харків, 61052","2168","1065","2168","23","1080","23","1103","","0","1080","23","1103","52","1051","128","92","9","133","27","597","16","16","33","29.10.12"
"631181","174","Харківська область","школа №59, коридор, 2-й поверх
пров.Чаплигінський, 12, м.Харків, 61004","1936","1050","1914","6","882","4","886","","0","882","4","886","35","851","83","103","14","139","19","468","7","5","13","29.10.12"
"631182","174","Харківська область","будинок культури ""Світло Шахтаря"", фойє
пров.Степовий, 42/44, м.Харків, 61004","2056","1087","2023","22","951","18","969","","0","951","18","969","43","926","110","94","10","131","37","516","9","8","11","29.10.12"
"631183","174","Харківська область","школа №54, коридор
вул.Академіка Богомольця, 4, м.Харків, 61157","2056","959","2013","12","1086","11","1097","","0","1085","11","1096","28","1068","120","88","15","135","52","610","3","10","35","30.10.12"
"631184","174","Харківська область","школа №153, хол, 2-й поверх
вул.Академіка Богомольця, 15А, м.Харків, 61157","2032","867","2017","7","1161","4","1165","","0","1161","4","1165","23","1142","150","120","25","132","62","619","10","10","14","29.10.12"
"631185","174","Харківська область","школа №153, хол, 1-й поверх
вул.Академіка Богомольця, 15А, м.Харків, 61157","2216","1073","2194","17","1134","9","1143","","0","1134","9","1143","34","1109","98","101","13","134","78","636","9","13","27","29.10.12"
"631186","174","Харківська область","школа №130, хол, 1-й поверх
вул.Світланівська, 23А, м.Харків, 61157","2000","1009","2004","9","982","9","991","","0","982","9","991","21","970","106","115","15","133","25","553","7","7","9","29.10.12"
"631187","174","Харківська область","школа №130, коридор, 1-й поверх
вул.Світланівська, 23А, м.Харків, 61157","1712","814","1695","8","890","8","898","","0","890","8","898","23","875","77","62","6","101","18","580","8","5","18","29.10.12"
