"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Безрученко
Володимир
Олександрович","Варченко
Іван
Григорович","Кацуба
Володимир
Михайлович","Коробка
Юрій
Олексійович","Третьяк
Вікторія
Валеріївна","Дата підписання протоколу"
"630315","175","Харківська область","будинок культури, хол
пл.Перемоги, 1, м.Дергачі, Дергачівський р-н, Харківська обл., 62300","855","318","836","32","510","27","537","","0","510","27","537","27","510","41","119","239","88","23","29.10.12"
"630316","175","Харківська область","дитячий навчальний заклад №1 ""Калинка"", 2 зала
вул.1 Травня, 27, м.Дергачі, Дергачівський р-н, Харківська обл., 62300","2224","1038","2222","66","1132","54","1186","","0","1132","54","1186","28","1158","89","233","632","175","29","29.10.12"
"630317","175","Харківська область","гімназія №3, зал вестибюль
вул.Петровського, 77, м.Дергачі, Дергачівський р-н, Харківська обл., 62300","1688","721","1681","73","912","55","967","","0","912","55","967","23","944","88","189","510","127","30","29.10.12"
"630318","175","Харківська область","ліцей №2, зал
вул.Садова, 6, м.Дергачі, Дергачівський р-н, Харківська обл., 62300","2136","1020","2107","48","1074","42","1116","","0","1074","42","1116","27","1089","126","263","544","131","25","29.10.12"
"630319","175","Харківська область","дитячий навчальний заклад №2 ""Лелеченька"", ігровий зал
вул.Садова, 8, м.Дергачі, Дергачівський р-н, Харківська обл., 62300","1896","791","1891","43","1069","36","1105","","0","1069","36","1105","27","1078","115","248","569","120","26","29.10.12"
"630320","175","Харківська область","навчально-виховний комплекс загальноосвітня школа №1, спортзал
вул.Ворошилова, 58, м.Дергачі, Дергачівський р-н, Харківська обл., 62300","1840","813","1818","57","995","32","1027","","0","995","32","1027","25","1002","84","168","579","151","20","29.10.12"
"630321","175","Харківська область","навчально-виховний комплекс №1, хол
вул.Центральна, 1, м.Дергачі, Дергачівський р-н, Харківська обл., 62300","1848","878","1825","52","926","44","970","","0","926","44","970","21","949","106","213","521","91","18","29.10.12"
"630322","175","Харківська область","районна санітарно-епідеміологічна станція, актовий зал
пров.Корсіковського, 19, м.Дергачі, Дергачівський р-н, Харківська обл., 62300","1528","708","1514","77","763","57","820","","0","763","57","820","29","791","81","142","452","89","27","29.10.12"
"630323","175","Харківська область","будинок культури, танцювальний зал
пл.Перемоги, 1, м.Дергачі, Дергачівський р-н, Харківська обл., 62300","1360","686","1348","46","630","44","674","","0","630","44","674","23","651","73","123","351","82","22","29.10.12"
"630324","175","Харківська область","територіальний цетр соціального обслуговування, зал
вул.23 серпня, 1, м.Дергачі, Дергачівський р-н, Харківська обл., 62300","1817","903","1789","87","847","67","914","","0","847","67","914","37","877","94","144","495","114","30","29.10.12"
"630325","175","Харківська область","будинок культури, зал
вул.Орджонікідзе, 9, смт Вільшани, Дергачівський р-н, Харківська обл., 62360","2240","969","2232","77","1207","64","1271","","0","1207","64","1271","38","1233","120","235","797","65","16","29.10.12"
