"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Бугрєєв
Сергій
Іванович","Гавриш
Степан
Богданович","Клімко
Віталій
Валерійович","Федоровський
Геннадій
Анатолійович","Черкашин
Юрій
Анатолійович","Шенцев
Дмитро
Олексійович","Дата підписання протоколу"
"630215","176","Харківська область","бурякопункт, зала, 1-й поверх.
вул.Свердлова, 4, смт Великий Бурлук, Великобурлуцький р-н, Харківська обл., 62601","760","375","720","41","344","41","385","","0","344","41","385","20","365","6","69","36","3","63","188","29.10.12"
"630216","176","Харківська область","будинок культури, фойе, 1-й поверх.
вул.Леніна, 3, смт Великий Бурлук, Великобурлуцький р-н, Харківська обл., 62602","1496","633","1472","50","819","44","863","","0","819","44","863","37","826","8","174","93","14","181","356","29.10.12"
"630217","176","Харківська область","школа, фойє, 1-й поверх.
вул.Леніна, 11А, смт Великий Бурлук, Великобурлуцький р-н, Харківська обл., 62602","1424","607","1443","74","753","64","817","","0","753","64","817","35","782","10","183","90","12","172","315","29.10.12"
"630218","176","Харківська область","ПСП ""МАЯК"", зала, 1-й поверх.
вул.Фрунзе, 1, с.Горяне, Великобурлуцький р-н, Харківська обл., 62602","784","346","769","77","364","74","438","","0","364","74","438","21","417","7","57","36","4","77","236","29.10.12"
"630219","176","Харківська область","адмінбудівля сільгосптехніки, зал засідань, 1-й поверх
вул.Сільгосптехніка, 10А, смт Великий Бурлук, Великобурлуцький р-н, Харківська обл., 62602","616","298","604","40","281","37","318","","0","281","37","318","14","304","3","48","19","4","65","165","29.10.12"
"630220","176","Харківська область","сільський клуб, зала, 1-й поверх.
вул.Центральна, 1, с.Канівцеве, Великобурлуцький р-н, Харківська обл., 62627","152","44","150","18","92","16","108","","0","92","16","108","4","104","0","22","18","3","17","44","28.10.12"
"630221","176","Харківська область","школа, спортивна зала, 1-й поверх.
вул.Петровського, 18А, с.Плоске, Великобурлуцький р-н, Харківська обл., 62607","1008","513","999","71","432","63","495","","0","432","63","495","27","468","3","72","48","6","82","257","29.10.12"
"630222","176","Харківська область","Приколотнянська селищна рада, актова зала, 1-й поверх
вул.Лісна, 1, смт Приколотне, Великобурлуцький р-н, Харківська обл., 62630","1032","420","1042","75","547","65","612","","0","547","65","612","17","595","2","48","20","11","103","411","29.10.12"
"630223","176","Харківська область","школа, фойє, 1-й поверх.
вул.Шкільна, 2, смт Приколотне, Великобурлуцький р-н, Харківська обл., 62630","784","401","767","64","324","59","383","","0","324","59","383","14","369","3","64","15","3","65","219","29.10.12"
"630224","176","Харківська область","школа, спортзал, 1-й поверх.
вул.Жовтнева, 7, с.Андріївка, Великобурлуцький р-н, Харківська обл., 62642","896","433","880","63","400","63","463","","0","400","63","463","20","443","2","99","21","4","72","245","29.10.12"
"630225","176","Харківська область","фельдшерсько-акушерський пункт, фойє, 1-й поверх
вул.Центральна, 26, с.Зарубінка, Великобурлуцький р-н, Харківська обл., 62620","176","46","176","15","116","14","130","","0","116","14","130","7","123","0","11","3","1","15","93","29.10.12"
"630226","176","Харківська область","будинок культури, фойє, 1-й поверх.
вул.Синько, 26Б, с.Вільхуватка, Великобурлуцький р-н, Харківська обл., 62620","1016","457","993","74","490","69","559","","0","490","69","559","20","539","8","50","27","9","168","277","29.10.12"
"630227","176","Харківська область","школа, фойє, 1-й поверх.
вул.Трудова, 5, с.Устинівка, Великобурлуцький р-н, Харківська обл., 62612","168","56","167","34","78","34","112","","0","78","34","112","2","110","1","14","2","2","31","60","29.10.12"
"630228","176","Харківська область","будинок культури, фойє, 2-й поверх.
вул.Радянська, 52, с.Гнилиця, Великобурлуцький р-н, Харківська обл., 62609","472","183","472","76","220","69","289","","0","220","69","289","8","281","6","40","21","2","19","193","28.10.12"
"630229","176","Харківська область","клуб, зала, 1-й поверх.
вул.Молодіжна, 6, с.Гнилиця Перша, Великобурлуцький р-н, Харківська обл., 62609","384","132","384","30","225","27","252","","0","225","27","252","10","242","0","20","12","0","37","173","29.10.12"
"630230","176","Харківська область","навчально-виховний комплекс, актова зала, 1-й поверх.
вул.Радянська, 24, с.Григорівка, Великобурлуцький р-н, Харківська обл., 62640","520","173","513","45","308","39","347","","0","308","39","347","14","333","4","57","36","4","52","180","29.10.12"
"630231","176","Харківська область","будинок культури, фойє, 1-й поверх.
вул.Польова, 8, с.Катеринівка, Великобурлуцький р-н, Харківська обл., 62641","544","201","497","44","302","41","343","","0","302","41","343","15","328","6","52","26","5","21","218","29.10.12"
"630232","176","Харківська область","клуб, глядацька зала, 1-й поверх
вул.Миру, 3, с.Малий Бурлук, Великобурлуцький р-н, Харківська обл., 62624","288","93","277","25","173","22","195","","0","173","22","195","3","192","3","27","14","2","29","117","28.10.12"
"630233","176","Харківська область","школа, спортзал, 1-й поверх.
вул.Осипова, 17, с.Шевченкове, Великобурлуцький р-н, Харківська обл., 62627","184","44","189","27","116","24","140","","0","116","24","140","10","130","0","17","17","3","30","63","29.10.12"
