"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Беденко
Сергій
Олексійович","Васильєв
Микола
Валерійович","Остапчук
Віктор
Миколайович","Пивовар
Григорій
Вікторович","Ровчак
Андрій
Яковлевич","Рочняк
Сергій
Дмитрович","Фомичевський
Анатолій
Станіславович","Дата підписання протоколу"
"630166","177","Харківська область","районний будинок культури, фойє, 2-й поверх
вул.Миру, 19, смт Борова, Борівський р-н, Харківська обл., 63801","1744","791","1720","106","864","89","953","","0","864","89","953","34","919","3","6","471","9","289","19","122","29.10.12"
"630167","177","Харківська область","будинок дитячої та юнацької творчості, каб.8
вул.Миру, 12, смт Борова, Борівський р-н, Харківська обл., 63801","432","174","424","12","248","10","258","","0","248","10","258","6","252","4","2","109","0","109","3","25","28.10.12"
"630168","177","Харківська область","школа №1, малий зал
вул.Миру, 23, смт Борова, Борівський р-н, Харківська обл., 63801","1976","944","1931","29","1004","28","1032","","0","1004","28","1032","17","1015","4","8","577","5","334","14","73","28.10.12"
"630169","177","Харківська область","школа №2, зал №1
вул.Гагаріна, 49, смт Борова, Борівський р-н, Харківська обл., 63801","1104","467","1082","65","579","58","637","","0","579","58","637","17","620","2","9","335","7","170","14","83","29.10.12"
"630170","177","Харківська область","школа, коридор-фойє
пров.Шкільний, 1, с.Новоплатонівка, Борівський р-н, Харківська обл., 63808","328","102","321","34","192","34","226","","0","192","34","226","11","215","0","4","141","1","51","3","15","28.10.12"
"630171","177","Харківська область","школа, спортивний зал
вул.Центральна, 5, с.Шийківка, Борівський р-н, Харківська обл., 63809","480","207","475","38","236","37","273","","0","236","37","273","3","270","2","8","101","4","97","13","45","28.10.12"
"630172","177","Харківська область","школа, коридор-фойє
пров.Шкільний, 6, с.Богуславка, Борівський р-н, Харківська обл., 63810","1064","466","1047","68","536","62","598","","0","536","62","598","13","585","1","3","267","1","172","7","134","28.10.12"
"630173","177","Харківська область","сільський клуб, фойє
вул.Клубна, 1, с.Загризове, Борівський р-н, Харківська обл., 63811","376","131","372","37","208","37","245","","0","208","37","245","10","235","5","3","146","1","38","2","40","28.10.12"
"630174","177","Харківська область","школа, спортивний зал
вул.Молодіжна, 82, с.Вище Солоне, Борівський р-н, Харківська обл., 63830","312","101","313","15","196","15","211","","0","196","15","211","4","207","1","2","115","2","46","5","36","28.10.12"
"630175","177","Харківська область","кімната амбулаторії загальної практики сімейної медицини
вул.Леніна, 56А, с.Нижче Солоне, Борівський р-н, Харківська обл., 63831","288","77","283","22","189","22","211","","0","189","22","211","10","201","1","2","133","1","39","2","23","28.10.12"
"630176","177","Харківська область","сільська рада, кабінет сільського голови
вул.Центральна, 26, с.Гороховатка, Борівський р-н, Харківська обл., 63822","384","131","373","27","226","27","253","","0","226","27","253","6","247","2","0","139","3","83","1","19","28.10.12"
"630177","177","Харківська область","сільський клуб, фойє
вул.Радьківська, 10А, с.Бахтин, Борівський р-н, Харківська обл., 63822","312","146","298","15","152","14","166","","0","152","14","166","8","158","0","2","86","5","40","3","22","29.10.12"
"630178","177","Харківська область","школа, спортивний зал
вул.Шкільна, 9, с.Дружелюбівка, Борівський р-н, Харківська обл., 63841","360","139","352","41","181","40","221","","0","181","40","221","10","211","4","2","127","1","56","4","17","29.10.12"
"630179","177","Харківська область","школа, спортивний зал
пров.Партизанський, 11, с.Ізюмське, Борівський р-н, Харківська обл., 63840","472","219","471","14","239","14","253","","0","239","14","253","7","246","2","5","161","2","55","1","20","28.10.12"
"630180","177","Харківська область","сільська рада, обрядовий зал
вул.Кооперативна, 7, с-ще Першотравневе, Борівський р-н, Харківська обл., 63813","952","443","941","42","470","39","509","","0","470","39","509","16","493","4","6","313","8","96","16","50","28.10.12"
"630181","177","Харківська область","школа, актовий зал
вул.Григорія Запорожченка, 21А, с.Підвисоке, Борівський р-н, Харківська обл., 63820","552","149","546","46","358","45","403","","0","358","45","403","10","393","3","0","182","4","149","6","49","28.10.12"
