"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Борисенко
Олег
Вячеславович","Дергунов
Юрій
Юлійович","Добкін
Дмитро
Маркович","Прокопенко
Петро
Андрійович","Федотов
Геннадій
Олексійович","Дата підписання протоколу"
"630001","178","Харківська область","районний будинок культури, мала зала
пл.Ростовцева, 14, м.Балаклія, Балаклійський р-н, Харківська обл., 64200","1216","599","1198","25","596","21","617","","0","596","21","617","24","593","40","50","335","69","99","29.10.12"
"630002","178","Харківська область","Балаклійська школа №1, актова зала
вул.Леніна, 95, м.Балаклія, Балаклійський р-н, Харківська обл., 64200","1840","883","1796","94","873","84","957","","0","873","84","957","26","931","79","66","519","85","182","29.10.12"
"630003","178","Харківська область","Балаклійська школа №2, їдальня
пров.1-го Травня, 12, м.Балаклія, Балаклійський р-н, Харківська обл., 64200","1912","949","1875","32","940","23","963","","0","940","23","963","28","935","65","75","540","116","139","29.10.12"
"630004","178","Харківська область","Балаклійська школа №2, фойє
пров.1-го Травня, 12, м.Балаклія, Балаклійський р-н, Харківська обл., 64200","2392","1293","2331","47","1055","44","1099","","0","1055","44","1099","49","1050","71","70","682","98","129","29.10.12"
"630005","178","Харківська область","музична школа, велика зала, 2-й поверх
вул.8-го Березня, 5, м.Балаклія, Балаклійський р-н, Харківська обл., 64200","2168","960","2155","75","1138","70","1208","","0","1138","70","1208","33","1175","81","107","630","186","171","29.10.12"
"630006","178","Харківська область","управління Пенсійного фонду, фойє
вул.Леніна, 45, м.Балаклія, Балаклійський р-н, Харківська обл., 64200","2448","1344","2389","81","1037","67","1104","","0","1037","67","1104","51","1053","94","96","614","110","139","29.10.12"
"630007","178","Харківська область","Балаклійська школа №4, актова зала
вул.Геологічна, 9, м.Балаклія, Балаклійський р-н, Харківська обл., 64200","2408","1360","2382","69","993","55","1048","","0","993","55","1048","62","986","75","75","632","85","119","29.10.12"
"630008","178","Харківська область","Балаклійська школа №3, спортивна зала
вул.Кірова, 25, м.Балаклія, Балаклійський р-н, Харківська обл., 64200","2336","1254","2311","99","1011","71","1082","","0","1011","71","1082","46","1036","72","56","658","93","157","29.10.12"
"630009","178","Харківська область","Балаклійська школа №3, їдальня
вул.Кірова, 25, м.Балаклія, Балаклійський р-н, Харківська обл., 64200","1384","756","1380","49","583","45","628","","0","583","45","628","33","595","34","47","367","66","81","29.10.12"
"630010","178","Харківська область","Балаклійська школа №6, фойє
вул.Гагаріна, 14, м.Балаклія, Балаклійський р-н, Харківська обл., 64200","2392","1262","2338","80","1064","66","1130","","0","1064","66","1130","38","1092","86","86","639","111","170","29.10.12"
"630011","178","Харківська область","приміщення ДП ""Світанок"", вестибюль
вул.Заміська, 7, м.Балаклія, Балаклійський р-н, Харківська обл., 64200","320","107","329","9","205","8","213","","0","205","8","213","12","201","11","11","140","22","17","29.10.12"
"630012","178","Харківська область","Балаклійська школа №5, їдальня
вул.Перемоги, 100, м.Балаклія, Балаклійський р-н, Харківська обл., 64200","1632","806","1612","72","772","54","826","","0","772","54","826","31","795","36","75","464","90","130","29.10.12"
"630013","178","Харківська область","лагерський клуб, зала
вул.Перемоги, 211/35, м.Балаклія, Балаклійський р-н, Харківська обл., 64200","1944","1029","1941","73","852","63","915","","0","852","63","915","57","858","49","62","541","72","134","29.10.12"
"630014","178","Харківська область","Балаклійська спеціальна школа-інтернат, актова зала
вул.Партизанська, 3, м.Балаклія, Балаклійський р-н, Харківська обл., 64200","872","406","870","53","419","47","466","","0","419","47","466","21","445","23","37","272","45","68","29.10.12"
"630015","178","Харківська область","Андріївська школа №1, актова зала
пл.30 років ВЛКСМ, 41, смт Андріївка, Балаклійський р-н, Харківська обл., 64220","2248","1146","2258","86","1034","68","1102","","0","1034","68","1102","47","1055","42","60","745","75","133","29.10.12"
"630016","178","Харківська область","Андріївська школа №1, спортивна зала
пл.30 років ВЛКСМ, 41, смт Андріївка, Балаклійський р-н, Харківська обл., 64220","2240","1201","2214","57","990","49","1039","","0","990","49","1039","47","992","61","63","682","88","98","29.10.12"
"630017","178","Харківська область","Андріївська школа №2, актова зала
вул.Шевченка, 1, смт Андріївка, Балаклійський р-н, Харківська обл., 64220","2184","1232","2183","61","905","47","952","","0","905","47","952","57","895","62","69","536","88","140","29.10.12"
"630018","178","Харківська область","Савинська школа №1, спортивна зала
вул.20 Гвардійської Дивізії, 10, смт Савинці, Балаклійський р-н, Харківська обл., 64270","2360","1210","2339","63","1101","49","1150","","0","1101","49","1150","36","1114","61","81","734","105","133","29.10.12"
"630019","178","Харківська область","Савинська філія Петрівського аграрного ліцею, спортивна зала
вул.Шкільна, 1А, смт Савинці, Балаклійський р-н, Харківська обл., 64270","1392","681","1370","49","662","49","711","","0","662","49","711","25","686","33","35","478","86","54","29.10.12"
"630020","178","Харківська область","ПАТ ДПДЗКУ ""Савинський елеватор"", зала засідань
вул.Привокзальна, 50, смт Савинці, Балаклійський р-н, Харківська обл., 64270","624","349","624","20","255","20","275","","0","255","20","275","9","266","14","23","171","19","39","29.10.12"
"630021","178","Харківська область","Довгалівська школа, коридор
вул.Лімонта, 38, с.Довгалівка, Балаклійський р-н, Харківська обл., 64270","512","178","515","34","301","33","334","","0","301","33","334","12","322","11","20","224","24","43","29.10.12"
"630022","178","Харківська область","Червонодонецька гімназія, актова зала, корпус 2
вул.Леніна, 29, смт Червоний Донець, Балаклійський р-н, Харківська обл., 64250","2416","1060","2386","29","1335","21","1356","","0","1335","21","1356","53","1303","83","111","831","111","167","29.10.12"
"630023","178","Харківська область","Червонодонецька гімназія, спортивна зала, корпус 1
вул.Леніна, 29, смт Червоний Донець, Балаклійський р-н, Харківська обл., 64250","720","319","729","58","350","51","401","","0","350","51","401","9","392","18","36","262","33","43","29.10.12"
"630024","178","Харківська область","палац культури ГПУ ""Шебелинкагазвидобування"", фойє
вул.Леніна, 13, смт Червоний Донець, Балаклійський р-н, Харківська обл., 64250","2392","1118","2362","77","1216","58","1274","","0","1216","58","1274","41","1233","49","91","822","101","170","29.10.12"
"630025","178","Харківська область","Червонодонецька школа №2, фойє
вул.Леніна, 3, смт Червоний Донець, Балаклійський р-н, Харківська обл., 64250","2280","1094","2236","63","1140","46","1186","","0","1140","46","1186","40","1146","59","85","790","74","138","29.10.12"
"630026","178","Харківська область","Асіївський будинок культури, фойє
вул.Центральна, 11, с.Асіївка, Балаклійський р-н, Харківська обл., 64260","640","237","636","41","363","39","402","","0","363","39","402","15","387","22","20","262","9","74","30.10.12"
"630027","178","Харківська область","Жовтневський сільський клуб, актова зала
вул.Центральна, 20, с-ще Жовтневе Асіївської с/р, Балаклійський р-н, Харківська обл., 64262","376","135","362","13","228","13","241","","0","228","13","241","6","235","4","12","187","7","25","28.10.12"
"630028","178","Харківська область","Борщівська сільська рада, зала засідань
вул.Комсомольська, 47, с.Борщівка, Балаклійський р-н, Харківська обл., 64240","856","292","852","55","516","48","564","","0","516","48","564","16","548","31","33","393","44","47","29.10.12"
"630029","178","Харківська область","Бригадирівська школа, вестибюль
вул.Центральна, 84, с.Бригадирівка, Балаклійський р-н, Харківська обл., 64230","664","252","650","82","332","80","412","","0","332","80","412","15","397","13","28","292","35","29","28.10.12"
"630030","178","Харківська область","Вербівська школа, спортивна зала, 1-й поверх
вул.Жовтнева, 68, с.Вербівка, Балаклійський р-н, Харківська обл., 64219","1328","518","1313","81","737","73","810","","0","736","73","809","27","782","33","39","576","69","65","29.10.12"
"630031","178","Харківська область","Вербівська школа, актова зала, 2-й поверх
вул.Жовтнева, 68, с.Вербівка, Балаклійський р-н, Харківська обл., 64219","1224","471","1204","84","677","76","753","","0","677","76","753","22","731","41","47","547","59","37","29.10.12"
"630032","178","Харківська область","Веселівська школа, їдальня
вул.8-го Березня, 10, с-ще Веселе, Балаклійський р-н, Харківська обл., 64235","584","227","574","17","340","17","357","","0","340","17","357","14","343","22","25","206","42","48","28.10.12"
