"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Гіршфельд
Анатолій
Мусійович","Мішуровська
Світлана
Тимофіївна","Петренко
Сергій
Миколайович","Полковниченко
Олександр
Миколайович","Тимошенко
Володимир
Миколайович","Ткаченко
Олександр
Іванович","Шахматенко
Сергій
Іванович","Ярещенко
Михайло
Євгенович","Дата підписання протоколу"
"630371","179","Харківська область","будинок культури, фойє
вул.Радянська, 46, смт Зачепилівка, Зачепилівський р-н, Харківська обл., 64401","1320","541","1273","66","723","56","779","","0","723","56","779","21","758","377","13","120","54","12","18","103","61","29.10.12"
"630372","179","Харківська область","ліцей, спортивна зала
вул.Радянська, 40, смт Зачепилівка, Зачепилівський р-н, Харківська обл., 64401","1440","588","1403","82","783","69","852","","0","783","69","852","25","827","386","13","146","81","7","17","102","75","29.10.12"
"630373","179","Харківська область","будинок культури, актова зала
вул.Жовтнева, 94, смт Зачепилівка, Зачепилівський р-н, Харківська обл., 64401","768","310","774","49","412","46","458","","0","412","46","458","16","442","238","11","89","16","9","9","40","30","29.10.12"
"630374","179","Харківська область","ТОВ ""Зачепилівське ХПП"", зала засідання
вул.Пушкіна, 33, с.Нагірне, Зачепилівський р-н, Харківська обл., 64408","680","277","671","60","349","54","403","","0","349","54","403","21","382","160","8","82","16","4","14","52","46","29.10.12"
"630375","179","Харківська область","амбулаторія сімейного лікаря, фойє
вул.Щорса, амбулаторія сімейного лікаря, с.Дудівка, Зачепилівський р-н, Харківська обл., 64451","216","55","211","42","122","39","161","","0","122","39","161","8","153","70","2","22","6","11","5","24","13","29.10.12"
"630376","179","Харківська область","школа, спортивна зала
вул.Леніна, школа, с.Нове Мажарове, Зачепилівський р-н, Харківська обл., 64450","736","239","719","68","434","63","497","","0","434","63","497","16","481","178","13","76","56","12","17","86","43","29.10.12"
"630377","179","Харківська область","СВК ""Заповіт Леніна"", зала засідання
вул.Вишнева, СВК ""Заповіт Леніна"", с.Старе Пекельне, Зачепилівський р-н, Харківська обл., 64454","440","144","424","42","255","41","296","","0","255","41","296","20","276","124","10","60","10","10","21","15","26","28.10.12"
"630378","179","Харківська область","сільська рада, зала засідання
вул.Леніна, сільська рада, с.Леб’яже, Зачепилівський р-н, Харківська обл., 64420","712","276","698","64","377","59","436","","0","377","59","436","19","417","244","10","34","30","15","21","38","25","29.10.12"
"630379","179","Харківська область","Філія ""Зачепилівський райавтодор"" ДП ""Харківський облавтодор"", фойє
вул.Будівельна, 1, с.Кочетівка, Зачепилівський р-н, Харківська обл., 64401","344","135","351","20","191","18","209","","0","191","18","209","6","203","90","4","35","20","6","2","16","30","29.10.12"
"630380","179","Харківська область","школа, спортивна зала
вул.Леніна, школа, с.Чернещина, Зачепилівський р-н, Харківська обл., 64410","600","218","599","68","321","61","382","","0","321","61","382","11","371","111","10","92","61","20","21","33","23","28.10.12"
"630381","179","Харківська область","будинок культури, фойє
вул.Жовтнева, будинок культури, с.Новоселівка, Зачепилівський р-н, Харківська обл., 64411","432","127","425","52","254","51","305","","0","254","51","305","18","287","136","9","55","16","15","6","33","17","29.10.12"
"630382","179","Харківська область","будинок культури, зал
вул.Радянська, будинок культури, с.Бердянка, Зачепилівський р-н, Харківська обл., 64440","640","216","628","70","359","65","424","","0","359","65","424","18","406","202","5","76","37","25","16","23","22","29.10.12"
"630383","179","Харківська область","АФ ТОВ ""Вибір"", зала засідання
вул.Молодіжна, АФ ТОВ ""Вибір"", с.Першотравневе, Зачепилівський р-н, Харківська обл., 64440","264","86","260","27","151","27","178","","0","151","27","178","8","170","99","3","26","8","11","6","3","14","29.10.12"
"630384","179","Харківська область","школа, спортивна зала
вул.Центральна, школа, с.Забарине, Зачепилівський р-н, Харківська обл., 64425","272","63","270","17","195","14","209","","0","195","14","209","6","203","130","4","17","16","1","3","16","16","28.10.12"
"630385","179","Харківська область","будинок культури, зал
вул.Котовського, будинок культури, с.Олександрівка, Зачепилівський р-н, Харківська обл., 64426","256","72","257","38","148","36","184","","0","148","36","184","7","177","91","1","29","19","5","2","21","9","29.10.12"
"630386","179","Харківська область","сільська рада, зала засідання
вул.Лермонтова, сільська рада, с.Малий Орчик, Зачепилівський р-н, Харківська обл., 64431","160","49","155","13","98","13","111","","0","98","13","111","6","105","66","3","7","6","1","4","10","8","29.10.12"
"630387","179","Харківська область","будинок культури, фойє
вул.ім.Карла Маркса, будинок культури, с.Залінійне, Зачепилівський р-н, Харківська обл., 64431","360","122","354","42","200","38","238","","0","200","38","238","14","224","92","6","26","20","17","8","32","23","29.10.12"
"630388","179","Харківська область","школа, спортивна зала
вул.Калініна, школа, с.Орчик, Зачепилівський р-н, Харківська обл., 64431","344","130","343","47","168","46","214","","0","168","46","214","6","208","92","2","14","14","4","7","39","36","29.10.12"
"630389","179","Харківська область","школа, спортивна зала
вул.Леніна, школа, с.Сомівка, Зачепилівський р-н, Харківська обл., 64433","456","164","440","56","243","49","292","","0","243","49","292","9","283","130","9","61","20","12","9","28","14","29.10.12"
"630390","179","Харківська область","ПСП ""Володимир"", зала засідання
вул.Козирєва, ПСП ""Володимир"", с.Семенівка, Зачепилівський р-н, Харківська обл., 64435","232","80","234","27","127","25","152","","0","127","25","152","3","149","78","6","22","10","10","3","6","14","28.10.12"
"630391","179","Харківська область","школа, спортивна зала
вул.Харківська, школа, с.Миколаївка, Зачепилівський р-н, Харківська обл., 64423","808","210","817","82","524","74","598","","0","524","74","598","16","582","255","14","67","85","12","17","88","44","29.10.12"
"630392","179","Харківська область","будинок культури, каб.2
вул.Центральна, будинок культури, с.Абазівка, Зачепилівський р-н, Харківська обл., 64424","336","126","329","28","184","26","210","","0","184","26","210","15","195","102","4","32","16","10","10","4","17","28.10.12"
"630393","179","Харківська область","вул.Петровського, школа, спортивна зала, с.Рунівщина, Зачепилівський р-н, Харківська обл., 64412
вул.Петровського, школа, спортивна зала, с.Рунівщина, Зачепилівський р-н, Харківська обл., 64412","600","200","590","46","357","43","400","","0","357","43","400","19","381","166","4","38","12","8","6","115","32","28.10.12"
"630394","179","Харківська область","вул.Жовтнева, с.Устимівка, Зачепилівський р-н, Харківська обл., 64413
вул.Жовтнева, с.Устимівка, Зачепилівський р-н, Харківська обл., 64413 (будинок культури, фойє)","184","66","179","22","98","20","118","","0","98","20","118","15","103","46","3","12","5","10","0","22","5","29.10.12"
"630498","179","Харківська область","школа, актовий зал
вул.Шкільна, 1А, с.Андріївка, Кегичівський р-н, Харківська обл., 64031","672","306","658","19","349","17","366","","0","349","17","366","14","352","130","8","36","47","12","24","10","85","28.10.12"
"630499","179","Харківська область","навчально-виховний комплекс, спортивний зал
вул.Шкільна, 2, с.Бессарабівка, Кегичівський р-н, Харківська обл., 64053","544","256","532","40","250","38","288","","0","250","38","288","14","274","115","15","38","59","11","4","10","22","29.10.12"
"630500","179","Харківська область","загальноосвітній навчально-виховний комплекс, фойє
вул.Каштанова, 26, с.Власівка, Кегичівський р-н, Харківська обл., 64010","496","179","488","56","269","48","317","","0","269","48","317","11","306","79","4","57","87","23","22","7","27","28.10.12"
"630501","179","Харківська область","школа, спортивний зал
вул.Центральна, школа, с.Вовківка, Кегичівський р-н, Харківськва обл., 64041","768","357","757","36","383","28","411","","0","383","28","411","20","391","166","12","61","63","25","14","9","41","29.10.12"
"630502","179","Харківська область","сільський клуб, фойє
вул.Ломоносова, 4, с.Антонівка, Кегичівський р-н, Харківська обл., 64003","160","42","157","7","111","7","118","","0","111","7","118","4","114","78","2","3","13","3","3","10","2","29.10.12"
"630503","179","Харківська область","ліцей, спортивний зал
вул.Волошина, 91, смт Кегичівка, Кегичівський р-н, Харківська обл., 64003","1616","798","1607","66","760","58","818","","0","760","58","818","28","790","385","30","102","102","25","34","51","61","29.10.12"
"630504","179","Харківська область","ПТУ-60, актовий зал
вул.Калініна, 30, смт Кегичівка, Кегичівський р-н, Харківська обл., 64003","1664","728","1621","45","897","39","936","","0","897","39","936","36","900","407","38","144","79","27","23","60","122","29.10.12"
"630505","179","Харківська область","будинок культури, фойє
вул.1-го Травня, 9, смт Кегичівка, Кегичівський р-н, Харківська обл., 64003","912","411","902","34","467","34","501","","0","467","34","501","13","488","253","17","73","47","11","16","31","40","29.10.12"
"630506","179","Харківська область","ПТУ-60, спортивний зал
вул.Калініна, 30, смт Кегичівка, Кегичівський р-н, Харківська обл., 64003","1200","596","1179","41","565","39","604","","0","565","39","604","33","571","236","20","92","72","21","21","31","78","29.10.12"
