"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Веніславський
Федір
Володимирович","Дзябко
Віктор
Васильович","Кадимян
Артур
Місакович","Легеза
Галина
Василівна","Макаренко
Валерій
Сергійович","Мураєв
Євгеній
Володимирович","Ребров
Олександр
Володимирович","Ярмолюк
Михайло
Михайлович","Дата підписання протоколу"
"630395","181","Харківська область","районний будинок культури, фойє
пл.Радянська, 8, м.Зміїв, Зміївський р-н, Харківська обл., 63404","1824","817","1800","65","947","60","1007","","0","947","60","1007","21","986","104","8","2","12","29","702","68","61","29.10.12"
"630396","181","Харківська область","краєзнавчий музей, експозиційна зала
пл.Радянська, 6, м.Зміїв, Зміївський р-н, Харківська обл., 63404","2000","792","1968","340","883","325","1208","","0","883","325","1208","38","1170","158","16","3","20","28","829","48","68","29.10.12"
"630397","181","Харківська область","відділ освіти райдержадміністрації, зал засідань
вул.Леніна, 12, м.Зміїв, Зміївський р-н, Харківська обл., 63404","1928","935","1910","40","953","40","993","","0","953","40","993","38","955","137","14","4","11","19","652","49","69","29.10.12"
"630398","181","Харківська область","Зміївський ліцей №1 імені З.К.Слюсаренка, мармурова зала
вул.Широнінців, 25, м.Зміїв, Зміївський р-н, Харківська обл., 63404","1928","849","1882","38","1042","37","1079","","0","1042","37","1079","39","1040","104","12","3","10","39","707","61","104","29.10.12"
"630399","181","Харківська область","Зміївська школа №2, велика спортивна зала
вул.Харківська, 1, м.Зміїв, Зміївський р-н, Харківська обл., 63404","2104","999","2069","60","1049","56","1105","","0","1049","56","1105","52","1053","195","18","1","18","20","650","73","78","28.10.12"
"630400","181","Харківська область","ОСББ ""Джерело-LIVE"", фойє
пров.Залізничний, 2, м.Зміїв, Зміївський р-н, Харківська обл., 63404","2032","1014","2016","27","997","21","1018","","0","997","21","1018","42","976","182","12","4","13","26","590","74","75","29.10.12"
"630401","181","Харківська область","Зміївська школа №2, мала спортивна зала
вул.Харківська, 1, м.Зміїв, Зміївський р-н, Харківська обл., 63404","2072","1144","2039","30","901","27","928","","0","901","27","928","47","881","95","17","4","11","24","595","67","68","29.10.12"
"630402","181","Харківська область","гуртожиток санаторію ""Занки"", фойє
вул.Бутівська, 5, м.Зміїв, Зміївський р-н, Харківська обл., 63404","1032","452","1023","16","567","13","580","","0","567","13","580","28","552","82","10","2","8","13","359","38","40","29.10.12"
"630403","181","Харківська область","Зідьківська школа, спортивна зала
вул.Фабрична, 2, смт Зідьки, Зміївський р-н, Харківська обл., 63432","2360","1077","2322","104","1192","91","1283","","0","1192","91","1283","30","1253","118","13","3","18","25","923","79","74","29.10.12"
"630404","181","Харківська область","Черемушнянський клуб, актова зала
вул.Хвойна, 1, смт Зідьки, Зміївський р-н, Харківська обл., 63432","1296","638","1279","67","593","65","658","","0","593","65","658","30","628","62","10","5","2","11","441","31","66","29.10.12"
