"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Захарченко
Ігор
Георгійович","Мальцев
Устин
Валерійович","Найдьонов
Андрій
Михайлович","Сальдо
Володимир
Васильович","Ткач
Олексій
Олександрович","Урсуленко
Олексій
Анатолійович","Дата підписання протоколу"
"000001","182","Херсонська область","актовий зал
вул. Перекопська, буд. 10, м. Херсон, 73000","808","220","603","16","572","16","588","","0","572","16","588","159","429","23","30","26","220","29","101","29.10.12"
"650622","182","Херсонська область","обласна універсальна наукова бібліотека ім.О.Гончара, хол, 1-й поверх
вул.Дніпропетровська, 2, м.Херсон, 73000","1392","725","1389","9","658","9","667","","0","658","9","667","47","620","24","22","75","244","11","244","05.11.12"
"650623","182","Херсонська область","дитячо-юнацька спортивна школа №3, вестибюль, 1-й поверх
вул.Шмідта, 100, м.Херсон, 73000","1936","1057","1914","32","855","24","879","","0","855","24","879","53","826","31","40","84","343","22","306","29.10.12"
"650624","182","Херсонська область","міжшкільний навчально-виробничий комбінат, вестибюль, 2-й поверх
вул.Старостіна, 55, м.Херсон, 73000","2024","1185","2002","17","824","15","839","","0","824","15","839","69","770","24","26","100","283","18","319","29.10.12"
"650625","182","Херсонська область","школа №13, спортивна зала, 1-й поверх
вул.Старостіна, 19, м.Херсон, 73000","2064","1145","2004","19","902","17","919","","0","901","17","918","44","874","37","34","113","342","27","321","30.10.12"
"650626","182","Херсонська область","Херсонський державний університет, хол, 1-й поверх
вул.40 років Жовтня, 27, м.Херсон, 73000","1296","689","1296","5","602","5","607","","0","602","5","607","38","569","17","22","69","191","14","256","29.10.12"
"650627","182","Херсонська область","школа-інтернат ім.Т.Г.Шевченка, хол, 1-й поверх
вул.Пугачова, 101, м.Херсон, 73000","1936","974","1951","10","954","8","962","","0","954","8","962","71","891","35","48","100","363","18","327","29.10.12"
"650628","182","Херсонська область","школа №35, вестибюль, 1-й поверх
пров.Смоленський, 80, м.Херсон, 73000","984","548","982","9","430","6","436","","0","430","6","436","47","389","14","22","56","142","6","149","29.10.12"
"650629","182","Херсонська область","відділ державної Реєстрації актів цивільного стану районного управління юстиції, хол, 2-й поверх
вул.Чорноморська, 22А, м.Херсон, 73000","1184","578","1164","8","599","7","606","","0","599","7","606","34","572","24","24","68","238","9","209","29.10.12"
"650630","182","Херсонська область","Херсонський базовий медичний коледж, хол, 1-й поверх
вул.Перекопська, 164, м.Херсон, 73000","1168","603","1155","11","554","11","565","","0","554","11","565","36","529","19","14","70","201","13","212","29.10.12"
"650631","182","Херсонська область","школа №53, хол, 1-й поверх
вул.О.Шовкуненка, 86А, м.Херсон, 73000","2288","1053","2264","17","1222","13","1235","","0","1222","13","1235","118","1117","62","50","179","440","26","360","29.10.12"
"650632","182","Херсонська область","палац молоді та студентів, фойє великої зали, 1-й поверх
пл.Т.Г.Шевченка, 1, м.Херсон, 73000","2280","1181","2262","38","1065","34","1099","","0","1065","34","1099","85","1014","98","28","169","323","27","369","29.10.12"
