"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Бичковський
Юрій
Олегович","Вандрашек
Вячеслав
Павлович","Лахнеко
Олег
Іванович","Лебедєв
Олександр
Павлович","Мусійко
Вадим
Юрійович","Назарян
Євген
Григорович","Поддубченко
Ігор
Іванович","Попутько
Юрій
Анатолійович","Путілов
Андрій
Станіславович","Романченко
Борис
Володимирович","Тишкевич
Олексій
Володимирович","Федін
Василь
Вікторович","Дата підписання протоколу"
"650047","183","Херсонська область","школа №2, хол
вул.Батумська, 26, смт Білозерка, Білозерський р-н, Херсонська обл., 75000","2292","1259","2269","9","1029","4","1033","","0","1029","4","1033","61","972","9","2","65","9","14","18","42","13","546","8","8","238","29.10.12"
"650048","183","Херсонська область","будинок культури, концертний зал
вул.Карла Маркса, 100, смт Білозерка, Білозерський р-н, Херсонська обл., 75000","1896","934","1876","27","938","24","962","","0","938","24","962","35","927","4","8","80","11","9","13","41","8","487","6","7","253","29.10.12"
"650049","183","Херсонська область","школа №3, столова
вул.Карла Маркса, 217, смт Білозерка, Білозерський р-н, Херсонська обл., 75000","2082","1129","2078","19","946","7","953","","0","946","7","953","42","911","10","4","44","9","7","14","33","13","538","13","9","217","29.10.12"
"650050","183","Херсонська область","школа №1, актова зала
вул.Романа Вдовиченко, 93, смт Білозерка, Білозерський р-н, Херсонська обл., 75000","1866","993","1852","41","836","37","873","","0","836","37","873","78","795","3","9","65","12","18","14","42","7","374","20","6","225","29.10.12"
"650051","183","Херсонська область","будинок культури, концертна зала
вул.Центральна, 3, с-ще Дніпровське, Білозерський р-н, Херсонська обл., 75003","1506","705","1492","43","765","36","801","","0","765","36","801","45","756","19","3","32","3","3","18","34","10","345","10","6","273","29.10.12"
"650052","183","Херсонська область","сільська рада, зал реєстрації
вул.Радянська, 158, с.Кізомис, Білозерський р-н, Херсонська обл., 75005","1332","627","1321","40","671","34","705","","0","671","34","705","46","659","4","2","85","9","4","6","36","10","293","2","4","204","29.10.12"
"650053","183","Херсонська область","школа, спортивна зала
вул.Радянська, 23А, с-ще Велетенське, Білозерський р-н, Херсонська обл., 75006","1164","557","1150","45","572","35","607","","0","572","35","607","41","566","5","5","104","2","3","5","29","9","245","7","5","147","29.10.12"
"650054","183","Херсонська область","школа, спортивна зала
вул.Центральна, 16, с.Надеждівка, Білозерський р-н, Херсонська обл., 75015","1074","532","1070","29","521","21","542","","0","521","21","542","35","507","11","4","35","1","8","6","34","9","243","5","3","148","29.10.12"
"650055","183","Херсонська область","школа, хол
вул.Комсомольська, 55, с.Олександрівка, Білозерський р-н, Херсонська обл., 75050","1836","1023","1820","70","746","67","813","","0","746","67","813","56","757","13","6","77","8","7","16","26","12","288","17","4","283","29.10.12"
"650056","183","Херсонська область","будинок культури, хол
вул.Леніна, 8, с.Станіслав, Білозерський р-н, Херсонська обл., 75051","1812","931","1798","61","823","58","881","","0","823","58","881","42","839","7","4","55","6","5","13","41","5","500","8","6","189","29.10.12"
"650057","183","Херсонська область","школа, хол
вул.Леніна, 35, с.Станіслав, Білозерський р-н, Херсонська обл., 75051","1974","1089","1954","69","831","54","885","","0","831","54","885","43","842","14","7","68","7","3","9","59","15","407","32","8","213","29.10.12"
