"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Вінник
Іван
Юлійович","Воличенко
Роман
Миколайович","Діденко
Сергій
Володимирович","Дмитрук
Микола
Ілліч","Литвин
Ігор
Йосипович","Севрюков
Георгій
Іванович","Сіленков
Борис
Віталійович","Стретович
Володимир
Миколайович","Терлецький
Юрій
Сергійович","Дата підписання протоколу"
"650001","184","Херсонська область","школа №4, фойє, 1-й поверх
вул.Херсонська, 163, м.Берислав, Бериславський р-н, Херсонська обл., 74300","2448","1446","2442","25","978","24","1002","","0","0","0","1002","50","952","171","9","18","352","58","96","73","60","115","31.10.12"
"650002","184","Херсонська область","ПАТ ""Машинобудівний завод"", фойє
вул.25 років Жовтня, 73, м.Берислав, Бериславський р-н, Херсонська обл., 74300","2136","1241","2106","42","860","35","895","","0","860","35","895","48","847","141","7","13","308","56","90","78","55","99","28.10.12"
"650003","184","Херсонська область","школа №1, вестибюль, 1-й поверх
вул.1Травня, 266, м.Берислав, Бериславський р-н, Херсонська обл., 74300","1320","688","1295","34","599","33","632","","0","599","33","632","21","611","138","5","1","180","40","65","59","47","76","28.10.12"
"650004","184","Херсонська область","районний будинок культури, фойє, 1-й поверх
вул.Гоголя, 3, м.Берислав, Бериславський р-н, Херсонська обл., 74300","2010","924","1969","32","1058","28","1086","","0","0","0","1086","32","1054","207","6","11","316","81","137","61","83","152","31.10.12"
"650005","184","Херсонська область","Бериславське медичне училище, спортивний зал, 1-й поверх
вул.1Травня, 173, м.Берислав, Бериславський р-н, Херсонська обл., 74300","1752","837","1731","38","878","37","915","","0","878","37","915","39","876","135","7","7","296","63","116","51","69","132","29.10.12"
"650006","184","Херсонська область","Бериславське педагогічне училище, фойє, 1-й поверх
вул.Слобідська, 45, м.Берислав, Бериславський р-н, Херсонська обл., 74300","2010","1116","1982","28","870","24","894","","0","870","24","894","43","851","135","7","17","263","70","131","52","70","106","29.10.12"
"650007","184","Херсонська область","сільський клуб, зал
вул.Леніна, 18А, с.Бургунка, Бериславський р-н, Херсонська обл., 74334","834","354","834","20","461","19","480","","0","461","19","480","13","467","24","6","11","184","19","103","31","67","22","28.10.12"
"650008","184","Херсонська область","будинок культури, танцювальний зал
вул.Леніна, 8, с-ще Веселе, Бериславський р-н, Херсонська обл., 74344","2016","960","1990","68","990","66","1056","","0","990","66","1056","65","991","102","12","15","236","99","132","80","137","178","28.10.12"
"650009","184","Херсонська область","школа, актовий зал
вул.Комарова, 36, смт Козацьке, Бериславський р-н, Херсонська обл., 74343","1716","883","1685","34","802","31","833","","0","802","31","833","61","772","83","11","11","146","82","140","65","124","110","28.10.12"
"650010","184","Херсонська область","будинок культури, фойє
вул.Шевченко, 9, смт Козацьке, Бериславський р-н, Херсонська обл., 74343","1422","789","1404","30","606","27","633","","0","606","27","633","46","586","76","10","12","167","70","62","39","48","102","29.10.12"
