"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Бойко
Володимир
Михайлович","Василенко
Борис
Олексійович","Вєтрова
Ірина
Вікторівна","Єрьоменко
Олег
Анатолійович","Коваленко
Едуард
Володимирович","Мартиненко
Олег
Анатолійович","Ніколаєнко
Станіслав
Миколайович","Опанащенко
Михайло
Володимирович","Пінаєв
Олександр
Вікторович","Сопрун
Сергій
Іванович","Тарановський
Анатолій
Федорович","Хлань
Сергій
Володимирович","Яковенко
Андрій
Олександрович","Ячменьов
Володимир
Миколайович","Дата підписання протоколу"
"650141","185","Херсонська область","фельшерсько-акушерський пункт, фойє
вул.Петровського, 27, с.Вишневе, Верхньорогачицький р-н, Херсонська обл., 74405","108","32","104","25","51","25","76","","0","51","25","76","5","71","1","3","1","0","2","2","21","28","1","0","11","1","0","0","29.10.12"
"650142","185","Херсонська область","селищний будинок культури №3, фойє
вул.Радянська, 7, смт Верхній Рогачик, Верхньорогачицький р-н, Херсонська обл., 74402","348","112","337","24","212","24","236","","0","212","24","236","7","229","6","8","7","2","0","0","89","53","7","3","26","18","0","10","29.10.12"
"650143","185","Херсонська область","селищний будинок культури №2, фойє
вул.Українська, 124, смт Верхній Рогачик, Верхньорогачицький р-н, Херсонська обл., 74402","510","123","508","47","341","46","387","","0","341","46","387","7","380","1","8","2","8","0","1","103","125","3","1","41","73","2","12","29.10.12"
"650144","185","Херсонська область","селищний будинок культури №1, фойє
вул.Калініна, 60, смт Верхній Рогачик, Верхньорогачицький р-н, Херсонська обл., 74402","624","208","616","30","388","28","416","","0","388","28","416","9","407","3","16","8","8","0","2","119","148","10","3","43","34","0","13","29.10.12"
"650145","185","Херсонська область","приміщення СТОВ ""Таврія"", фойє
вул.Шевченко, 101, смт Верхній Рогачик, Верхньорогачицький р-н, Херсонська обл., 74402","936","310","918","58","571","55","626","","0","571","55","626","18","608","8","26","5","8","3","5","174","244","11","3","50","60","1","10","29.10.12"
"650146","185","Херсонська область","районний будинок культури, фойє
вул.Ювілейна, 47, смт Верхній Рогачик, Верхньорогачицький р-н, Херсонська обл., 74402","1584","521","1569","91","982","81","1063","","0","982","81","1063","10","1053","12","67","14","14","2","4","284","354","36","1","148","64","1","52","29.10.12"
"650147","185","Херсонська область","приміщення колишньої гімназії, спортивний зал
вул.Кірова, 110, смт Верхній Рогачик, Верхньорогачицький р-н, Херсонська обл., 74402","804","250","788","65","490","64","554","","0","490","64","554","8","546","3","31","16","6","3","2","158","183","7","6","65","38","1","27","29.10.12"
"650148","185","Херсонська область","сільський клуб, фойє
вул.Леніна, 33Б, с.Бережанка, Верхньорогачицький р-н, Херсонська обл., 74420","354","90","353","19","249","15","264","","0","249","15","264","6","258","3","7","3","19","1","3","21","78","4","0","37","77","2","3","29.10.12"
"650149","185","Херсонська область","приміщення колишнього кафе, велика кімната
вул.Карла Маркса, 52Б, с.Михайлівка, Верхньорогачицький р-н, Херсонська обл., 74420","198","61","196","15","122","15","137","","0","122","15","137","5","132","2","4","0","0","0","0","27","45","3","0","24","26","1","0","29.10.12"
"650150","185","Херсонська область","колишній дитячий садок, актова зала
вул.Комсомольська, 47, с.Новознам’янка, Верхньорогачицький р-н, Херсонська обл., 74422","150","43","150","15","93","14","107","","0","93","14","107","2","105","2","16","0","2","0","1","15","41","1","0","17","5","1","4","30.10.12"
"650151","185","Херсонська область","фельшерсько-акушерський пункт, фойє
вул.Радянська, 56, с.Георгіївка, Верхньорогачицький р-н, Херсонська обл., 74431","90","19","89","5","66","5","71","","0","66","5","71","1","70","1","3","0","0","0","0","14","29","1","1","4","15","1","1","29.10.12"
"650152","185","Херсонська область","сільський клуб, фойє
вул.Корбута, 39, с.Зелене, Верхньорогачицький р-н, Херсонська обл., 74440","456","124","455","25","307","25","332","","0","307","25","332","12","320","7","15","9","5","4","4","62","101","6","2","41","54","2","8","29.10.12"
