"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Гончарський
Іван
Львович","Журавко
Олексій
Валерійович","Негой
Федір
Федорович","Реуцький
Іван
Васильович","Самойлик
Катерина
Семенівна","Сергеєв
Сергій
Олександрович","Твердовський
Олександр
Миколайович","Фролов
Олексій
Володимирович","Халупенко
Денис
Миколайович","Дата підписання протоколу"
"650235","186","Херсонська область","гімназія, вестибюль
вул.Ларіонова, 132, м.Гола Пристань, Голопристанський р-н, Херсонська обл., 75600","2328","1292","2241","5","1031","5","1036","","0","1030","5","1035","33","1002","205","238","161","11","184","10","119","36","38","29.10.12"
"650236","186","Херсонська область","санаторій ""Гопри"", вестибюль
вул.Леніна, 72, м.Гола Пристань, Голопристанський р-н, Херсонська обл., 75600","1216","637","1194","0","579","0","579","","0","579","0","579","22","557","78","149","93","6","102","7","72","17","33","04.11.12"
"650237","186","Херсонська область","школа мистецтв, вестибюль
вул.Горького, 18, м.Гола Пристань, Голопристанський р-н, Херсонська обл., 75600","2320","1221","2260","13","1089","10","1099","","0","1089","10","1099","30","1069","198","275","124","9","200","11","130","53","69","29.10.12"
"650238","186","Херсонська область","школа №4, вестибюль
вул.1 Травня, 38, м.Гола Пристань, Голопристанський р-н, Херсонська обл., 75600","2288","1249","2229","6","1034","5","1039","","0","1034","5","1039","45","994","164","206","118","12","225","10","148","57","54","29.10.12"
"650239","186","Херсонська область","школа №1, вестибюль
вул.1 Травня, 62, м.Гола Пристань, Голопристанський р-н, Херсонська обл., 75600","1712","961","1636","4","748","3","751","","0","748","3","751","28","723","108","139","176","8","133","10","84","27","38","29.10.12"
"650240","186","Херсонська область","автопідприємство-16540, вестибюль
вул.Дзержинського, 32, м.Гола Пристань, Голопристанський р-н, Херсонська обл., 75600","1752","943","1742","9","801","8","809","","0","801","8","809","26","783","113","151","190","7","129","9","107","27","50","29.10.12"
"650241","186","Херсонська область","Приморське управління водного господарства, фойє
вул.Московська, 2, м.Гола Пристань, Голопристанський р-н, Херсонська обл., 75600","2008","1103","1994","11","896","9","905","","0","896","9","905","32","872","141","171","181","5","165","7","127","38","37","28.10.12"
"650242","186","Херсонська область","геріатричний пансіонат, фойє
вул.Червоноармійська, 103А, м.Гола Пристань, Голопристанський р-н, Херсонська обл., 75600","232","31","230","85","122","79","201","","0","122","79","201","14","187","10","113","13","1","38","3","5","3","1","29.10.12"
"650243","186","Херсонська область","бібліотека-філія, фойє
с.Білогрудове, Голопристанський р-н, Херсонська обл., 75600","144","55","153","0","89","0","89","","0","89","0","89","6","83","14","48","6","0","6","0","5","3","1","29.10.12"
"650244","186","Херсонська область","будинок культури, фойє
вул.Українська, 26, с.Велика Кардашинка, Голопристанський р-н, Херсонська обл., 75610","1048","500","1040","1","548","0","548","","0","548","0","548","17","531","54","84","209","4","85","3","53","19","20","28.10.12"
"650245","186","Херсонська область","бібліотека, фойє
вул.Шкільна, 52, с.Мала Кардашинка, Голопристанський р-н, Херсонська обл., 75612","824","410","815","2","412","2","414","","0","412","2","414","22","392","65","66","147","11","54","2","32","8","7","29.10.12"
