"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Бойченко
Ігор
Петрович","Дейнека
Олег
Володимирович","Кабачинська
Світлана
Іллівна","Лукашук
Олег
Григорович","Мельник
Дмитро
Лукіч","Слободян
Олександр
В’ячеславович","Хижняк
Сергій
Юрійович","Янчук
Микола
Андрійович","Дата підписання протоколу"
"000001","187","Хмельницька область","
вул.Кам’янецька, 39, м.Хмельницький","696","154","562","6","536","6","542","","0","536","6","542","144","398","34","20","26","59","37","142","11","69","29.10.12"
"681455","187","Хмельницька область","СКЦ ""Плоскирів"", актова зала (2-й поверх)
вул.Курчатова, 90, м.Хмельницький, 29000","2392","1007","2375","11","1374","11","1385","","0","1373","11","1384","49","1335","18","23","44","627","61","363","13","186","29.10.12"
"681456","187","Хмельницька область","ЦПТО торгівлі та харчових технологій, їдальня
вул.Курчатова, 69/1, м.Хмельницький, 29000","2352","996","2341","11","1351","5","1356","","0","1351","5","1356","24","1332","47","25","36","628","71","364","7","154","29.10.12"
"681457","187","Хмельницька область","школа №20, хол
вул.Ричка, 1, м.Хмельницький, 29000","1656","767","1661","21","872","17","889","","0","872","17","889","20","869","3","24","34","311","38","312","6","141","29.10.12"
"681458","187","Хмельницька область","школа №20, спортивна зала
вул.Ричка, 1, м.Хмельницький, 29000","1320","454","1318","1","865","1","866","","0","865","1","866","19","847","2","19","16","359","24","281","7","139","29.10.12"
"681459","187","Хмельницька область","школа мистецтв ""Райдуга"", актова зала
вул.Курчатова, 9, м.Хмельницький, 29000","2096","886","2090","13","1200","10","1210","","0","1200","10","1210","36","1174","8","30","43","554","60","301","6","172","29.10.12"
"681460","187","Хмельницька область","навчально-виховний комплекс №7, хол
вул.Курчатова, 4/3, м.Хмельницький, 29000","2224","847","2207","10","1369","8","1377","","0","1369","8","1377","18","1359","17","42","47","618","50","372","10","203","29.10.12"
"681461","187","Хмельницька область","центр виховання учнівської молоді, тацювальна зала (1-й поверх)
вул.Курчатова, 1Б, м.Хмельницький, 29000","2344","782","2323","12","1553","9","1562","","0","1553","9","1562","30","1532","20","32","50","750","74","390","10","206","29.10.12"
"681462","187","Хмельницька область","центр виховання учнівської молоді, танцювальна зала (2-й поверх)
вул.Курчатова, 1Б, м.Хмельницький, 29000","2200","845","2191","6","1350","5","1355","","0","1350","5","1355","38","1317","11","37","39","574","61","383","8","204","29.10.12"
"681463","187","Хмельницька область","ХОЕНЦУМ, навчальний клас
пров.Шкільний, 8, м.Хмельницький, 29000","1232","526","1233","31","685","21","706","","0","685","21","706","19","687","5","32","22","293","27","227","9","72","29.10.12"
"681464","187","Хмельницька область","школа №29, хол 1
вул.Вокзальна, 16, м.Хмельницький, 29000","2424","855","2413","18","1552","17","1569","","0","1552","17","1569","26","1543","17","27","51","654","78","400","20","296","29.10.12"
"681465","187","Хмельницька область","навчально-виховний комплекс №7, спортивна зала
вул.Курчатова, 4/3, м.Хмельницький, 29000","2360","883","2356","15","1466","11","1477","","0","1466","11","1477","22","1455","28","30","55","644","76","386","14","222","29.10.12"
"681466","187","Хмельницька область","школа №29, хол 2
вул.Вокзальна, 16, м.Хмельницький, 29000","2216","845","2174","32","1348","23","1371","","0","1348","23","1371","29","1342","18","29","47","565","79","392","14","198","29.10.12"
"681467","187","Хмельницька область","школа №27, хол
вул.Львівське шосе, 47/4, м.Хмельницький, 29000","2176","866","2180","13","1296","13","1309","","0","1296","13","1309","34","1275","9","35","47","543","75","365","18","183","02.11.12"
"681468","187","Хмельницька область","гуртожиток ліцею електроніки, хол
вул.Тернопільська, 40, м.Хмельницький, 29000","2416","948","2400","8","1460","8","1468","","0","1460","8","1468","36","1432","9","20","52","605","61","440","11","234","29.10.12"
"681469","187","Хмельницька область","інститут підприємництва, хол
вул.Львівське шосе, 51/2, м.Хмельницький, 29000","2160","788","2140","14","1363","9","1372","","0","1363","9","1372","34","1338","10","46","29","651","51","342","15","194","29.10.12"
"681470","187","Хмельницька область","школа №24, хол
вул.Львівське шосе, 47/3, м.Хмельницький, 29000","2264","868","2268","14","1386","10","1396","","0","1386","10","1396","42","1354","9","25","44","644","60","350","18","204","29.10.12"
"681471","187","Хмельницька область","професійний ліцей електроніки, хол
вул.Тернопільська, 40/1, м.Хмельницький, 29000","1688","756","1674","4","929","3","932","","0","929","3","932","17","915","9","20","25","434","54","223","11","139","29.10.12"
"681472","187","Хмельницька область","вище професійне училище №11, хол
вул.Тернопільська, 15/2, м.Хмельницький, 29000","2296","864","2283","8","1424","8","1432","","0","1424","8","1432","24","1408","14","23","51","608","76","403","9","224","29.10.12"
"681473","187","Хмельницька область","школа №19, актова зала
вул.Кам’янецька, 164, м.Хмельницький, 29000","1896","705","1889","11","1180","11","1191","","0","1180","11","1191","30","1161","6","17","57","543","28","358","6","146","02.11.12"
"681474","187","Хмельницька область","школа №19, спортивна зала
вул.Кам’янецька, 164, м.Хмельницький, 29000","1760","758","1748","7","995","7","1002","","0","995","7","1002","25","977","6","17","46","454","39","276","5","134","29.10.12"
"681475","187","Хмельницька область","гуртожиток ХТЕК, кімната виховної роботи
вул.Тернопільська, 5, м.Хмельницький, 29000","1360","507","1359","15","841","12","853","","0","841","12","853","25","828","6","14","36","390","37","199","3","143","29.10.12"
"681476","187","Хмельницька область","АТП-16854, хол
вул.Київська, 4, м.Хмельницький, 29000","1776","657","1775","22","1104","15","1119","","0","1104","15","1119","29","1090","10","33","65","525","51","274","11","121","29.10.12"
"681477","187","Хмельницька область","бібліотека ХНУ, хол
вул.Кам’янецька, 110/1, м.Хмельницький, 29000","2296","1085","2312","6","1206","5","1211","","0","1206","5","1211","44","1167","13","27","46","316","42","472","9","242","29.10.12"
"681478","187","Хмельницька область","технічний багатопрофільний ліцей, спортивна зала
вул.Тернопільська, 14/1, м.Хмельницький, 29000","2304","844","2293","14","1449","11","1460","","0","1448","11","1459","32","1427","6","32","49","639","114","346","18","223","29.10.12"
"681479","187","Хмельницька область","ХНУ, хол
вул.Інститутська, 11/1, м.Хмельницький, 29000","2248","827","2271","21","1405","16","1421","","0","1405","16","1421","25","1396","21","26","58","427","80","554","20","210","29.10.12"
"681480","187","Хмельницька область","вище професійне училище №4, хол
вул.Інститутська, 10, м.Хмельницький, 29000","2304","970","2280","18","1327","7","1334","","0","1327","7","1334","29","1305","15","27","63","518","76","359","14","233","29.10.12"
"681481","187","Хмельницька область","навчально-виховний комплекс №6, хол
вул.Молодіжна, 5/1, м.Хмельницький, 29000","2056","736","2034","39","1296","24","1320","","0","1295","24","1319","36","1283","9","56","59","497","112","357","17","176","29.10.12"
"681482","187","Хмельницька область","гуртожиток ЖКК ""Будівельник"", зала засідань
вул.Інститутська, 8, м.Хмельницький, 29000","2336","951","2341","22","1367","18","1385","","0","1367","18","1385","35","1350","7","33","62","578","78","356","12","224","29.10.12"
"681483","187","Хмельницька область","ЖЕК №3, зала засідань
вул.Молодіжна, 3, м.Хмельницький, 29000","2160","678","2145","17","1472","10","1482","","0","1472","10","1482","30","1452","5","63","46","678","89","344","13","214","01.11.12"
"681484","187","Хмельницька область","школа №32, спортивна зала
вул.Гагаріна, 31, м.Хмельницький, 29000","1888","711","1894","23","1159","18","1177","","0","1159","18","1177","26","1151","9","32","50","479","78","322","17","164","29.10.12"
"681485","187","Хмельницька область","школа №15, хол
вул.Проскурівського підпілля, 125/1, м.Хмельницький, 29000","1680","650","1665","38","998","32","1030","","0","998","32","1030","24","1006","4","28","31","443","73","257","24","146","29.10.12"
"681486","187","Хмельницька область","обласна філармонія, хол
вул.Гагаріна, 7, м.Хмельницький, 29000","1640","600","1636","44","1010","30","1040","","0","1010","30","1040","40","1000","7","42","49","367","114","254","19","148","29.10.12"
"681487","187","Хмельницька область","педагогічна академія, хол
вул.Проскурівського підпілля, 139, м.Хмельницький, 29000","2232","807","2234","20","1409","16","1425","","0","1409","16","1425","38","1387","10","57","50","568","81","382","18","221","29.10.12"
"681488","187","Хмельницька область","театр ім.Старицького, хол
вул.Соборна, 60, м.Хмельницький, 29000","1296","434","1292","24","846","16","862","","0","846","16","862","23","839","7","15","59","306","67","213","16","156","29.10.12"
"681489","187","Хмельницька область","школа №1, хол
вул.Примакова, 2, м.Хмельницький, 29000","2384","890","2371","30","1473","21","1494","","0","1473","21","1494","24","1470","18","56","61","567","101","415","11","241","29.10.12"
"681490","187","Хмельницька область","торговельно-економічний інститут, хол
вул.Кам’янецька, 3, м.Хмельницький, 29000","1648","569","1658","10","1072","7","1079","","0","1072","7","1079","28","1051","11","41","56","364","98","286","20","175","29.10.12"
"681491","187","Хмельницька область","міський будинок культури, хол
вул.Проскурівська, 43, м.Хмельницький, 29000","2296","861","2288","30","1421","14","1435","","0","1421","14","1435","22","1413","14","55","54","541","101","397","14","237","30.10.12"
"681492","187","Хмельницька область","палац творчості, хол
вул.Свободи, 2/1, м.Хмельницький, 29000","2344","888","2324","13","1447","9","1456","","0","1447","9","1456","36","1420","15","67","64","597","76","364","13","224","29.10.12"
"681493","187","Хмельницька область","навчально-виховний комплекс №10, хол
вул.Водопровідна, 11, м.Хмельницький, 29000","2360","830","2348","20","1516","14","1530","","0","0","0","1530","14","1516","20","30","67","655","84","378","21","261","31.10.12"
"681494","187","Хмельницька область","МКП ""Хмельницькводоканал"", хол
вул.Водопровідна, 75, м.Хмельницький, 29000","2488","852","2467","28","1615","21","1636","","0","1615","21","1636","40","1596","6","42","75","624","103","452","15","279","29.10.12"
"681495","187","Хмельницька область","обласне управління охорони здоров’я, зала засідань
вул.Шевченка, 46, м.Хмельницький, 29000","1568","611","1555","17","946","11","957","","0","946","11","957","17","940","4","30","48","337","57","240","10","214","29.10.12"
"681496","187","Хмельницька область","центр фізичного виховання, спортивна зала
вул.Пилипчука, 41, м.Хмельницький, 29000","2424","839","2405","39","1560","25","1585","","0","1560","25","1585","47","1538","10","44","75","612","113","403","13","268","31.10.12"
"681497","187","Хмельницька область","ХУУП, навчальний корпус №4, актова зала
вул.Проскурівська, 57, м.Хмельницький, 29000","1664","607","1659","61","1012","45","1057","","0","1012","45","1057","18","1039","13","32","57","349","84","304","22","178","29.10.12"
"681498","187","Хмельницька область","навчально-виховний комплекс №2, хол
вул.Франка, 57, м.Хмельницький, 29000","2208","855","2228","12","1345","8","1353","","0","1345","8","1353","26","1327","15","45","47","377","145","414","17","267","29.10.12"
"681499","187","Хмельницька область","навчально-виховний комплекс №2, спортивна зала
вул.Франка, 57, м.Хмельницький, 29000","1696","636","1685","18","1047","13","1060","","0","1047","13","1060","29","1031","6","32","42","339","158","265","24","165","29.10.12"
"681500","187","Хмельницька область","фінансово-економічний коледж, лекційна зала
вул.Сковороди, 17, м.Хмельницький, 29000","2408","888","2403","20","1503","17","1520","","0","1503","17","1520","45","1475","22","28","53","595","70","460","10","237","29.10.12"
"681501","187","Хмельницька область","школа №18 (початкова школа), хол
вул.Кам’янецька, 119, м.Хмельницький, 29000","2208","826","2181","36","1357","25","1382","","0","1357","25","1382","24","1358","10","45","47","563","112","346","11","224","29.10.12"
"681502","187","Хмельницька область","школа №18, хол
вул.Купріна, 12, м.Хмельницький, 29000","2272","896","2265","73","1320","56","1376","","0","1320","56","1376","31","1345","10","13","35","678","106","319","10","174","30.10.12"
"681503","187","Хмельницька область","ЖЕК №5, зала засідань
вул.Купріна, 61, м.Хмельницький, 29000","1616","591","1603","26","1004","21","1025","","0","1004","21","1025","19","1006","7","34","17","422","93","271","12","150","29.10.12"
"681504","187","Хмельницька область","ХІСТ ""Україна"", тренажерна зала
вул.Городовікова, 6, м.Хмельницький, 29000","2424","953","2408","31","1446","25","1471","","0","1446","25","1471","50","1421","10","42","46","461","163","447","27","225","29.10.12"
"681505","187","Хмельницька область","ХІСТ ""Україна"", лекційна зала
вул.Толбухіна, 5, м.Хмельницький, 29000","2232","955","2207","27","1259","18","1277","","0","1259","18","1277","27","1250","8","28","58","413","148","385","26","184","29.10.12"
"681506","187","Хмельницька область","МКП ""Хмельницьктеплокомуненерго"", актова зала
вул.Пересипкіна, 5, м.Хмельницький, 29000","2248","803","2247","36","1417","28","1445","","0","1417","28","1445","31","1414","4","65","47","555","83","419","18","223","29.10.12"
"681507","187","Хмельницька область","ХДУДППЗ ""Укрпошта"", зала засідань
вул.Проскурівська, 90, м.Хмельницький, 29000","1040","334","1036","12","697","9","706","","0","697","9","706","20","686","5","27","32","153","62","256","11","140","29.10.12"
"681508","187","Хмельницька область","клуб МКП ""Хмельницькводоканал"", актова зала
вул.Прибузька, 38, м.Хмельницький, 29000","2216","767","2198","17","1439","10","1449","","0","1439","10","1449","35","1414","10","33","80","557","93","402","13","226","29.10.12"
"681509","187","Хмельницька область","школа №7, хол
вул.Заводська, 33, м.Хмельницький, 29000","2304","912","2290","34","1366","26","1392","","0","1366","26","1392","39","1353","14","36","66","557","84","360","14","222","29.10.12"
"681510","187","Хмельницька область","школа №7, спортивна зала
вул.Заводська, 33, м.Хмельницький, 29000","2360","977","2346","51","1349","34","1383","","0","1349","34","1383","43","1340","19","37","46","549","70","394","18","207","29.10.12"
"681511","187","Хмельницька область","ДЮСШ №1, спортивна зала
вул.Щорса, 17, м.Хмельницький, 29000","2296","888","2285","23","1385","23","1408","","0","1383","23","1406","24","1382","12","52","56","579","68","336","19","260","29.10.12"
"681512","187","Хмельницька область","школа №14, спортивна зала
вул.Щорса, 17, м.Хмельницький, 29000","2496","928","2484","11","1559","9","1568","","0","1559","9","1568","47","1521","6","39","65","710","64","388","11","238","29.10.12"
"681513","187","Хмельницька область","гуртожиток ЖКК ""Будівельник"", хол
вул.Чорновола, 62, м.Хмельницький, 29000","2344","952","2317","25","1376","16","1392","","0","1376","16","1392","47","1345","7","30","45","603","93","308","19","240","30.10.12"
"681514","187","Хмельницька область","школа №14 (початкова школа), спортивна зала
пров.Проїзний, 7, м.Хмельницький, 29000","1840","877","1836","26","942","21","963","","0","942","21","963","32","931","9","18","30","397","71","235","14","157","31.10.12"
"681515","187","Хмельницька область","школа №8, хол
вул.Гайдара, 34, м.Хмельницький, 29000","2376","860","2370","47","1480","36","1516","","0","0","0","1516","46","1470","21","32","57","670","76","387","12","215","01.11.12"
"681516","187","Хмельницька область","школа №8, спортивна зала
вул.Гайдара, 34, м.Хмельницький, 29000","2248","841","2230","29","1385","22","1407","","0","1385","22","1407","31","1376","11","24","55","621","86","367","19","193","29.10.12"
"681517","187","Хмельницька область","навчально-виховне об’єднання №9, актова зала
вул.Чорновола, 155, м.Хмельницький, 29000","2336","1025","2312","26","1291","20","1311","","0","1291","20","1311","55","1256","8","26","49","406","165","400","28","174","29.10.12"
"681518","187","Хмельницька область","ЦПТО торгово-кулінарних технологій, хол
вул.Чорновола, 159, м.Хмельницький, 29000","2288","1011","2265","9","1270","7","1277","","0","1270","7","1277","33","1244","13","32","39","372","172","397","28","191","31.10.12"
"681519","187","Хмельницька область","школа №12, хол
вул.Довженка, 6, м.Хмельницький, 29000","2400","863","2377","9","1528","9","1537","","0","1528","9","1537","33","1504","8","41","51","492","82","596","17","217","29.10.12"
"681520","187","Хмельницька область","будинок офіцерів, хол
вул.Якіра, 7, м.Хмельницький, 29000","2352","892","2337","22","1442","18","1460","","0","1442","18","1460","29","1431","13","44","60","413","210","440","33","218","29.10.12"
"681521","187","Хмельницька область","школа №12, спортивна зала
вул.Довженка, 6, м.Хмельницький, 29000","2160","911","2141","22","1234","15","1249","","0","1234","15","1249","41","1208","9","37","39","336","234","360","24","169","29.10.12"
"681522","187","Хмельницька область","санаторна школа-інтернат №2, хол
вул.Чорновола, 180, м.Хмельницький, 29000","2088","906","2054","13","1170","12","1182","","0","1170","12","1182","37","1145","13","25","44","407","134","308","18","196","29.10.12"
"681523","187","Хмельницька область","школа №23, спортивна зала
вул.Карбишева, 6, м.Хмельницький, 29000","1440","557","1424","58","832","51","883","","0","832","51","883","26","857","8","13","22","400","35","271","9","99","30.10.12"
"681524","187","Хмельницька область","міська дитяча лікарня, актова зала
вул.Разіна, 1, м.Хмельницький, 29000","72","37","43","0","35","0","35","","0","35","0","35","1","34","2","1","1","7","2","13","0","8","29.10.12"
"681525","187","Хмельницька область","міська інфекційна лікарня, зала засідань
вул.Сковороди, 17, м.Хмельницький, 29000","96","74","23","21","2","20","22","","0","2","20","22","0","22","1","1","2","7","2","4","0","5","28.10.12"
"681526","187","Хмельницька область","Хмельницька міська лікарня, зала засідань
пров.Проскурівський, 1, м.Хмельницький, 29000","408","291","182","102","35","82","117","","0","35","82","117","1","116","6","3","6","51","13","24","4","9","29.10.12"
"681527","187","Хмельницька область","міський перинатальний центр, актова зала
вул.Хотовицького, 6, м.Хмельницький, 29000","208","120","112","23","65","23","88","","0","65","23","88","2","86","1","3","5","24","8","31","0","14","28.10.12"
"681528","187","Хмельницька область","обласна дитяча лікарня, зала засідань
вул.Кам’янецька, 94, м.Хмельницький, 29000","256","206","55","0","50","0","50","","0","50","0","50","0","50","1","1","3","12","3","21","0","9","29.10.12"
"681529","187","Хмельницька область","обласний онкологічний диспансер, хол
вул.Пілотська, 1, м.Хмельницький, 29000","304","225","90","20","60","19","79","","0","60","19","79","1","78","6","1","4","14","14","17","2","20","28.10.12"
"681530","187","Хмельницька область","обласний шкірно-венерологічний диспансер, зала засідань
вул.Франка, 13, м.Хмельницький, 29000","104","94","10","0","10","0","10","","0","10","0","10","1","9","1","1","0","3","0","2","0","2","29.10.12"
"681531","187","Хмельницька область","обласний наркологічний диспансер, кабінет функціональної діагностики
вул.Ватутіна, 16, м.Хмельницький, 29000","104","98","17","0","6","0","6","","0","6","0","6","1","5","0","0","0","2","0","2","0","1","28.10.12"
"681532","187","Хмельницька область","обласний кардіологічний диспансер, зала засідань
вул.Володимирська, 85, м.Хмельницький, 29000","104","49","69","6","50","5","55","","0","50","5","55","1","54","1","0","7","17","1","15","2","11","29.10.12"
"681533","187","Хмельницька область","хмельницька обласна лікарня, зала засідань
вул.Пілотська, 1, м.Хмельницький, 29000","504","224","378","270","86","194","280","","0","86","194","280","11","269","13","6","15","68","26","70","5","66","29.10.12"
"681534","187","Хмельницька область","вузлова лікарня ст.Гречани, музей
вул.Волочиська, 6, м.Хмельницький, 29000","72","47","27","2","23","2","25","","0","23","2","25","0","25","0","0","2","3","3","14","0","3","29.10.12"
"681535","187","Хмельницька область","поліклініка УМВС, хол
вул.Проскурівського підпілля, 112, м.Хмельницький, 29000","64","50","15","0","14","0","14","","0","14","0","14","0","14","0","1","0","0","2","11","0","0","29.10.12"
"681536","187","Хмельницька область","районна лікарня, коридор аналітичного відділу
вул.Львівське шосе, 1, м.Хмельницький, 29000","112","96","32","5","11","5","16","","0","11","5","16","0","16","3","1","1","4","1","5","0","1","29.10.12"
