"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Беспалов
Дмитро
Анатолійович","Божук
Олександр
Миколайович","Гуцул
Іван
Володимирович","Кліщ
Віктор
Васильович","Коліщак
Віктор
Михайлович","Кушнір
Віктор
Миколайович","Лабазюк
Сергій
Петрович","Мазуренко
Андрій
Вікторович","Мовчан
Віталій
Андрійович","Плюта
Вадим
Олександрович","Селіфонтьєв
Сергій
Іванович","Співачук
Вадим
Володимирович","Теленько
Богдан
Петрович","Туркот
Микола
Петрович","Шевчук
Анатолій
Петрович","Шемчук
Олександр
Олександрович","Дата підписання протоколу"
"680105","188","Хмельницька область","сільська бібліотека, читальна зала
вул.Центральна, 1, с.Авратин, Волочиський р-н, Хмельницька обл., 31211","488","167","482","40","286","35","321","","0","286","35","321","9","312","28","3","1","0","38","2","222","0","14","1","0","1","0","1","0","1","29.10.12"
"680106","188","Хмельницька область","сільський будинок культури, глядацька зала
вул.Центральна, 51, с.Богданівка, Волочиський р-н, Хмельницька обл., 31220","384","101","377","33","251","32","283","","0","251","32","283","6","277","14","1","0","2","55","3","185","1","8","0","0","0","0","7","1","0","29.10.12"
"680107","188","Хмельницька область","сільський будинок культури, глядацька зала
вул.Травнева, 26, с.Бокиївка, Волочиський р-н, Хмельницька обл., 31264","300","84","301","24","192","24","216","","0","192","24","216","6","210","20","3","2","3","42","3","124","1","9","1","0","0","0","2","0","0","28.10.12"
"680108","188","Хмельницька область","фельдшерсько-акушерський пункт, к.1
вул.Гагаріна, 17, с.Медведівка, Волочиський р-н, Хмельницька обл., 31264","112","29","108","16","68","15","83","","0","68","15","83","2","81","8","0","0","0","9","0","62","0","0","0","0","0","0","2","0","0","29.10.12"
"680109","188","Хмельницька область","сільська рада, кабінет дільничного інспектора, 1-й поверх
вул.Шкільна, 2, с.Бронівка, Волочиський р-н, Хмельницька обл., 31270","284","77","284","31","177","30","207","","0","177","30","207","5","202","7","1","1","1","61","4","105","0","17","2","0","0","1","2","0","0","28.10.12"
"680110","188","Хмельницька область","сільський клуб, глядацька зала
вул.Центральна, 19, с.Видава, Волочиський р-н, Хмельницька обл., 31271","220","51","215","21","148","21","169","","0","148","21","169","1","168","22","0","3","5","25","1","98","0","12","0","1","0","1","0","0","0","29.10.12"
"680111","188","Хмельницька область","сільський будинок культури, мала зала, 1-й поверх
вул.Центральна, 43, с.Бубнівка, Волочиський р-н, Хмельницька обл., 31235","736","301","722","32","410","25","435","","0","410","25","435","14","421","49","2","6","5","54","1","252","1","30","2","2","0","4","9","0","4","28.10.12"
"680112","188","Хмельницька область","сільський клуб, глядацька зала
вул.Паркова, 19, с.Новоленськ, Волочиський р-н, Хмельницька обл., 31235","136","29","130","3","104","3","107","","0","104","3","107","4","103","24","2","0","1","19","0","54","0","3","0","0","0","0","0","0","0","28.10.12"
"680113","188","Хмельницька область","сільський клуб, глядацька зала
вул.Центральна, 14, с.Сергіївка, Волочиський р-н, Хмельницька обл., 31260","228","63","225","18","150","15","165","","0","150","15","165","4","161","57","0","2","1","23","1","56","2","5","3","0","1","0","9","0","1","29.10.12"
"680114","188","Хмельницька область","селищний будинок культури, глядацька зала
вул.Радянська, 8, смт Війтівці, Волочиський р-н, Хмельницька обл., 31256","816","245","811","62","511","60","571","","0","511","60","571","11","560","119","3","3","4","95","5","271","0","45","2","1","3","1","8","0","0","05.11.12"
"680115","188","Хмельницька область","міський клуб, глядацька зала, 1-й поверх
вул.Незалежності, 316, м.Волочиськ, Волочиський р-н, Хмельницька обл., 31200","1984","692","1965","37","1260","32","1292","","0","1260","32","1292","24","1268","184","10","42","5","169","1","732","4","82","6","1","0","6","22","2","2","04.11.12"
"680116","188","Хмельницька область","контора філії ""Хмельницькгаз"", актова зала, 1-й поверх
вул.ім.Богуслаєва, 9, м.Волочиськ, Волочиський р-н, Хмельницька обл., 31200","1196","488","1191","30","679","29","708","","0","679","29","708","10","698","84","10","10","2","87","3","417","1","61","8","3","1","2","6","1","2","29.10.12"
"680117","188","Хмельницька область","районний будинок культури, обрядова зала, 2-й поверх
пл.Центральна, 2, м.Волочиськ, Волочиський р-н, Хмельницька обл., 31200","2396","943","2379","31","1424","29","1453","","0","1424","29","1453","19","1434","218","14","26","5","128","4","897","3","104","11","1","1","0","16","1","5","29.10.12"
"680118","188","Хмельницька область","центр ранньої реабілітації, фойє, 1-й поверх
вул.Пушкіна, 33, м.Волочиськ, Волочиський р-н, Хмельницька обл., 31200","1580","642","1550","33","908","30","938","","0","908","30","938","14","924","149","9","8","7","127","4","501","1","81","15","0","1","4","12","1","4","29.10.12"
"680119","188","Хмельницька область","кінотеатр "" Україна "", глядацька зала, 1-й поверх
вул.Незалежності, 86, м.Волочиськ, Волочиський р-н, Хмельницька обл., 31200","2392","978","2381","22","1395","19","1414","","0","1395","19","1414","10","1404","175","11","16","3","120","5","913","2","122","8","1","4","1","15","3","5","29.10.12"
"680120","188","Хмельницька область","навчально-виховний комплекс №6, фойє, 1-й поверх
вул.Починка, 2, м.Волочиськ, Волочиський р-н, Хмельницька обл., 31200","2416","1043","2394","11","1365","8","1373","","0","1365","8","1373","26","1347","221","10","15","4","138","2","834","0","96","9","1","2","3","8","2","2","05.11.12"
