"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Артемчук
Анатолій
Володимирович","Буханевич
Олександр
Миколайович","Глушаков
Олексій
Олександрович","Злакоман
Сергій
Леонідович","Лісовик
Володимир
Олексійович","Нечипорук
Володимир
Павлович","Олуйко
Віталій
Миколайович","Омельчук
Ольга
Іванівна","Побережний
Анатолій
Іванович","Сабій
Ігор
Михайлович","Ткачук
Ігор
Васильович","Шинкарук
Володимир
Володимирович","Шуляк
Василь
Корнійович","Яцков
Борис
Олександрович","Дата підписання протоколу"
"680001","189","Хмельницька область","ФОП Матвієць Т.Є., приміщення для голосування
вул.Миру, 10, смт Білогір’я, Білогірський р-н, Хмельницька обл., 30200","1182","455","1166","58","674","53","727","","0","674","53","727","10","717","34","115","13","0","28","2","252","53","1","158","2","1","49","9","29.10.12"
"680002","189","Хмельницька область","районний будинок культури, спортивний зал
вул.Шевченка, 45, смт Білогір’я, Білогірський р-н, Хмельницька обл., 30200","2298","922","2266","50","1333","43","1376","","0","1333","43","1376","17","1359","64","131","25","1","72","1","444","110","9","328","16","2","139","17","29.10.12"
"680003","189","Хмельницька область","дитячий садок №2, приміщення для голосування
вул.Залізнична, 39, смт Білогір’я, Білогірський р-н, Хмельницька обл., 30200","1122","477","1104","61","594","51","645","","0","594","51","645","12","633","42","110","14","2","24","3","193","43","2","107","6","3","75","9","29.10.12"
"680004","189","Хмельницька область","сільський клуб, приміщення для голосування
вул.Зелена, 18, с.Карасиха, Білогірський р-н, Хмельницька обл., 30200","300","105","285","20","175","20","195","","0","175","20","195","2","193","23","47","5","0","7","2","64","7","0","26","1","0","9","2","29.10.12"
"680005","189","Хмельницька область","будинок культури, приміщення для голосування
вул.Центральна, 24, с.Тростянка, Білогірський р-н, Хмельницька обл., 30200","156","43","151","7","107","6","113","","0","107","6","113","6","107","8","37","3","1","3","2","26","4","0","3","0","2","18","0","28.10.12"
"680006","189","Хмельницька область","сільський клуб, приміщення для голосування
вул.Шевченка, 38, с.Велика Боровиця, Білогірський р-н, Хмельницька обл., 30211","312","100","310","17","197","15","212","","0","197","15","212","9","203","18","43","4","0","6","1","69","4","1","26","1","1","28","1","28.10.12"
"680007","189","Хмельницька область","сільський клуб, приміщення для голосування
вул.Центральна, 1, с.Іванівка, Білогірський р-н, Хмельницька обл., 30211","66","14","61","2","50","2","52","","0","50","2","52","1","51","8","13","0","0","4","2","11","1","0","4","0","1","7","0","29.10.12"
"680008","189","Хмельницька область","будинок культури, приміщення для голосування
вул.Миру, 20, с.Вікнини, Білогірський р-н, Хмельницька обл., 30216","222","70","218","13","142","10","152","","0","142","10","152","2","150","69","20","2","0","8","1","11","6","0","10","1","0","20","2","29.10.12"
"680009","189","Хмельницька область","початкова школа, приміщення для голосування
вул.Лісна, 2, с.Надишень, Білогірський р-н, Хмельницька обл., 30216","84","21","79","2","61","2","63","","0","61","2","63","1","62","2","20","0","0","4","1","18","4","0","3","2","0","7","1","29.10.12"
"680010","189","Хмельницька область","школа, приміщення для голосування
вул.Горинська, 39, с.Вільшаниця, Білогірський р-н, Хмельницька обл., 30230","222","43","220","16","165","14","179","","0","165","14","179","5","174","3","27","3","1","9","2","56","7","0","8","0","1","57","0","01.11.12"
"680011","189","Хмельницька область","сільський клуб, приміщення для голосування
вул.Центральна, 13, с.Вариводки, Білогірський р-н, Хмельницька обл., 30241","210","50","207","22","138","22","160","","0","138","22","160","0","160","32","43","2","0","8","1","33","11","1","12","0","0","17","0","01.11.12"
"680012","189","Хмельницька область","сільський клуб, приміщення для голосування
вул.Центральна, 16, с.Воробіївка, Білогірський р-н, Хмельницька обл., 30235","318","89","317","17","213","16","229","","0","213","16","229","4","225","15","25","1","0","6","0","148","2","0","8","0","0","19","1","28.10.12"
"680013","189","Хмельницька область","сільський клуб, приміщення для голосування
вул.Шевченка, 36, с.Погорільці, Білогірський р-н, Хмельницька обл., 30235","234","60","232","21","156","18","174","","0","156","18","174","2","172","19","32","5","0","0","1","64","2","0","13","0","0","36","0","29.10.12"
"680014","189","Хмельницька область","сільський клуб, приміщення для голосування
вул.Центральна, 30, с.Тихомель, Білогірський р-н, Хмельницька обл., 30233","216","75","209","19","125","16","141","","0","125","16","141","3","138","4","30","2","0","3","0","50","9","1","15","0","0","23","1","29.10.12"
"680015","189","Хмельницька область","будинок культури, приміщення для голосування
вул.Центральна, 55, с.В’язовець, Білогірський р-н, Хмельницька обл., 30236","660","167","647","37","457","36","493","","0","457","36","493","13","480","8","34","8","0","7","1","332","26","2","20","1","0","38","3","29.10.12"
"680016","189","Хмельницька область","магазин, приміщення для голосування
вул.Центральна, 15, с.Ставок, Білогірський р-н, Хмельницька обл., 30236","120","34","115","11","75","11","86","","0","75","11","86","4","82","0","15","1","0","5","0","46","2","0","5","0","0","8","0","29.10.12"
"680017","189","Хмельницька область","будинок культури, приміщення для голосування
вул.Миру, 16, с.Гулівці, Білогірський р-н, Хмельницька обл., 30207","360","108","352","28","227","25","252","","0","227","25","252","2","250","17","55","3","0","15","0","57","6","0","24","1","1","67","4","28.10.12"
"680018","189","Хмельницька область","магазин, приміщення для голосування
вул.Ткачука, 73, с.Жижниківці, Білогірський р-н, Хмельницька обл., 30207","210","50","203","8","152","8","160","","0","152","8","160","8","152","29","19","4","0","11","1","32","5","1","18","0","0","30","2","28.10.12"
"680019","189","Хмельницька область","будинок тваринника, приміщення для голосування
вул.Закринична, будинок тваринника, с.Синютки, Білогірський р-н, Хмельницька обл., 30207","162","54","152","9","101","7","108","","0","101","7","108","3","105","8","24","4","0","5","1","39","1","0","12","0","0","10","1","28.10.12"
"680020","189","Хмельницька область","будинок культури, приміщення для голосування
вул.Незалежності, 13, с.Денисівка, Білогірський р-н, Хмельницька обл., 30242","306","75","302","24","211","20","231","","0","211","20","231","6","225","25","48","6","0","6","3","34","13","2","61","2","4","21","0","03.11.12"
"680021","189","Хмельницька область","сільський клуб, приміщення для голосування
вул.Шевченка, 56, с.Данилівка, Білогірський р-н, Хмельницька обл., 30242","222","42","215","16","165","15","180","","0","165","15","180","0","180","26","38","2","0","1","0","24","11","0","33","2","2","41","0","29.10.12"
"680022","189","Хмельницька область","сільський клуб, приміщення для голосування
вул.Польова, 36, с.Калинівка, Білогірський р-н, Хмельницька обл., 30242","72","5","75","8","59","8","67","","0","59","8","67","1","66","10","12","1","0","2","3","10","0","0","8","0","1","19","0","28.10.12"
