"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Барабаш
Віктор
Васильович","Буряк
Сергій
Васильович","Герасименко
Олена
Михайлівна","Дем’янов
Анатолій
Анатолійович","Нагорна
Віра
Микитівна","Побережна
Анна
Валеріївна","Сидор
Василь
Богданович","Халілов
Рафаел
Муршудович","Дата підписання протоколу"
"680772","190","Хмельницька область","школа, спортивна зала
вул.Центральна, 28, с.Білецьке, Полонський р-н, Хмельницька обл., 30543","320","135","323","25","164","21","185","","0","164","21","185","8","177","6","91","6","5","37","11","20","1","29.10.12"
"680773","190","Хмельницька область","сільський клуб, мала зала
вул.Центральна, 9, с.Бражинці, Полонський р-н, Хмельницька обл., 30536","384","131","374","28","229","24","253","","0","229","24","253","9","244","5","171","5","2","22","5","34","0","29.10.12"
"680774","190","Хмельницька область","сільський клуб, актова зала
вул.І.Франка, 39, с.Кіпчинці, Полонський р-н, Хмельницька обл., 30536","200","37","197","29","138","25","163","","0","138","25","163","3","160","0","87","1","2","4","1","64","1","29.10.12"
"680775","190","Хмельницька область","сільський клуб, фойє
вул.Шевченка, 19, с.Фадіївка, Полонський р-н, Хмельницька обл., 30536","80","18","80","5","57","5","62","","0","57","5","62","0","62","0","32","1","3","5","2","19","0","29.10.12"
"680776","190","Хмельницька область","сільська рада, актова зала
вул.Перемоги, 28, с.Буртин, Полонський р-н, Хмельницька обл., 30510","664","223","645","36","406","35","441","","0","406","35","441","13","428","5","210","9","14","42","31","116","1","06.11.12"
"680777","190","Хмельницька область","сільський клуб, актова зала
вул.Івана Франка, 6, с.Залісся, Полонський р-н, Хмельницька обл., 30510","88","26","86","0","62","0","62","","0","62","0","62","2","60","1","35","0","0","1","2","21","0","29.10.12"
"680778","190","Хмельницька область","адмінбудинок заводу ""Маяк"", актова зала
вул.Заводська, 4, с.Новаки, Полонський р-н, Хмельницька обл., 30510","40","12","41","1","27","1","28","","0","27","1","28","1","27","0","20","0","0","0","4","3","0","29.10.12"
"680779","190","Хмельницька область","будинок культури, актова зала
вул.Леніна, 40А, с.Велика Березна, Полонський р-н, Хмельницька обл., 30530","832","306","818","65","461","65","526","","0","461","65","526","16","510","12","173","17","27","82","69","128","2","29.10.12"
"680780","190","Хмельницька область","сільський клуб, актова зала
вул.Земнухова, 2, с.Варварівка, Полонський р-н, Хмельницька обл., 30530","288","74","284","34","180","34","214","","0","180","34","214","5","209","3","100","9","6","15","24","51","1","29.10.12"
"680781","190","Хмельницька область","сільський клуб, фойє
вул.Чапаєва, 2, с.Адамів, Полонський р-н, Хмельницька обл., 30530","240","105","236","11","126","9","135","","0","126","9","135","11","124","1","51","2","4","18","6","41","1","29.10.12"
