"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Бондар
Віктор
Васильович","Бондар
Віктор
Григорович","Гнатюк
Микола
Григорович","Дерикот
Микола
Васильович","Корнійчук
Ігор
Володимирович","Мурза
Валерій
Григорович","Притула
Михайло
Михайлович","Слободянюк
Віталій
Борисович","Чиж
Іван
Сергійович","Шпак
Василь
Володимирович","Шпак
Василь
Федорович","Дата підписання протоколу"
"680066","191","Хмельницька область","сільський клуб, актовий зал
вул.Леніна, 40, с.Адамівка, Віньковецький р-н, Хмельницька обл., 32511","774","317","752","60","397","60","457","","0","397","60","457","10","447","164","5","8","115","3","97","1","3","6","10","35","29.10.12"
"680067","191","Хмельницька область","районний будинок культури, фойє
вул.Заславська, 8, смт Віньківці, Віньковецький р-н, Хмельницька обл., 32500","1596","614","1574","27","958","24","982","","0","958","24","982","21","961","527","17","13","106","11","125","0","0","6","24","132","29.10.12"
"680068","191","Хмельницька область","ТОВ ""Віньківці сирзавод"", зал засідань
вул.Першотравнева, 6, смт Віньківці, Віньковецький р-н, Хмельницька обл., 32500","1572","690","1564","28","854","28","882","","0","854","28","882","23","859","512","19","14","64","11","120","1","2","11","17","88","29.10.12"
"680069","191","Хмельницька область","приміщення ""райавтодору"", актова зала
вул.Заславська, 75, смт Віньківці, Віньковецький р-н, Хмельницька обл., 32500","954","416","946","17","522","16","538","","0","522","16","538","16","522","254","11","5","41","5","80","0","1","9","21","95","28.10.12"
"680070","191","Хмельницька область","сільський клуб, фойє
вул.Володимирська, 19, смт Віньківці, Віньковецький р-н, Хмельницька обл., 32500","1050","412","1037","23","616","22","638","","0","616","22","638","9","629","383","16","9","44","3","63","0","2","15","17","77","29.10.12"
"680071","191","Хмельницька область","сільський клуб, актовий зал
вул.Заньковецької, 4, с.Гринева, Віньковецький р-н, Хмельницька обл., 32500","102","34","97","3","66","2","68","","0","66","2","68","1","67","52","1","0","2","1","5","0","0","0","0","6","29.10.12"
"680072","191","Хмельницька область","школа, фойє
вул.Чехова, 118, с.Карижин, Віньковецький р-н, Хмельницька обл., 32506","450","160","441","40","251","39","290","","0","251","39","290","7","283","109","11","3","29","2","96","0","0","1","10","22","29.10.12"
"680073","191","Хмельницька область","школа, актовий зал
вул.Козацька, 60, с.Подолянське, Віньковецький р-н, Хмельницька обл., 32507","666","237","654","40","392","37","429","","0","392","37","429","4","425","165","3","10","25","1","58","0","1","3","26","133","29.10.12"
"680074","191","Хмельницька область","будинок культури, актовий зал
вул.Леніна, 4/А, с.Великий Олександрів, Віньковецький р-н, Хмельницька обл., 32508","438","98","437","48","292","48","340","","0","292","48","340","8","332","114","10","8","39","19","49","3","2","4","16","68","29.10.12"
"680075","191","Хмельницька область","школа, актовий зал
вул.Петровського, 3, с.Великий Олександрів, Віньковецький р-н, Хмельницька обл., 32508","162","36","160","14","112","14","126","","0","112","14","126","5","121","40","0","1","14","3","8","0","1","4","13","37","29.10.12"
"680076","191","Хмельницька область","Говірський Професійно-аграрний ліцей, актовий зал
вул.Леніна, 8, с.Говори, Віньковецький р-н, Хмельницька обл., 32536","348","97","351","25","228","23","251","","0","228","23","251","12","239","44","6","12","41","30","36","4","1","3","21","41","29.10.12"
"680077","191","Хмельницька область","сільський клуб, фойє
вул.Гагаріна, 1/1, с.Ломачинці, Віньковецький р-н, Хмельницька обл., 32537","294","67","293","26","201","26","227","","0","201","26","227","6","221","103","9","3","25","6","39","0","2","5","14","15","29.10.12"
"680078","191","Хмельницька область","будинок культури, фойє
вул.Центральна, 32, с.Грим’ячка, Віньковецький р-н, Хмельницька обл., 32510","486","125","466","57","304","57","361","","0","304","57","361","13","348","67","8","7","175","3","32","2","3","3","12","36","29.10.12"
"680079","191","Хмельницька область","будинок культури, фойє
вул.Затонського, 32, с.Дашківці, Віньковецький р-н, Хмельницька обл., 32530","900","220","894","88","598","82","680","","0","598","82","680","23","657","293","14","9","4","14","9","1","0","4","26","283","29.10.12"
"680080","191","Хмельницька область","будинок культури, актовий зал
вул.Грушевського, 10А, с.Женишківці, Віньковецький р-н, Хмельницька обл., 32524","804","357","799","47","406","41","447","","0","406","41","447","16","431","227","17","14","32","21","41","0","1","1","14","63","28.10.12"
