"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Браславець
Ольга
Василівна","Вінський
Йосип
Вікентійович","Герега
Олександр
Володимирович","Довгань
Валерій
Іванович","Купчик
Олег
Леонідович","Мусій
Мирослав
Ярославович","Орлов
Володимир
Іванович","Пятак
Галина
Василівна","Свято
Василь
Петрович","Дата підписання протоколу"
"680187","192","Хмельницька область","районний будинок культури, фойє
вул.Грушевського, 61, м.Городок, Городоцький р-н, Хмельницька обл., 32000","1744","804","1687","39","904","36","940","","0","904","36","940","19","921","5","8","748","1","19","114","3","23","0","29.10.12"
"680188","192","Хмельницька область","початкова школа, спортивна зала
вул.Шевченка, 38, м.Городок, Городоцький р-н, Хмельницька обл., 32000","1472","684","1467","30","765","23","788","","0","765","23","788","13","775","7","15","636","0","17","79","1","20","0","29.10.12"
"680189","192","Хмельницька область","центральна районна бібліотека, читальна зала
вул.Грушевського, 51, м.Городок, Городоцький р-н, Хмельницька обл., 32000","1920","972","1888","24","931","17","948","","0","931","17","948","19","929","12","27","702","4","22","139","6","17","0","29.10.12"
"680190","192","Хмельницька область","школа №3, спортивна зала
вул.Грушевського, 86, м.Городок, Городоцький р-н, Хмельницька обл., 32000","1824","967","1806","25","834","23","857","","0","834","23","857","8","849","4","16","659","2","21","121","11","12","3","29.10.12"
"680191","192","Хмельницька область","школа №2, фойє
вул.А.Бухти, 2, м.Городок, Городоцький р-н, Хмельницька обл., 32000","1240","616","1220","28","602","22","624","","0","602","22","624","8","616","3","17","494","2","23","65","7","5","0","29.10.12"
"680192","192","Хмельницька область","районний реабілітаційний центр ""Віра в життя"", фойє
вул.Заводська Площа, 8, м.Городок, Городоцький р-н, Хмельницька обл., 32000","1552","759","1540","34","760","33","793","","0","760","33","793","17","776","5","11","610","2","27","94","5","17","5","29.10.12"
"680193","192","Хмельницька область","школа з польською мовою навчання, спортивна зала
вул.Київська, 13, м.Городок, Городоцький р-н, Хмельницька обл., 32000","1816","850","1786","17","954","12","966","","0","954","12","966","9","957","6","6","768","0","24","121","6","24","2","29.10.12"
"680194","192","Хмельницька область","школа мистецтв, актова зала
вул.Шевченка, 39, м.Городок, Городоцький р-н, Хмельницька обл., 32000","1304","539","1300","40","730","35","765","","1","730","34","764","17","747","6","12","606","2","8","92","1","18","2","05.11.12"
"680195","192","Хмельницька область","дитячий садок ""Ялинка"", актова зала
вул.Станційна, 7/1, м.Городок, Городоцький р-н, Хмельницька обл., 32000","1344","651","1327","20","674","19","693","","0","674","19","693","9","684","4","12","517","2","15","112","11","10","1","29.10.12"
"680196","192","Хмельницька область","селищний будинок культури, фойє
вул.Бузкова, 135, смт Сатанів, Городоцький р-н, Хмельницька обл., 32034","1672","646","1662","51","982","44","1026","","0","982","44","1026","26","1000","29","49","547","7","49","266","34","16","3","29.10.12"
