"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Білик
Руслан
Григорович","Буденко
Вячеслав
Євгенійович","Ковальчук
Василь
Іванович","Мельниченко
Володимир
Володимирович","Приступа
Петро
Адольфович","Товкайло
Василь
Тихонович","Шовкошитний
Володимир
Федорович","Ярема
Ростислав
Тарасович","Дата підписання протоколу"
"680464","193","Хмельницька область","будинок культури, фойє, 2-й поверх
вул.Комсомольська, 7, смт Стара Ушиця, Кам’янець-Подільський р-н, Хмельницька обл., 32385","1912","835","1894","67","1020","57","1077","","0","1020","57","1077","28","1049","11","8","24","440","38","89","35","404","29.10.12"
"680465","193","Хмельницька область","сільський клуб, актова зала
вул.Центральна, 51, с.Гораївка, Кам’янець-Подільський р-н, Хмельницька обл., 32384","464","133","465","31","302","29","331","","0","302","29","331","11","320","3","1","1","171","33","22","11","78","03.11.12"
"680466","193","Хмельницька область","сільський клуб, глядацька зала
вул.Щорса, 32, с.Абрикосівка, Кам’янець-Подільський р-н, Хмельницька обл., 32351","456","175","444","39","244","37","281","","0","244","37","281","10","271","2","3","3","173","1","5","8","76","29.10.12"
"680467","193","Хмельницька область","будинок культури, фойє
вул.Олійника, 1А, с.Великозалісся, Кам’янець-Подільський р-н, Хмельницька обл., 32323","424","157","405","42","227","40","267","","0","227","40","267","2","265","7","0","7","160","4","14","6","67","29.10.12"
"680468","193","Хмельницька область","сільський клуб, кабінет завідуючого клубом
вул.Козацька, 1А, с.Киселівка, Кам’янець-Подільський р-н, Хмельницька обл., 32323","216","71","210","36","109","36","145","","0","109","36","145","5","140","1","1","3","107","3","4","2","19","28.10.12"
"680469","193","Хмельницька область","сільський клуб, зала
вул.Б.Хмельницького, 1А, с.Малозалісся, Кам’янець-Подільський р-н, Хмельницька обл., 32323","104","27","99","2","75","2","77","","0","75","2","77","1","76","0","0","0","45","0","1","0","30","28.10.12"
"680470","193","Хмельницька область","будинок культури, фойє
вул.Центральна, 45, с.Врублівці, Кам’янець-Подільський р-н, Хмельницька обл., 32394","608","194","600","55","361","53","414","","0","361","53","414","18","396","6","4","3","186","17","34","3","143","28.10.12"
"680471","193","Хмельницька область","сільський клуб, зала
вул.Річна, 19, с.Яруга, Кам’янець-Подільський р-н, Хмельницька обл., 32394","136","37","130","11","88","11","99","","0","88","11","99","1","98","0","2","3","59","2","2","1","29","29.10.12"
"680472","193","Хмельницька область","сільський клуб, зала
вул.Гагаріна, 1, с.Станіславівка, Кам’янець-Подільський р-н, Хмельницька обл., 32394","96","23","92","6","67","6","73","","0","67","6","73","2","71","0","1","1","48","3","6","0","12","29.10.12"
"680473","193","Хмельницька область","школа, актова зала
вул.Жовтнева, 30, с.Голосків, Кам’янець-Подільський р-н, Хмельницька обл., 32340","1360","690","1352","55","622","48","670","","0","622","48","670","30","640","13","6","19","311","9","61","30","191","29.10.12"
"680474","193","Хмельницька область","сільський клуб, актова зала
вул.Жукова, 1, с.Голосків, Кам’янець-Подільський р-н, Хмельницька обл., 32340","328","132","318","13","183","13","196","","0","183","13","196","10","186","2","1","6","89","5","11","6","66","29.10.12"
"680475","193","Хмельницька область","будинок культури, зала
вул.Ленінградська, 44, с.Пудлівці, Кам’янець-Подільський р-н, Хмельницька обл., 32342","560","194","564","25","343","23","366","","0","343","23","366","12","354","5","2","9","203","5","21","21","88","29.10.12"
"680476","193","Хмельницька область","сільський клуб, зала
вул.Польова, 4, с.Гринчук, Кам’янець-Подільський р-н, Хмельницька обл., 32378","176","74","173","13","89","13","102","","0","89","13","102","4","98","3","2","6","33","6","5","1","42","28.10.12"
"680477","193","Хмельницька область","будинок культури, зала
вул.Набережна, 1А, с.Бабшин, Кам’янець-Подільський р-н, Хмельницька обл., 32378","160","50","158","18","94","16","110","","0","94","16","110","1","109","0","0","3","67","5","8","0","26","28.10.12"
"680478","193","Хмельницька область","сільський клуб, зала
вул.Лесі Українки, 14, с.Малинівці, Кам’янець-Подільський р-н, Хмельницька обл., 32378","104","39","100","5","60","5","65","","0","60","5","65","1","64","1","1","1","35","1","0","0","25","29.10.12"
"680479","193","Хмельницька область","будинок культури, зала
вул.Суворова, 2А, с.Грушка, Кам’янець-Подільський р-н, Хмельницька обл., 32380","432","122","420","33","277","33","310","","0","277","33","310","8","302","3","2","8","153","9","15","6","106","29.10.12"
"680480","193","Хмельницька область","сільський клуб, зала
вул.Шевченка, 1А, с.Каштанівка, Кам’янець-Подільський р-н, Хмельницька обл., 32380","160","36","158","20","106","18","124","","0","106","18","124","6","118","0","1","0","47","6","6","1","57","29.10.12"
"680481","193","Хмельницька область","сільський клуб, зала
вул.Шевченка, 60А, с.Рункошів, Кам’янець-Подільський р-н, Хмельницька обл., 32382","424","161","411","34","232","31","263","","0","232","31","263","7","256","5","3","9","105","16","8","4","106","29.10.12"
"680482","193","Хмельницька область","будинок культури, фойє
вул.Першотравнева, 68, с.Гуменці, Кам’янець-Подільський р-н, Хмельницька обл., 32325","1824","725","1794","72","1030","69","1099","","0","1030","69","1099","40","1059","16","4","13","504","23","54","67","378","29.10.12"
"680483","193","Хмельницька область","сільський клуб, фойє
вул.Центральна, 5, с.Вербка, Кам’янець-Подільський р-н, Хмельницька обл., 32326","1184","499","1182","53","633","52","685","","0","633","52","685","23","662","7","1","9","354","13","43","15","220","29.10.12"
