"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Вчорашній
Павло
Юрійович","Гавриленко
Володимир
Іванович","Гвоздь
Микола
Гаврилович","Гресь
Володимир
Анатолійович","Гришкін
Олександр
Петрович","Згура
Віталій
Олександрович","Зубик
Володимир
Володимирович","Кравченко
Наталія
Іванівна","Малий
Олег
Георгійович","Островський
Олег
Анатолійович","Пацьора
Михайло
Іванович","Радуцький
Олександр
Романович","Чуприна
Олександр
Олександрович","Дата підписання протоколу"
"000001","195","Черкаська область","фойє
вул.Конєва, 4, м.Черкаси, 18029","30","8","22","0","22","0","22","","0","22","0","22","0","22","2","0","0","0","0","0","19","0","0","0","0","0","1","28.10.12"
"000002","195","Черкаська область","фойє
вул. 30-річчя Перемоги, 16, м. Черкаси, 18029","84","24","64","0","60","0","60","","0","60","0","60","4","56","2","0","0","7","4","0","25","4","2","1","0","3","8","28.10.12"
"710036","195","Черкаська область","школа, актова зала
вул.Леніна, 37, с.Безпальче, Драбівський р-н, Черкаська обл., 19832","492","120","487","27","349","23","372","","0","349","23","372","11","361","3","1","3","132","1","4","169","10","3","8","0","8","19","29.10.12"
"710037","195","Черкаська область","будинок культури, фойє
вул.Громова, 13, с.Безбородьки, Драбівський р-н, Черкаська обл., 19835","840","259","839","31","551","30","581","","0","551","30","581","19","562","2","4","3","128","4","7","351","10","9","3","1","14","26","28.10.12"
"710038","195","Черкаська область","будинок культури, малий зал
вул.Леніна, 24, с.Бирлівка, Драбівський р-н, Черкаська обл., 19821","1278","351","1262","108","819","108","927","","0","819","108","927","20","907","2","4","2","176","3","9","648","20","13","5","0","5","20","29.10.12"
"710039","195","Черкаська область","фельдшерський пункт, кабінет прийому громадян
вул.Петровського, 19, с.Перше Травня, Драбівський р-н, Черкаська обл., 19821","96","11","103","7","79","6","85","","0","79","6","85","1","84","0","0","0","23","1","1","52","1","0","0","0","5","1","29.10.12"
"710040","195","Черкаська область","будинок культури №1, фойє
вул.Калініна, 17, с.Білоусівка, Драбівський р-н, Черкаська обл., 19845","522","149","517","36","337","36","373","","0","337","36","373","8","365","3","4","3","95","0","3","211","7","12","0","1","6","20","29.10.12"
"710041","195","Черкаська область","будинок культури №2, фойє
вул.Комсомольська, 14, с.Білоусівка, Драбівський р-н, Черкаська обл., 19845","1074","358","1062","35","682","34","716","","0","682","34","716","29","687","1","3","8","258","7","9","317","11","6","4","1","7","55","28.10.12"
"710042","195","Черкаська область","будинок культури, актова зала
вул.Леніна, 6, с.Бойківщина, Драбівський р-н, Черкаська обл., 19853","480","116","477","79","287","77","364","","0","287","77","364","5","359","3","2","4","88","0","2","232","3","4","4","2","2","13","29.10.12"
"710043","195","Черкаська область","будинок культури, актова зала
вул.Шевченка, 38, с.Вершина-Згарська, Драбівський р-н, Черкаська обл., 19855","204","41","202","4","159","4","163","","0","159","4","163","2","161","0","0","1","50","1","1","86","3","4","0","2","4","9","28.10.12"
