"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Алєксєєва
Ірина
Володимирівна","Блажевич
Олександр
Петрович","Блажевич
Сергій
Петрович","Бобов
Геннадій
Борисович","Величенко
Микола
Максимович","Кекух
Віталій
Володимирович","Лішавський
Володимир
Гаврилович","Ляшенко
Юрій
Васильович","Маштепа
Олександр
Петрович","Педченко
Сергій
Іванович","Плосконос
Олексій
Олександрович","Пономаренко
Інна
Віталіївна","Сінгаєвський
Олександр
Миколайович","Яременко
Алла
Миколаївна","Дата підписання протоколу"
"710001","196","Черкаська область","школа №2, спортзал
вул.Миру, 60, м.Городище, Городищенський р-н, Черкаська обл., 19500","1648","651","1630","36","973","24","997","","0","973","24","997","40","957","10","1","41","284","9","31","4","29","218","29","1","9","287","4","29.10.12"
"710002","196","Черкаська область","управління агропромислового розвитку, актовий зал
вул.Миру, 118, м.Городище, Городищенський р-н, Черкаська обл., 19500","1428","599","1426","19","814","15","829","","0","814","15","829","36","793","8","3","6","174","2","36","8","25","147","38","1","3","337","5","29.10.12"
"710003","196","Черкаська область","ПТУ №14, актовий зал
вул.Індустріальна, 5, м.Городище, Городищенський р-н, Черкаська обл., 19500","1472","633","1461","32","811","28","839","","0","811","28","839","53","786","12","6","23","204","11","27","3","34","104","30","2","5","323","2","29.10.12"
"710004","196","Черкаська область","школа №1, коридор
вул.Фізкультурна, 39, м.Городище, Городищенський р-н, Черкаська обл., 19500","1456","595","1451","32","829","32","861","","0","829","32","861","19","842","9","1","16","328","4","10","0","27","86","13","4","5","330","9","29.10.12"
"710005","196","Черкаська область","будинок культури №1, фойє
вул.Гулака-Артемовського, 90, м.Городище, Городищенський р-н, Черкаська обл., 19500","868","317","873","21","530","21","551","","0","530","21","551","13","538","4","0","0","272","2","8","1","11","44","13","0","2","181","0","29.10.12"
"710006","196","Черкаська область","офіс ПП ""Клімов"", зал засідань
вул.Миру, 65, м.Городище, Городищенський р-н, Черкаська обл., 19500","780","317","787","26","442","21","463","","0","442","21","463","18","445","6","3","6","131","6","15","1","12","78","11","0","4","167","5","28.10.12"
"710007","196","Черкаська область","аграрний коледж, коридор
вул.1 Травня, 40, м.Городище, Городищенський р-н, Черкаська обл., 19500","1628","734","1615","43","857","37","894","","0","857","37","894","40","854","14","7","11","224","9","31","0","36","198","28","3","1","286","6","29.10.12"
"710008","196","Черкаська область","школа №3, хол
вул.Желябова, 3, м.Городище, Городищенський р-н, Черкаська обл., 19500","1664","709","1648","71","905","50","955","","0","905","50","955","22","933","10","4","18","198","13","15","3","53","217","52","3","7","332","8","29.10.12"
"710009","196","Черкаська область","Будинок культури, глядацький зал
вул.Фрунзе, 2, м.Городище, Городищенський р-н, Черкаська обл., 19500","252","66","252","15","171","15","186","","0","171","15","186","5","181","2","1","23","58","3","0","0","7","29","14","0","0","43","1","28.10.12"
"710010","196","Черкаська область","Будинок культури, глядацький зал
вул.Шкільна, 43, м.Городище, Городищенський р-н, Черкаська обл., 19500","140","27","143","11","102","11","113","","0","102","11","113","4","109","0","0","1","48","2","2","1","9","30","3","1","2","8","2","29.10.12"
