"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Вовк
Віктор
Іванович","Губський
Богдан
Володимирович","Дарійчук
Дарина
Володимирівна","Даценко
Леонід
Миколайович","Довгаль
Сергій
Миколайович","Замідра
Сергій
Володимирович","Кібальник
Олексій
Павлович","Корж
Віктор
Петрович","Корчовий
Юрій
Олександрович","Костогриз
Іван
Іванович","Липкань
Микола
Борисович","Малиновський
Олексій
Петрович","Маліков
Олександр
Володимирович","Матюша
Володимир
Миколайович","Орленко
Віктор
Юрійович","Педченко
Михайло
Вікторович","Полях
Віталій
Іванович","Свічинський
Василь
Миколайович","Фесенко
Руслан
Сергійович","Філіпенко
Павло
Сергійович","Дата підписання протоколу"
"710174","197","Черкаська область","школа, актова зала
вул.Космонавтів, 14, с.Антипівка, Золотоніський р-н, Черкаська обл., 19733","608","239","600","37","337","32","369","","0","337","32","369","16","353","3","87","2","63","5","1","67","58","2","28","0","1","0","0","2","18","9","0","2","5","29.10.12"
"710175","197","Черкаська область","психо-неврологічний інтернат, актова зала
вул.Монастирська, 3, с.Бакаївка, Золотоніський р-н, Черкаська обл., 19733","256","55","260","39","163","38","201","","0","163","38","201","30","171","3","50","2","21","3","0","3","84","0","0","1","2","0","2","0","0","0","0","0","0","29.10.12"
"710176","197","Черкаська область","сільська рада, актова зала
вул.Шевченка, 1, с.Богдани, Золотоніський р-н, Черкаська обл., 19710","380","120","378","44","219","41","260","","0","219","41","260","10","250","5","102","3","52","5","1","22","24","2","8","0","8","0","0","0","1","9","2","2","4","28.10.12"
"710177","197","Черкаська область","школа, рекреація
вул.Максимовича, 2, с.Богуславець, Золотоніський р-н, Черкаська обл., 19762","648","249","644","58","355","44","399","","0","355","44","399","9","390","3","116","2","91","1","0","23","92","1","24","0","0","1","1","0","4","16","2","1","12","29.10.12"
"710178","197","Черкаська область","будинок культури, фойє
вул.Комсомольська, 16, с.Броварки, Золотоніський р-н, Черкаська обл., 19712","272","63","269","21","188","21","209","","0","188","21","209","5","204","1","114","2","34","4","0","1","35","0","6","0","1","0","2","0","1","0","0","0","3","28.10.12"
"710179","197","Черкаська область","магазин ПП Іщенко О.Д., торгівельна зала
вул.Малинівська, 41, с-ще Малинівщина, Золотоніський р-н, Черкаська обл., 19712","100","21","96","12","68","11","79","","0","68","11","79","0","79","0","42","1","11","1","0","1","18","0","4","0","0","0","0","0","0","0","0","1","0","28.10.12"
"710180","197","Черкаська область","сільська рада, фойє
вул.Бичковського, 1, с.Бубнівська Слобідка, Золотоніський р-н, Черкаська обл., 19750","992","338","984","96","572","82","654","","0","572","82","654","15","639","4","132","4","377","1","3","13","47","1","13","1","1","0","1","1","2","22","0","1","15","29.10.12"
"710181","197","Черкаська область","сільський клуб, фойє
вул.Леніна, 40, с.Вільхи, Золотоніський р-н, Черкаська обл., 19736","764","255","755","80","429","80","509","","0","429","80","509","14","495","7","146","1","136","4","1","27","94","0","22","3","1","0","2","3","2","16","0","3","27","28.10.12"
"710182","197","Черкаська область","будинок культури, актова зала
вул.Вишнева, 2, с.Вознесенське, Золотоніський р-н, Черкаська обл., 19741","1808","879","1790","142","851","78","929","","0","851","78","929","15","914","11","209","3","149","3","2","38","284","3","178","3","0","1","2","3","2","8","1","0","14","04.11.12"
"710183","197","Черкаська область","будинок культури, фойє
вул.Заводська, 2А, с-ще Пальміра, Золотоніський р-н, Черкаська обл., 19742","1392","583","1384","39","782","27","809","","0","782","27","809","22","787","13","197","4","267","1","2","62","74","0","88","0","4","4","5","5","3","12","1","2","43","04.11.12"
