"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Василина
Роман
Петрович","Давиденко
Олексій
Григорович","Запорожець
Володимир
Олексійович","Колесник
Андрій
Валерійович","Курудз
Богдан
Михайлович","Логін
Петро
Зіновійович","Макуха
Роман
Васильович","Нікітченко
Ольга
Петрівна","Палютін
Пилип
Юрійович","Решетняк
Вадим
Володимирович","Рудик
Сергій
Ярославович","Савченко
Ігор
Васильович","Семинога
Анатолій
Іванович","Таран
Сергій
Миколайович","Тимошенко
Віктор
Анатолійович","Харламов
Олександр
Володимирович","Цоньо
Віктор
Михайлович","Чегровой
Максим
Павлович","Чекаленко
Ігор
Миколайович","Дата підписання протоколу"
"710230","198","Черкаська область","АТП 17142, актова зала
вул.Заводська, 4, м.Кам’янка, Кам’янський р-н, Черкаська обл., 20800","776","318","776","28","431","27","458","","0","431","27","458","17","441","4","9","16","13","0","0","1","8","0","119","166","1","14","1","81","8","0","0","0","29.10.12"
"710231","198","Черкаська область","Сортодослідна станція, актова зала
вул.Червоноармійська, 31, м.Кам’янка, Кам’янський р-н, Черкаська обл., 20800","1556","600","1560","40","916","40","956","","0","916","40","956","20","936","11","12","22","25","0","1","3","3","2","205","350","5","36","15","228","15","1","0","2","29.10.12"
"710232","198","Черкаська область","школа №2, фойє
вул.Леніна, 55, м.Кам’янка, Кам’янський р-н, Черкаська обл., 20800","1572","589","1554","22","965","18","983","","0","965","18","983","20","963","33","10","31","19","2","0","2","11","1","166","367","2","50","7","252","7","0","1","2","29.10.12"
"710233","198","Черкаська область","Будинок культури, фойє
вул.Сердюка, 1, м.Кам’янка, Кам’янський р-н, Черкаська обл., 20800","1276","538","1256","55","700","38","738","","0","700","38","738","8","730","9","9","12","17","1","0","2","11","0","106","251","1","10","6","290","4","0","1","0","29.10.12"
"710234","198","Черкаська область","школа №1, фойє
вул.Леніна, 18А, м.Кам’янка, Кам’янський р-н, Черкаська обл., 20800","1216","394","1212","19","805","17","822","","0","805","17","822","13","809","17","8","29","32","0","1","1","17","1","216","255","1","41","2","180","7","1","0","0","29.10.12"
"710235","198","Черкаська область","""Райавтодор"", фойє
вул.Чехова, 6, м.Кам’янка, Кам’янський р-н, Черкаська обл., 20800","1124","428","1123","29","670","26","696","","0","670","26","696","14","682","15","9","20","18","1","1","0","35","1","118","241","1","24","6","180","10","1","1","0","29.10.12"
"710236","198","Черкаська область","районна бібліотека, фойє
вул.Людмили Борисової, 4, м.Кам’янка, Кам’янський р-н, Черкаська обл., 20800","836","337","815","6","494","5","499","","0","494","5","499","6","493","12","3","15","21","0","0","0","15","0","94","196","5","34","3","81","10","0","0","4","29.10.12"
"710237","198","Черкаська область","Будинок культури, фойє
вул.Декабристів, 9, м.Кам’янка, Кам’янський р-н, Черкаська обл., 20800","1356","509","1355","41","808","39","847","","0","808","39","847","15","832","20","17","29","19","0","0","2","20","3","161","250","7","24","6","256","13","3","1","1","29.10.12"
"710238","198","Черкаська область","школа №3, їдальня
вул.Декабристів, 68, м.Кам’янка, Кам’янський р-н, Черкаська обл., 20800","1392","462","1389","64","866","64","930","","0","866","64","930","22","908","15","6","27","25","0","1","0","10","0","237","371","0","17","8","165","17","0","0","9","29.10.12"
"710239","198","Черкаська область","Будинок культури, фойє
вул.Перемоги, 22, с.Баландине, Кам’янський р-н, Черкаська обл., 20843","648","205","639","59","397","46","443","","0","397","46","443","9","434","2","6","7","7","1","4","0","17","1","77","100","1","13","2","195","1","0","0","0","29.10.12"
"710240","198","Черкаська область","школа, фойє
вул.Центральна, 26, с.Вербівка, Кам’янський р-н, Черкаська обл., 20841","480","144","470","63","276","60","336","","0","276","60","336","5","331","5","12","7","8","0","0","2","5","1","139","76","4","15","2","49","5","0","1","0","29.10.12"
"710241","198","Черкаська область","школа, фойє
вул.Леніна, 95, с.Грушківка, Кам’янський р-н, Черкаська обл., 20810","784","267","772","79","444","73","517","","0","444","73","517","4","513","4","13","5","4","2","0","0","2","0","85","43","1","31","6","315","1","0","0","1","29.10.12"
"710242","198","Черкаська область","школа, фойє
вул.Шкільна, 10, с.Жаботин, Кам’янський р-н, Черкаська обл., 20822","828","244","837","57","529","55","584","","0","529","55","584","10","574","8","14","11","3","0","0","2","6","2","210","121","1","24","5","161","3","2","1","0","29.10.12"
"710243","198","Черкаська область","сільський клуб, концертний зал
вул.Шевченка, 6, с.Флярківка, Кам’янський р-н, Черкаська обл., 20822","332","68","322","17","249","15","264","","0","249","15","264","2","262","2","8","6","1","0","2","1","0","2","58","41","2","3","12","121","2","0","0","1","28.10.12"
"710244","198","Черкаська область","школа, кімната №2
вул.Жовтнева, 12А, с.Катеринівка, Кам’янський р-н, Черкаська обл., 20831","324","90","319","31","207","27","234","","0","207","27","234","6","228","0","5","3","4","0","0","1","3","0","18","15","1","20","0","156","1","0","1","0","29.10.12"
"710245","198","Черкаська область","Будинок культури, фойє
вул.Кірова, 6, с.Косарі, Кам’янський р-н, Черкаська обл., 20813","464","171","461","40","254","39","293","","0","254","39","293","9","284","2","7","3","6","0","1","0","4","0","52","108","1","11","4","82","2","0","0","1","29.10.12"
