"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Бабенко
Руслан
Володимирович","Бондаренко
Анатолій
Васильович","Гвоздь
Віктор
Михайлович","Гречаний
Борис
Павлович","Доманський
Ігор
Ростиславович","Єлізаров
Павло
Олександрович","Нечипоренко
Анатолій
Олексійович","Ничипоренко
Валентин
Миколайович","Рибченко
Олександр
Володимирович","Ружин
Зоя
Володимирівна","Терещук
Сергій
Миколайович","Фурман
Василь
Миколайович","Якібчук
Мирослав
Ілліч","Дата підписання протоколу"
"710084","199","Черкаська область","районний будинок культури, фойє
вул.Леніна, 49, м.Жашків, Жашківський р-н, Черкаська обл., 19200","2388","894","2368","11","1483","11","1494","","0","1483","11","1494","33","1461","19","395","17","22","6","60","24","459","13","4","145","234","63","29.10.12"
"710085","199","Черкаська область","школа №3, фойє, 1-й поверх
вул.Леніна, 102, м.Жашків, Жашківський р-н, Черкаська обл., 19200","2154","971","2147","9","1174","9","1183","","0","1174","9","1183","27","1156","22","296","15","12","5","45","33","327","18","4","138","184","57","29.10.12"
"710086","199","Черкаська область","КП ""Райагробуд"", актовий зал, 1-й поверх
вул.Перемоги, 4, м.Жашків, Жашківський р-н, Черкаська обл., 19200","2388","932","2377","35","1433","23","1456","","0","1433","23","1456","23","1433","18","441","13","32","2","79","16","379","15","1","165","218","54","29.10.12"
"710087","199","Черкаська область","школа №5, спортзал
вул.Пархоменка, 41, м.Жашків, Жашківський р-н, Черкаська обл., 19200","2460","970","2445","7","1483","7","1490","","0","1483","7","1490","25","1465","15","499","19","28","1","52","16","373","17","1","166","198","80","29.10.12"
"710088","199","Черкаська область","міський будинок культури, фойє
вул.Заводська, 4, м.Жашків, Жашківський р-н, Черкаська обл., 19200","1182","419","1173","34","730","33","763","","0","730","33","763","19","744","4","201","8","10","0","66","19","201","6","4","73","94","58","29.10.12"
"710089","199","Черкаська область","школа №4, спортзал
вул.Червоноармійська, 58, м.Жашків, Жашківський р-н, Черкаська обл., 19200","1710","802","1694","9","901","7","908","","0","901","7","908","18","890","5","330","12","15","2","29","29","217","9","4","101","95","42","29.10.12"
"710090","199","Черкаська область","будинок культури, фойє
вул.Леніна, 6, с.Баштечки, Жашківський р-н, Черкаська обл., 19222","654","192","643","56","411","51","462","","0","411","51","462","8","454","3","94","4","37","1","17","10","186","4","1","22","64","11","28.10.12"
"710091","199","Черкаська область","сільська рада, актова зала
вул.Центральна, 37А, с.Безпечна, Жашківський р-н, Черкаська обл., 19251","318","80","305","21","220","18","238","","0","220","18","238","4","234","2","65","2","1","0","5","8","61","0","1","76","8","5","28.10.12"
"710092","199","Черкаська область","будинок культури, фойє
вул.Леніна, 111, с.Бузівка, Жашківський р-н, Черкаська обл., 19243","1524","523","1507","56","953","48","1001","","0","953","48","1001","25","976","20","376","4","7","13","33","8","288","9","2","59","115","42","29.10.12"
"710093","199","Черкаська область","сільська рада, фойє
вул.Лесі Українки, 1, с.Вільшанка, Жашківський р-н, Черкаська обл., 19203","246","59","241","21","166","21","187","","0","166","21","187","4","183","0","14","0","0","1","8","0","98","0","1","48","10","3","28.10.12"
