"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Ващенок
Вадим
Володимирович","Гнатовський
Володимир
Євгенійович","Дикун
Андрій
Євгенович","Карчевська
Алла
Олександрівна","Костенко
Павло
Іванович","Кучер
Галина
Михайлівна","Наконечний
Микола
Петрович","Поляков
Максим
Анатолійович","Ратушний
Микола
Семенович","Роєнко
Віктор
Григорович","Хмельницький
Богдан
Станіславович","Яценко
Антон
Володимирович","Дата підписання протоколу"
"710467","200","Черкаська область","школа №5, хол
вул.Гагаріна, 37, м.Монастирище, Монастирищенський р-н, Черкаська обл., 19100","1902","806","1887","16","1081","15","1096","","0","1081","15","1096","20","1076","10","0","34","3","150","18","339","196","6","24","8","288","29.10.12"
"710468","200","Черкаська область","школа №1, хол
вул.Жовтнева, 12, м.Монастирище, Монастирищенський р-н, Черкаська обл., 19100","2082","879","2068","20","1189","14","1203","","0","1189","14","1203","26","1177","13","2","34","1","182","15","326","183","5","8","10","398","30.10.12"
"710469","200","Черкаська область","музична школа, фойє
вул.Леніна, 117, м.Монастирище, Монастирищенський р-н, Черкаська обл., 19100","2286","1069","2254","3","1214","3","1217","","0","1214","3","1217","24","1193","8","1","51","7","181","19","363","186","6","15","18","338","29.10.12"
"710470","200","Черкаська область","будинок культури, фойє
вул.Маяковського, 2, с.Нове Місто, Монастирищенський р-н, Черкаська обл., 19100","1776","671","1757","19","1088","17","1105","","0","1088","17","1105","34","1071","11","1","39","9","192","8","281","176","4","38","4","308","29.10.12"
"710471","200","Черкаська область","школа №2, їдальня
вул.Леніна, 51, с.Нове Місто, Монастирищенський р-н, Черкаська обл., 19100","1416","591","1399","17","808","17","825","","0","808","17","825","26","799","2","0","28","5","129","10","251","120","6","15","13","220","30.10.12"
"710472","200","Черкаська область","будинок культури, фойє
вул.Ватутіна, 2, смт Цибулів, Монастирищенський р-н, Черкаська обл., 19114","1452","494","1439","30","928","30","958","","0","928","30","958","27","931","3","0","33","3","149","7","102","253","4","27","14","336","29.10.12"
"710473","200","Черкаська область","будинок культури цукрозаводу, фойє
вул.Леніна, 1, смт Цибулів, Монастирищенський р-н, Черкаська обл., 19114","1248","454","1238","18","776","18","794","","0","776","18","794","27","767","4","5","62","7","164","11","107","157","1","27","10","212","29.10.12"
"710474","200","Черкаська область","сільська бібліотека, читальний зал
вул.Шкільна, 2, с.Антоніна, Монастирищенський р-н, Черкаська обл., 19114","180","47","178","16","117","16","133","","0","117","16","133","5","128","0","0","24","1","35","1","18","23","1","2","1","22","28.10.12"
"710475","200","Черкаська область","сільський клуб, зал
вул.Центральна, 32, с.Аврамівка, Монастирищенський р-н, Черкаська обл., 19100","1620","571","1599","23","1029","20","1049","","0","1029","20","1049","22","1027","7","1","35","1","159","7","274","112","2","34","7","388","29.10.12"
"710476","200","Черкаська область","філія будинку культури, фойє
вул.Шкільна, 6В, с.Летичівка, Монастирищенський р-н, Черкаська обл., 19100","1266","443","1267","33","790","33","823","","0","790","33","823","27","796","1","2","30","2","134","14","243","91","3","20","4","252","29.10.12"
"710477","200","Черкаська область","будинок культури, фойє
вул.Комунарів, 7, с.Бачкурине, Монастирищенський р-н, Черкаська обл., 19153","744","162","740","28","557","25","582","","0","557","25","582","16","566","0","0","31","1","74","2","104","75","3","19","2","255","29.10.12"
"710478","200","Черкаська область","сільський клуб, зал
вул.Центральна, 19, с.Владиславчик, Монастирищенський р-н, Черкаська обл., 19123","318","70","318","25","224","24","248","","0","224","24","248","3","245","0","0","12","0","21","7","13","18","1","2","2","169","30.10.12"
"710479","200","Черкаська область","сільська рада, кім. засідань
вул.Космонавтів, 44, с.Дібрівка, Монастирищенський р-н, Черкаська обл., 19136","174","39","169","5","130","5","135","","0","130","5","135","2","133","0","0","7","0","24","0","7","8","1","5","0","81","30.10.12"
