"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Бачинський
Віктор
Теодосович","Бордіян
Іван
Порфирович","Довганич
Віктор
Михайлович","Казимирчук
Олександр
Михайлович","Кедь
Володимир
Євгенович","Кузнєцов
Георгій
Васильович","Марараш
Галина
Григорівна","Михайлішин
Віталій
Михайлович","Нейландт
Геннадій
Робертович","Струк
Юлія
Іванівна","Федорук
Микола
Трохимович","Шевчук
Андрій
Георгійович","Дата підписання протоколу"
"000001","201","Чернівецька область","
площа Соборна, 6, м. Чернівці","528","48","480","0","480","0","480","","0","480","0","480","16","464","7","1","7","6","1","2","17","312","1","10","95","5","28.10.12"
"730446","201","Чернівецька область","школа №16, фойє
вул.Білоруська, 77, м.Чернівці, 58021","1806","767","1777","8","1033","6","1039","","0","1033","6","1039","23","1016","13","11","6","3","3","3","79","274","1","2","617","4","29.10.12"
"730447","201","Чернівецька область","спорткомплекс ""Локомотив"", спортзал
вул.Білоруська, 27Б, м.Чернівці, 58021","2466","1002","2439","17","1452","12","1464","","0","1452","12","1464","26","1438","16","34","7","9","2","1","87","381","20","6","866","9","29.10.12"
"730448","201","Чернівецька область","будинок естетики та дозвілля, глядацький зал
вул.Шепетівська, 5, м.Чернівці, 58008","2082","1279","2065","20","788","15","803","","0","788","15","803","22","781","7","14","4","2","1","0","45","281","2","2","419","4","29.10.12"
"730449","201","Чернівецька область","школа №14, фойє
вул.Шкільна, 3, м.Чернівці, 58008","2160","945","2121","21","1195","20","1215","","0","1195","20","1215","26","1189","20","55","8","7","2","0","77","350","1","7","648","14","29.10.12"
"730450","201","Чернівецька область","професійний ліцей автомобільного сервісу, актовий зал
вул.Садовського Миколи, 6, м.Чернівці, 58008","2316","999","2281","38","1287","30","1317","","0","1287","30","1317","38","1279","37","24","8","2","4","4","72","394","2","4","718","10","29.10.12"
"730451","201","Чернівецька область","коледж Львівського державного аграрного університету, читальний зал
вул.Доброго Олександра, 4, м.Чернівці, 58002","900","328","895","20","558","14","572","","0","558","14","572","7","565","12","17","4","5","4","2","34","198","2","5","279","3","29.10.12"
"730452","201","Чернівецька область","гімназія №2, спортзал
вул.Головна, 73, м.Чернівці, 58000","942","344","937","23","579","19","598","","0","579","19","598","8","590","17","16","2","5","0","0","31","201","2","2","312","2","29.10.12"
"730453","201","Чернівецька область","школа №2, спортзал
вул.Головна, 87, м.Чернівці, 58001","990","362","981","13","619","9","628","","0","619","9","628","7","621","21","15","3","0","0","0","18","313","2","3","244","2","29.10.12"
"730454","201","Чернівецька область","регіональне відділення Фонду держмайна України, фойє
вул.Кобилиці Лук’яна, 21А, м.Чернівці, 58001","1134","420","1132","14","701","13","714","","0","701","13","714","20","694","25","17","4","1","1","1","53","215","6","6","364","1","29.10.12"
