"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Баскевич
Ігор
Володимирович","Бауер
Михайло
Йозефович","Лисюк
Олександр
Михайлович","Любимський
Василь
Олексійович","Манчуленко
Георгій
Манолійович","Назаренко
Клавдія
Дмитрівна","Рибак
Іван
Петрович","Серецький
Михайло
Миколайович","Токарюк
Володимир
Семенович","Фищук
Олександр
Георгійович","Швигар
Леонід
Володимирович","Дата підписання протоколу"
"730001","202","Чернівецька область","будинок народної творчості, актова зала, 2-й поверх
вул.В.Івасюка, 7, м.Вижниця, Вижницький р-н, Чернівецька обл., 59200","1122","469","1121","22","631","22","653","","0","631","22","653","16","637","20","181","16","5","9","86","71","1","4","213","31","29.10.12"
"730002","202","Чернівецька область","коледж прикладного мистецтва, актова зала, 1-й поверх
вул.Д.Загула, 14, м.Вижниця, Вижницький р-н, Чернівецька обл., 59200","1200","487","1205","19","696","17","713","","0","696","17","713","21","692","18","161","24","8","8","72","77","2","1","305","16","29.10.12"
"730003","202","Чернівецька область","пансіонат ""Черемош"", актова зала
вул.Н.Яремчука, 4, м.Вижниця, Вижницький р-н, Чернівецька обл., 59200","1098","488","1091","38","572","38","610","","0","572","38","610","19","591","10","106","20","1","6","81","74","2","1","277","13","29.10.12"
"730004","202","Чернівецька область","міський клуб, актова зала
вул.І.Бажанського, 76, м.Вашківці, Вижницький р-н, Чернівецька обл., 59210","1104","490","1101","48","568","46","614","","0","568","46","614","9","605","24","133","19","0","4","33","135","10","2","240","5","29.10.12"
"730005","202","Чернівецька область","будинок народної творчості, актова зала
вул.Шевченка, 1, м.Вашківці, Вижницький р-н, Чернівецька обл., 59210","1458","651","1445","63","751","56","807","","0","751","56","807","17","790","24","195","19","3","15","67","156","14","3","285","9","29.10.12"
"730006","202","Чернівецька область","клуб медичного коледжу, актова зала
вул.Шевченка, 11, м.Вашківці, Вижницький р-н, Чернівецька обл., 59210","1620","689","1609","85","854","77","931","","0","854","77","931","35","896","23","184","18","8","16","96","158","15","1","361","16","29.10.12"
"730007","202","Чернівецька область","сільський клуб, актова зала
вул.О.Кобилянської, 6, с.Волока, Вижницький р-н, Чернівецька обл., 59210","300","108","296","21","172","20","192","","0","172","20","192","2","190","5","83","3","1","2","16","21","5","0","46","8","29.10.12"
"730008","202","Чернівецька область","гімназія, актова зала, 1-й поверх
вул.Центральна, 27, смт Берегомет, Вижницький р-н, Чернівецька обл., 59233","2514","1216","2485","53","1255","43","1298","","0","1255","43","1298","34","1264","35","187","33","5","7","113","195","16","4","652","17","29.10.12"
"730009","202","Чернівецька область","школа №2, актова зала
вул.Руська, 74, смт Берегомет, Вижницький р-н, Чернівецька обл., 59233","2520","1246","2475","45","1239","35","1274","","0","1239","35","1274","38","1236","26","270","30","1","10","115","198","12","3","564","7","29.10.12"
"730010","202","Чернівецька область","школа №3, актова зала
вул.Шевченка, 80, смт Берегомет, Вижницький р-н, Чернівецька обл., 59233","1314","685","1306","29","602","27","629","","0","602","27","629","31","598","11","88","11","4","0","58","117","10","4","286","9","29.10.12"
"730011","202","Чернівецька область","школа №4, актова зала
вул.Кобилянської, 254А, смт Берегомет, Вижницький р-н, Чернівецька обл., 59233","1176","581","1157","24","575","20","595","","0","575","20","595","12","583","16","91","7","9","1","35","55","6","7","353","3","29.10.12"
"730012","202","Чернівецька область","будинок культури, актова зала, 1-й поверх
вул.Головна, 127, с.Багна, Вижницький р-н, Чернівецька обл., 59208","972","374","965","37","564","34","598","","0","564","34","598","25","573","12","87","0","117","3","36","163","2","1","150","2","29.10.12"
"730013","202","Чернівецька область","сільська рада, актова зала
вул.Гостинець, 63, с.Банилів, Вижницький р-н, Чернівецька обл., 59216","1554","733","1539","34","787","34","821","","0","787","34","821","17","804","24","136","18","4","32","81","96","4","4","391","14","29.10.12"
"730014","202","Чернівецька область","будинок культури, велика зала, 1-й поверх
вул.Гостинець, 61, с.Банилів., Вижницький р-н, Чернівецька обл., 59216","1530","742","1519","45","745","43","788","","0","745","43","788","32","756","22","129","12","9","20","70","148","5","2","325","14","29.10.12"
