"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Баласинович
Богдан
Олександрович","Гончар
Віктор
Васильович","Каденюк
Леонід
Костянтинович","Клевчик
Іван
Валентинович","Криворучко
Віталій
Пилипович","Панчишин
Руслан
Ігорович","Плаксій
Манолій
Васильович","Семенюк
Артем
Олексійович","Совва
Анатолій
Ігорович","Черненко
Віктор
Михайлович","Чулей
Віталій
Михайлович","Швець
Сергій
Сергійович","Дата підписання протоколу"
"000001","204","Чернівецька область","актовий зал
вул.Кобилянської, 43, м.Сокиряни, Чернівецька обл., 60200","204","116","115","23","66","22","88","","0","66","22","88","5","83","6","1","2","0","0","3","1","67","1","2","0","0","28.10.12"
"730112","204","Чернівецька область","будинок дитячо-юнацької творчості, актова зала
вул.О.Кобилянської, 6, м.Заставна, Заставнівський р-н, Чернівецька обл., 59400","2100","726","2088","48","1332","42","1374","","0","1332","42","1374","82","1292","492","12","72","12","13","101","64","489","15","12","3","7","29.10.12"
"730113","204","Чернівецька область","районний палац культури, фойє
вул.Незалежності, 93, м.Заставна, Заставнівський р-н, Чернівецька обл., 59400","2334","849","2319","53","1440","45","1485","","0","1440","45","1485","65","1420","529","19","77","13","10","127","53","546","21","16","3","6","29.10.12"
"730114","204","Чернівецька область","гімназія, фойє
вул.Гагаріна, 5, м.Заставна, Заставнівський р-н, Чернівецька обл., 59400","2178","955","2160","21","1206","17","1223","","0","1206","17","1223","84","1139","399","22","73","9","7","130","44","417","11","14","3","10","29.10.12"
"730115","204","Чернівецька область","селищний клуб, актова зала
вул.Заводська, 12, смт Кострижівка, Заставнівський р-н, Чернівецька обл., 59410","2016","806","2004","46","1164","46","1210","","0","1164","46","1210","41","1169","465","24","64","11","10","100","48","412","9","18","0","8","29.10.12"
"730116","204","Чернівецька область","будинок культури, фойє
вул.Головна, 1, с.Бабин, Заставнівський р-н, Чернівецька обл., 59411","696","235","686","76","389","72","461","","0","389","72","461","4","457","37","2","17","3","3","45","22","319","5","1","0","3","29.10.12"
"730117","204","Чернівецька область","школа, спортзал
вул.Головна, 79, с.Баламутівка, Заставнівський р-н, Чернівецька обл., 59437","1326","430","1317","30","866","30","896","","0","866","30","896","27","869","97","8","46","5","25","71","15","571","12","10","3","6","29.10.12"
"730118","204","Чернівецька область","сільський клуб, актова зала
вул.Миру, 7, с.Боянчук, Заставнівський р-н, Чернівецька обл., 59443","768","300","761","47","423","45","468","","0","423","45","468","17","451","112","4","16","3","13","28","15","237","7","8","3","5","28.10.12"
"730119","204","Чернівецька область","будинок культури, фойє
вул.Миру, 2, с.Брідок, Заставнівський р-н, Чернівецька обл., 59430","366","130","361","21","221","15","236","","0","221","15","236","9","227","13","2","25","6","4","11","85","75","1","4","0","1","29.10.12"
"730120","204","Чернівецька область","будинок культури, фойє
вул.Головна, 53, с.Василів, Заставнівський р-н, Чернівецька обл., 59416","948","248","935","46","658","42","700","","0","658","42","700","8","692","97","12","20","5","3","105","34","401","4","4","1","6","29.10.12"
"730121","204","Чернівецька область","будинок культури, зал
вул.Головна, 26, с.Васловівці, Заставнівський р-н, Чернівецька обл., 59451","1062","345","1051","76","647","70","717","","0","647","70","717","60","657","79","17","43","9","36","64","21","355","14","5","2","12","29.10.12"
"730122","204","Чернівецька область","центр дозвілля молоді, фойє
вул.Колгоспна, 21Б, с.Вербівці, Заставнівський р-н, Чернівецька обл., 59441","426","95","422","30","304","27","331","","0","304","27","331","10","321","54","4","23","4","8","30","7","186","2","0","2","1","29.10.12"
"730123","204","Чернівецька область","центр дозвілля, зал
вул.Шевченка, 88А, с.Веренчанка, Заставнівський р-н, Чернівецька обл., 59420","1554","464","1536","62","1031","59","1090","","0","1031","59","1090","22","1068","89","9","15","8","11","57","29","833","9","1","2","5","29.10.12"
"730124","204","Чернівецька область","школа, спортзал
вул.Шевченка, 79, с.Веренчанка, Заставнівський р-н, Чернівецька обл., 59420","1398","488","1380","86","834","76","910","","0","834","76","910","38","872","76","6","21","2","10","28","20","696","8","2","2","1","30.10.12"
"730125","204","Чернівецька область","Яблунівський НВК, актова зала
вул.Молодіжна, 9, с.Яблунівка, Заставнівський р-н, Чернівецька обл., 59401","252","58","253","7","187","7","194","","0","187","7","194","4","190","18","4","13","1","3","1","4","140","1","4","0","1","28.10.12"
"730126","204","Чернівецька область","школа, фойє
вул.І.Бажанського, 17, с.Вікно, Заставнівський р-н, Чернівецька обл., 59433","1170","318","1165","55","801","51","852","","0","801","51","852","26","826","201","5","54","16","12","70","122","332","3","5","1","5","28.10.12"
"730127","204","Чернівецька область","будинок культури, великий зал
вул.Головна, 77, с.Горішні Шерівці, Заставнівський р-н, Чернівецька обл., 59452","2202","650","2188","71","1481","71","1552","","0","1481","71","1552","83","1469","197","42","38","16","12","40","70","988","21","15","7","23","29.10.12"
"730128","204","Чернівецька область","школа, фойє
вул.Головна, 4, с.Горошівці, Заставнівський р-н, Чернівецька обл., 59442","822","272","815","54","496","54","550","","0","496","54","550","29","521","159","11","19","3","12","24","46","225","8","7","0","7","29.10.12"
"730129","204","Чернівецька область","будинок культури, актова зала
вул.Буковинська, 60, с.Добринівці, Заставнівський р-н, Чернівецька обл., 59444","1152","338","1146","46","768","46","814","","0","768","46","814","43","771","210","7","29","5","4","30","13","454","6","9","2","2","29.10.12"
"730130","204","Чернівецька область","народний дім, зал народного дому
вул.Буковинська, 2, с.Дорошівці, Заставнівський р-н, Чернівецька обл., 59423","1206","328","1208","45","834","44","878","","0","834","44","878","37","841","345","24","47","13","8","60","42","282","9","6","2","3","28.10.12"
"730131","204","Чернівецька область","будинок фольклору, актова зала
вул.Щербини, 8, с.Задубрівка, Заставнівський р-н, Чернівецька обл., 59453","714","173","711","34","507","34","541","","0","507","34","541","32","509","109","8","47","8","11","16","31","246","14","7","1","11","29.10.12"
"730132","204","Чернівецька область","будинок фольклору, фойє
вул.Шевченка, 17А, с.Звенячин, Заставнівський р-н, Чернівецька обл., 59413","984","355","972","36","597","32","629","","0","597","32","629","42","587","126","8","67","7","7","32","13","312","7","4","1","3","29.10.12"
"730133","204","Чернівецька область","сільський будинок культури, великий зал
вул.Українська, 5, с.Кадубівці, Заставнівський р-н, Чернівецька обл., 59421","1314","473","1307","61","787","54","841","","0","787","54","841","38","803","175","17","79","16","16","64","47","346","15","4","6","18","29.10.12"
"730134","204","Чернівецька область","школа, спортзал
вул.28 Червня, 1, с.Кадубівці, Заставнівськи р-н, Чернівецька обл., 59421","1326","449","1319","45","833","44","877","","0","833","44","877","47","830","187","17","54","9","17","60","76","386","9","4","0","11","29.10.12"
"730135","204","Чернівецька область","школа, фойє
вул.Молодіжна, 2, с.Кулівці, Заставнівський р-н, Чернівецкої обл., 59417","462","136","455","34","292","34","326","","0","292","34","326","21","305","49","2","19","2","0","53","3","169","2","2","1","3","29.10.12"
"730136","204","Чернівецька область","будинок культури, фойє
вул.О.Кобилянської, 47А, с.Малий Кучурів, Заставнівський р-н, Чернівецька обл., 59450","1014","312","1017","92","613","89","702","","0","613","89","702","46","656","105","16","38","6","14","17","24","403","17","7","1","8","29.10.12"
"730137","204","Чернівецька область","адмінбудинок, к.1
вул.Шевченка, 54, с.Митків, Заставнівський р-н, Чернівецька обл., 59431","222","58","215","11","153","11","164","","0","153","11","164","9","155","11","3","18","1","2","13","27","79","0","1","0","0","28.10.12"
"730138","204","Чернівецька область","будинок культури, фойє
вул.Зелена, 25, с.Мосорівка, Заставнівський р-н, чернівецька обл., 59432","216","62","212","23","133","21","154","","0","133","21","154","9","145","18","1","15","2","2","25","21","60","1","0","0","0","28.10.12"
"730139","204","Чернівецька область","будинок культури, малий зал
вул.Головна, 41, с.Онут, Заставнівський р-н, Чернівецька обл., 59434","468","125","461","49","306","37","343","","0","306","37","343","25","318","72","3","16","4","3","29","34","142","4","6","2","3","29.10.12"
"730140","204","Чернівецька область","будинок культури, актова зала
вул.Грушевського, 45, с.Погорілівка, Заставнівський р-н, Чернівецька обл., 59436","1326","395","1318","69","863","68","931","","0","863","68","931","50","881","197","11","89","12","26","110","93","315","6","8","3","11","28.10.12"
"730141","204","Чернівецька область","сільський клуб, зал клубу
вул.Центральна, 18, с.Прилипче, Заставнівський р-н, Чернівецька обл., 59412","630","265","630","41","326","39","365","","0","326","39","365","23","342","87","6","32","5","6","60","11","128","1","3","0","3","29.10.12"
"730142","204","Чернівецька область","будинок культури, малий зал
вул.Центральна, 27, с.Репужинці, Заставнівський р-н, Чернівецька обл., 59414","1386","384","1373","83","923","79","1002","","0","923","79","1002","34","968","130","7","83","6","13","42","14","649","9","6","4","5","29.10.12"
"730143","204","Чернівецька область","будинок культури, фойє
вул.О.Кобилянської, 5, с.Ржавинці, Заставнівський р-н, Чернівецька обл., 59445","2268","771","2263","101","1410","87","1497","","0","1410","87","1497","65","1432","166","26","65","6","57","89","34","929","8","17","26","9","29.10.12"
"730144","204","Чернівецька область","клуб, зал
вул.Сагайдачного, 45, с.Самушин, Заставнівський р-н, Чернівецька обл., 59405","300","96","296","23","185","19","204","","0","185","19","204","8","196","46","3","12","2","7","6","14","104","1","1","0","0","29.10.12"
"730145","204","Чернівецька область","будинок центру дозвілля, зал
вул.Головна, 15, с.Товтри, Заставнівський р-н, Чернівецька обл., 59424","1434","455","1420","51","933","46","979","","0","933","46","979","55","924","261","9","50","9","9","108","20","435","10","3","5","5","29.10.12"
"730146","204","Чернівецька область","будинок культури, актова зала
вул.Першотравнева, 5, с.Хрещатик, Заставнівський р-н, Чернівецька обл., 59415","684","186","683","21","477","21","498","","0","477","21","498","19","479","104","12","28","3","25","27","21","250","5","1","0","3","29.10.12"
"730147","204","Чернівецька область","клуб, фойє
вул.Головна, 73, с.Чорний Потік, Заставнівський р-н, Чернівецька обл., 59435","414","107","409","16","291","16","307","","0","291","16","307","21","286","34","5","5","2","2","48","9","169","6","3","0","3","29.10.12"
"730148","204","Чернівецька область","школа, спортзал
вул.Ярошинської, 9, с.Чуньків, Заставнівський р-н, Чернівецька обл., 59422","1032","320","1028","24","688","24","712","","0","688","24","712","23","689","85","7","17","6","2","29","33","494","12","1","1","2","28.10.12"
"730149","204","Чернівецька область","будинок культури, малий зал
вул.Головна, 62, с.Шубранець, Заставнівський р-н, Чернівецька обл., 59454","1344","418","1335","61","868","58","926","","0","868","58","926","51","875","216","35","51","13","24","24","30","441","16","14","8","3","29.10.12"
"730150","204","Чернівецька область","школа, коридор
вул.Шкільна, 17, с.Юрківці, Заставнівський р-н, Чернівецька обл., 59440","1506","500","1493","74","943","63","1006","","0","943","63","1006","68","938","173","21","38","12","17","51","93","501","14","6","3","9","29.10.12"
"730151","204","Чернівецька область","районний будинок народної творчості та дозвілля, фойє
пл.Центральна, 12, смт Кельменці, Кельменецький р-н, Чернівецька обл., 60100","2226","997","2232","35","1195","34","1229","","0","1195","34","1229","27","1202","152","10","62","12","95","274","17","500","10","34","1","35","29.10.12"
"730152","204","Чернівецька область","районне управління юстиції, зал урочистих подій
вул.Сагайдачного, 24, смт Кельменці, Кельменецький р-н, Чернівецька обл., 60100","1650","763","1648","24","863","24","887","","0","863","24","887","44","843","126","12","77","8","54","184","10","323","9","7","3","30","29.10.12"
"730153","204","Чернівецька область","дошкільний навчальний заклад №1, методичний кабінет
вул.Гагаріна, 1Б, смт Кельменці, Кельменцький р-н, Чернівецька обл., 60100","1440","657","1436","31","753","30","783","","0","753","30","783","36","747","85","5","30","6","84","169","20","294","9","16","3","26","29.10.12"
"730154","204","Чернівецька область","клуб, глядацька зала
вул.Л.Українки, 14, смт Кельменці, Кельменецький р-н, Чернівецька обл., 60100","534","262","534","10","262","10","272","","0","262","10","272","15","257","29","3","16","7","8","47","4","129","1","5","0","8","29.10.12"
