"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Андрійченко
Володимир
Леонідович","Баскакова
Юлія
Віталіївна","Большаков
Павло
Валерійович","Варнакова
Олена
Юріївна","Глаба
Андрій
Володимирович","Давлеткужин
Роман
Рашитович","Дубіль
Валерій
Олександрович","Живенко
Світлана
Віталіївна","Маневич
Олексій
Робертович","Мозговий
Віктор
Іванович","Непомняща
Любов
Миколаївна","Осадців
Іван
Васильович","Раткіна
Ірина
Віталіївна","Соколов
Олександр
Володимирович","Дата підписання протоколу"
"740983","205","Чернігівська область","річковий порт, вестибюль
вул.Підвальна, 23, м.Чернігів, 14000","1712","812","1696","34","866","34","900","","0","866","34","900","30","870","10","3","4","13","10","65","404","2","1","16","3","71","2","266","29.10.12"
"740984","205","Чернігівська область","Кооперативний технікум, вестибюль
вул.Горького, 3, м.Чернігів, 14000","1564","582","1547","29","956","26","982","","0","955","26","981","25","956","8","6","5","11","17","64","443","2","8","14","5","85","2","286","31.10.12"
"740985","205","Чернігівська область","Проектний інститут, вестибюль
просп.Миру, 21А, м.Чернігів, 14000","1852","703","1845","39","1113","36","1149","","0","1113","36","1149","34","1115","10","9","5","15","17","119","481","1","7","10","2","93","4","342","29.10.12"
"740986","205","Чернігівська область","школа №3, спортивна зала
вул.Гетьмана Полуботка, 14, м.Чернігів, 14000","1700","620","1693","25","1057","23","1080","","0","1057","23","1080","20","1060","12","6","4","15","7","95","476","1","4","14","3","90","1","332","31.10.12"
"740987","205","Чернігівська область","музична школа №1, вестибюль
вул.Шевченка, 23, м.Чернігів, 14000","1632","453","1623","15","1165","14","1179","","0","1165","14","1179","32","1147","15","12","7","10","26","91","457","2","4","6","1","101","2","413","29.10.12"
"740988","205","Чернігівська область","Інститут землеустрою, вестибюль
вул.П’ятницька, 11А, м.Чернігів, 14000","1644","628","1608","31","991","25","1016","","0","991","25","1016","26","990","7","3","1","6","11","66","493","1","8","15","1","79","5","294","29.10.12"
"740989","205","Чернігівська область","школа №1, спортивна зала
просп.Миру, 40, м.Чернігів, 14000","1756","648","1740","14","1095","13","1108","","0","1095","13","1108","33","1075","11","9","2","13","11","86","537","6","9","6","6","90","3","286","29.10.12"
"740990","205","Чернігівська область","служба автомобільних шляхів, хол
вул.Київська, 17, м.Чернігів, 14005","2308","842","2281","11","1457","9","1466","","0","1457","9","1466","28","1438","8","12","7","11","14","121","704","4","10","24","8","115","3","397","29.10.12"
"740991","205","Чернігівська область","дитячо-юнацька школа ""Юність"", спортзала
просп.Перемоги, 110, м.Чернігів, 14013","1808","777","1777","15","1018","13","1031","","0","1018","13","1031","17","1014","7","12","0","9","9","79","520","5","4","9","5","75","4","276","29.10.12"
"740992","205","Чернігівська область","КП ""Дільниця з благоустрою міста"", хол
вул.Київська, 14А, м.Чернігів, 14005","1464","591","1459","17","861","12","873","","0","861","12","873","28","845","9","4","8","8","17","54","394","0","7","6","6","82","2","248","29.10.12"
"740993","205","Чернігівська область","ЖРЕД-11, актова зала
вул.П’ятницька, 94А, м.Чернігів, 14005","1832","603","1830","17","1214","15","1229","","0","1214","15","1229","26","1203","17","3","2","8","8","71","641","2","4","6","5","81","2","353","29.10.12"
"740994","205","Чернігівська область","Медичний коледж, актова зала
вул.П’ятницька, 42, м.Чернігів, 14000","1936","698","1898","24","1217","21","1238","","0","1217","21","1238","35","1203","8","4","4","16","8","84","656","4","7","15","3","96","4","294","29.10.12"
"740995","205","Чернігівська область","Палац дітей і юнацтва, хол, 2-й поверх
просп.Перемоги, 112, м.Чернігів, 14013","2508","1169","2233","27","1314","25","1339","","0","1314","25","1339","42","1297","15","5","2","11","26","118","612","7","4","19","4","107","0","367","29.10.12"
