"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Атрошенко
Владислав
Анатолійович","Атрощенко
Андрій
Петрович","Ерістова
Ірина
Леонідівна","Кириченко
Олександр
Володимирович","Купрієнко
Олег
Васильович","Михеєвський
Сергій
Андрійович","Поліщук
Володимир
Андрійович","Попова
Олена
Михайлівна","Прокопенко
Станіслав
Миколайович","Прохорський
Олександр
Леонідович","Рябченко
Валерій
Миколайович","Свириденко
Віталій
Анатолійович","Сураєва
Валентина
Миколаївна","Шевцов
Олег
Олександрович","Ясочко
Раїса
Костянтинівна","Дата підписання протоколу"
"000001","206","Чернігівська область","адміністративна будівля слідчого ізолятора, кабінет медичної частини (1 поверх)
вул.Комсомольська, 2, м.Чернігів, 14000","484","104","387","5","375","5","380","","0","375","5","380","43","337","59","23","12","9","11","2","29","28","129","8","1","7","5","5","9","29.10.12"
"740641","206","Чернігівська область","музична школа, актова зала
вул.Леніна, 143, смт Добрянка, Ріпкинський р-н, Чернігівська обл., 15011","1220","524","1190","82","634","62","696","","0","634","62","696","22","674","319","17","7","2","4","0","12","12","222","3","0","0","4","1","71","28.10.12"
"740642","206","Чернігівська область","школа, фойє
вул.Дзержинського, 7, смт Добрянка, Ріпкинський р-н, Чернігівська обл., 15011","1116","488","1116","73","577","51","628","","0","577","51","628","18","610","232","15","4","2","5","0","38","6","254","3","1","1","2","1","46","29.10.12"
"740643","206","Чернігівська область","сільський клуб, фойє
вул.Кірова, 105, с.Вербівка, Ріпкинський р-н, Чернігівська обл., 15011","212","60","204","49","112","40","152","","0","112","40","152","5","147","67","3","1","0","2","0","10","0","59","1","1","0","0","0","3","29.10.12"
"740644","206","Чернігівська область","школа, спортивна зала
вул.Леніна, 3, смт Замглай, Ріпкинський р-н, Чернігівська обл., 15005","1380","510","1354","56","831","39","870","","0","831","39","870","26","844","346","19","4","0","11","0","233","32","134","6","4","0","1","0","54","29.10.12"
"740645","206","Чернігівська область","школа, спортивна зала
вул.Радянська, 31, смт Любеч, Ріпкинський р-н, Чернігівська обл., 15041","1900","769","1876","176","973","157","1130","","0","972","157","1129","21","1108","475","28","7","1","12","1","254","18","212","1","2","3","0","1","93","29.10.12"
"740646","206","Чернігівська область","школа, спортивна зала
вул.Червона площа, 30, смт Радуль, Ріпкинський р-н, Чернігівська обл., 15021","508","178","504","58","289","41","330","","0","289","41","330","8","322","128","14","3","0","1","0","29","3","110","2","0","1","1","0","30","30.10.12"
"740647","206","Чернігівська область","сільський клуб, актова зала
вул.Миру, 31, с.Лопатні, Ріпкинський р-н, Чернігівська обл., 15021","180","49","183","27","106","25","131","","0","106","25","131","3","128","68","0","0","0","3","0","13","1","38","0","0","0","0","0","5","28.10.12"
"740648","206","Чернігівська область","гімназія, спортивна зала
вул.Святомиколаївська, 43, смт Ріпки, Ріпкинський р-н, Чернігівська обл., 15000","2040","702","1994","85","1263","75","1338","","0","1263","75","1338","24","1314","606","25","7","2","31","0","189","41","317","4","2","1","1","1","87","29.10.12"
"740649","206","Чернігівська область","школа №2, фойє
вул.Пирогова, 5, смт Ріпки, Ріпкинський р-н, Чернігівська обл., 15000","2056","824","2032","57","1185","47","1232","","0","1185","47","1232","24","1208","544","21","6","2","19","1","172","35","322","4","0","1","1","2","78","29.10.12"
"740650","206","Чернігівська область","будинок творчості дітей, актова зала
вул.Васильєва, 41, смт Ріпки, Ріпкинський р-н, Чернігівська обл., 15000","1964","880","1924","68","1023","61","1084","","0","1023","61","1084","26","1058","510","23","9","2","6","0","145","35","243","5","3","2","2","0","73","29.10.12"
"740651","206","Чернігівська область","селищний клуб, фойє
вул.Вокзальна, 16, смт Ріпки, Ріпкинський р-н, Чернігівська обл., 15000","448","168","440","35","251","29","280","","0","251","29","280","5","275","107","13","3","0","2","0","29","4","99","0","3","0","0","0","15","29.10.12"
"740652","206","Чернігівська область","сільський клуб, фойє
вул.1 Травня, 6А, с.Велика Вісь, Ріпкинський р-н, Чернігівська обл., 15073","232","52","231","44","136","44","180","","0","136","44","180","5","175","101","3","0","0","1","0","17","7","34","0","2","0","0","0","10","29.10.12"
"740653","206","Чернігівська область","сільський клуб, фойє
вул.1 Травня, 100, с.Звеничів, Ріпкинський р-н, Чернігівська обл., 15073","96","24","92","26","48","24","72","","0","48","24","72","1","71","30","4","0","0","3","0","8","0","26","0","0","0","0","0","0","29.10.12"
"740654","206","Чернігівська область","сільський клуб, актова зала
вул.Центральна, 93, с.Вороб’їв, Ріпкинський р-н, Чернігівська обл., 15051","736","293","726","63","387","56","443","","0","387","56","443","13","430","182","17","6","2","7","1","118","2","64","0","0","0","1","2","28","29.10.12"
"740655","206","Чернігівська область","школа, фойє
вул.Перемоги, 23, с.Вербичі, Ріпкинський р-н, Чернігівська обл., 15015","364","118","356","40","208","38","246","","0","208","38","246","6","240","120","6","3","1","3","0","39","2","54","0","1","0","0","0","11","28.10.12"
"740656","206","Чернігівська область","школа, спортивна зала
вул.Пушкіна, 1, с.Вишневе, Ріпкинський р-н, Чернігівська обл., 15070","380","130","378","44","212","38","250","","0","212","38","250","4","246","144","3","1","0","3","0","38","5","35","0","1","2","0","0","14","29.10.12"
"740657","206","Чернігівська область","сільський клуб, фойє
вул.Центральна, 53Б, с.Буянки, Ріпкинський р-н, Чернігівська обл., 15070","196","60","195","15","122","14","136","","0","122","14","136","7","129","70","2","0","0","1","1","21","2","25","1","0","1","0","0","5","29.10.12"
"740658","206","Чернігівська область","будинок культури, актова зала
вул.Чернігівська, 6, с.Голубичі, Ріпкинський р-н, Чернігівська обл., 15072","436","136","426","79","231","69","300","","0","231","69","300","5","295","101","10","3","2","6","1","48","10","86","1","0","0","1","0","26","29.10.12"
"740659","206","Чернігівська область","сільський клуб, актова зала
вул.Першотравнева, 79, с.Горностаївка, Ріпкинський р-н, Чернігівська обл., 15010","368","131","365","109","151","86","237","","0","151","86","237","10","227","94","11","0","0","1","0","21","6","62","1","0","1","0","1","29","29.10.12"
"740660","206","Чернігівська область","контора лісництва, зала засідань
вул.М.Заньковецької, 15, с.Гута-Ткачова, Ріпкинський р-н, Чернігівська обл., 15011","80","24","76","12","46","10","56","","0","46","10","56","2","54","15","2","2","2","0","0","7","0","22","1","0","0","0","0","3","28.10.12"
"740661","206","Чернігівська область","адмінприміщення (колишня школа), фойє
вул.Шкільна, 26, с.Грабів, Ріпкинський р-н, Чернігівська обл., 15023","268","81","268","50","143","44","187","","0","143","44","187","2","185","131","9","2","0","0","0","9","6","18","0","0","0","0","1","9","29.10.12"
