"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Амельченко
Василь
Васильович","Журман
Сергій
Миколайович","Зінов’єв
Артур
Петрович","Куніцин
Володимир
Миколайович","Лещенко
Володимир
Олексійович","Матюха
Валерія
Валеріївна","Неживий
Леонід
Михайлович","Петров
Олег
Борисович","Петров
Олег
Володимирович","Рибаков
Ігор
Олександрович","Шаповал
Петро
Дмитрович","Юхименко
Сергій
Володимирович","Дата підписання протоколу"
"000001","207","Чернігівська область","кімната медичної частини
вул.Коротченка, 31, м.Новгород-Сіверський, Чернігвська обл., 16000","132","28","104","0","104","0","104","","0","104","0","104","9","95","10","9","7","3","12","9","9","5","5","17","5","4","29.10.12"
"740153","207","Чернігівська область","будинок культури, фойє
вул.Леніна, 8А, м.Городня, Городнянський р-н, Чернігівська обл., 15100","2130","1156","2113","42","938","36","974","","0","938","36","974","29","945","47","208","8","7","131","7","64","7","13","176","271","6","29.10.12"
"740154","207","Чернігівська область","спортивна школа, фойє
вул.1 Травня, 20, м.Городня, Городнянський р-н, Чернігівська обл., 15100","2064","976","2039","32","1068","20","1088","","0","1068","20","1088","45","1043","47","237","8","6","109","13","79","9","13","187","331","4","29.10.12"
"740155","207","Чернігівська область","клуб механічного заводу, глядацька зала
вул.Радянська, 110, м.Городня, Городнянський р-н, Чернігівська обл., 15100","2280","1186","2245","41","1067","27","1094","","0","1067","27","1094","42","1052","59","201","10","7","151","8","82","10","21","187","307","9","29.10.12"
"740156","207","Чернігівська область","районна гімназія, спортивна зала
вул.Чорноуса, 29, м.Городня, Городнянський р-н, Чернігівська обл., 15100","2100","1045","2046","36","1023","32","1055","","0","1023","32","1055","41","1014","63","184","11","4","162","4","56","9","19","167","330","5","02.11.12"
"740157","207","Чернігівська область","школа №2, спортивна зала
вул.Леніна, 4, м.Городня, Городнянський р-н, Чернігівська обл., 15100","2232","1247","2185","27","964","21","985","","0","964","21","985","27","958","43","197","9","10","136","9","64","8","15","188","276","3","29.10.12"
"740158","207","Чернігівська область","хлібоприймальне підприємство, зала засідань
вул.Вокзальна, 18, с.Вокзал-Городня, Городнянський р-н, Чернігівська обл., 15100","870","511","871","22","338","21","359","","0","338","21","359","8","351","15","78","3","4","52","5","36","0","8","80","67","3","03.11.12"
"740159","207","Чернігівська область","сільська рада, зала засідань
вул.Набережна, 7, с.Андріївка, Городнянський р-н, Чернігівська обл., 15124","120","49","113","13","61","10","71","","0","61","10","71","2","69","4","11","0","0","19","1","2","1","5","24","2","0","28.10.12"
"740160","207","Чернігівська область","школа, кабінет історії
вул.Червоноармійська, 40, с.Автуничі, Городнянський р-н, Чернігівська обл., 15124","240","61","235","25","157","22","179","","0","157","22","179","10","169","13","17","3","2","28","0","9","1","4","78","14","0","28.10.12"
"740161","207","Чернігівська область","сільський клуб, глядацька зала
вул.Леніна, 70, с.Старосілля, Городнянський р-н, Чернігівська обл., 15124","180","61","174","26","97","22","119","","0","97","22","119","5","114","6","17","3","1","21","2","9","1","7","33","9","5","28.10.12"
"740162","207","Чернігівська область","будинок культури, глядацька зала
вул.Центральна, 27, с.Бурівка, Городнянський р-н, Чернігівська обл., 15143","432","154","424","56","224","54","278","","0","224","54","278","46","232","14","23","1","1","36","1","6","8","18","83","39","2","28.10.12"
"740163","207","Чернігівська область","будинок культури, глядацька зала
вул.Димитрова, 56, с.Бутівка, Городнянський р-н, Чернігівська обл., 15135","204","72","192","14","120","12","132","","0","120","12","132","7","125","8","5","1","0","25","1","5","2","4","55","18","1","28.10.12"
