"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Богатирьов
Іван
Григорович","Бойправ
Борис
Степанович","Голиця
Михайло
Миколайович","Данько
Григорій
Володимирович","Дзюбан
Юрій
Володимирович","Дмитренко
Світлана
Олександрівна","Ляшко
Олег
Валерійович","Михно
Сергій
Анатолійович","Неволько
Вячеслав
Анатолійович","Паньков
Олександр
Юрійович","Пухкал
Олександр
Григорович","Секела
Руслан
Михайлович","Ходос
Людмила
Вікторівна","Дата підписання протоколу"
"740001","208","Чернігівська область","автомобільна школа ТСОУ, фойє
вул.Конотопська, 62, м.Бахмач, Бахмацький р-н, Чернігівська обл., 16500","2208","998","2169","30","1184","26","1210","","0","1184","26","1210","41","1169","9","3","217","110","5","3","599","16","191","1","11","1","3","29.10.12"
"740002","208","Чернігівська область","районна лікарня ветмедицини, актова зала
вул.Фурманова, 21, м.Бахмач, Бахмацький р-н, Чернігівська обл., 16500","1100","504","1094","8","588","8","596","","0","588","8","596","19","577","3","0","130","37","1","3","311","9","74","2","5","1","1","29.10.12"
"740003","208","Чернігівська область","СТОВ ""Надія"", актова зала
вул.Богунцева, 1, м.Бахмач, Бахмацький р-н, Чернігівська обл., 16500","940","413","918","41","491","36","527","","0","491","36","527","21","506","1","3","137","58","1","3","209","10","79","0","3","1","1","29.10.12"
"740004","208","Чернігівська область","будинок культури, фойє
вул.Жовтнева, 59, м.Бахмач, Бахмацький р-н, Чернігівська обл., 16500","2068","888","2051","12","1168","12","1180","","0","1168","12","1180","37","1143","5","6","234","152","4","6","498","14","213","0","5","2","4","29.10.12"
"740005","208","Чернігівська область","будинок дитячої та юнацької творчості, фойє
вул.Жовтнева, 96, м.Бахмач, Бахмацький р-н, Чернігівська обл., 16500","2256","1010","2212","13","1237","9","1246","","0","1237","9","1246","43","1203","6","7","263","175","8","5","522","26","159","7","14","5","6","29.10.12"
"740006","208","Чернігівська область","хлібна база №87, зала засідань
вул.Східна, 13, м.Бахмач, Бахмацький р-н, Чернігівська обл., 16500","424","208","418","2","214","2","216","","0","214","2","216","6","210","1","2","32","33","0","1","117","6","15","0","3","0","0","30.10.12"
"740007","208","Чернігівська область","школа №5, фойє
вул.Пушкіна, 3, м.Бахмач, Бахмацький р-н, Чернігівська обл., 16500","1448","673","1427","17","760","15","775","","0","760","15","775","37","738","2","7","118","107","4","4","360","10","114","1","7","0","4","28.10.12"
"740008","208","Чернігівська область","КВП ""Комунальник"", актовий зал
вул.Південна, 48, м.Бахмач, Бахмацький р-н, Чернігівська обл., 16500","1164","522","1144","38","612","30","642","","0","612","30","642","19","623","0","0","127","87","0","2","275","14","110","0","3","3","2","28.10.12"
"740009","208","Чернігівська область","школа №4, фойє
вул.Б.Хмельницького, 11, м.Бахмач, Бахмацький р-н, Чернігівська обл., 16500","1436","621","1438","23","797","18","815","","0","797","18","815","29","786","2","3","185","108","4","3","341","17","104","1","14","3","1","29.10.12"
"740010","208","Чернігівська область","школа №1, фойє
вул.Я.Мудрого, 4, м.Бахмач, Бахмацький р-н, Чернігівська обл., 16500","2480","1020","2430","22","1443","17","1460","","0","1443","17","1460","30","1430","10","9","299","193","6","8","637","28","214","5","12","6","3","29.10.12"
