"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Безпалий
Олександр
Вікторович","Білоусенко
Максим
Валерійович","Боровик
Валерій
Анатолійович","Герасименко
Василь
Петрович","Кубрак
Віталій
Михайлович","Куровський
Іван
Іванович","Лозян
Федір
Миколайович","Марченко
Валерій
Анатолійович","Морозенко
Лідія
Дмитрівна","Ніженець
Леонід
Васильович","Полуда
Микола
Миколайович","Пучка
Ігор
Вячеславович","Харченко
Олександр
Володимирович","Дата підписання протоколу"
"740134","209","Чернігівська область","районний будинок культури, фойє
вул.Шевченка, 36, смт Варва, Варвинський р-н, Чернігівська обл., 17600","2298","896","2232","45","1359","43","1402","","0","1359","43","1402","31","1371","60","4","783","29","42","388","18","10","5","1","21","2","8","29.10.12"
"740135","209","Чернігівська область","школа, коридор
вул.Шевченка, 46, смт Варва, Варвинський р-н, Чернігівська обл., 17600","2460","1015","2421","28","1423","22","1445","","0","1423","22","1445","29","1416","64","10","820","35","38","332","18","17","6","2","36","2","36","29.10.12"
"740136","209","Чернігівська область","гімназія, спортзала
вул.Миру, 54А, смт Варва, Варвинський р-н, Чернігівська обл., 17600","2292","961","2266","17","1317","14","1331","","0","1317","14","1331","44","1287","55","6","724","20","49","362","12","21","5","2","23","2","6","29.10.12"
"740137","209","Чернігівська область","сільська рада, зала засідань
вул.Молодіжна, 11, с.Антонівка, Варвинський р-н, Чернігівська обл., 17621","432","119","426","70","245","68","313","","0","245","68","313","6","307","19","1","102","5","12","127","19","11","0","0","10","1","0","29.10.12"
"740138","209","Чернігівська область","сільська рада, актова зала
вул.Шлях, 3, с.Богдани, Варвинський р-н, Чернігівська обл., 17631","204","34","198","20","150","20","170","","0","150","20","170","0","170","2","0","63","0","2","88","1","7","0","0","5","1","1","28.10.12"
"740139","209","Чернігівська область","сільський клуб, глядацька зала
вул.Жовтнева, 2, с.Брагинці, Варвинський р-н, Чернігівська обл., 17610","186","33","181","19","138","15","153","","0","138","15","153","2","151","2","0","69","2","5","62","7","1","0","0","2","0","1","28.10.12"
"740140","209","Чернігівська область","будинок культури, фойє
вул.Незалежності, 40, с.Гнідинці, Варвинський р-н, Чернігівська обл., 17640","720","190","707","76","454","76","530","","0","454","76","530","10","520","15","0","363","10","10","93","8","7","0","1","5","3","5","29.10.12"
"740141","209","Чернігівська область","сільський клуб, глядацька зала
вул.Л.Українки, 31, с.Дащенки, Варвинський р-н, Чернігівська обл., 17632","276","89","272","33","154","33","187","","0","154","33","187","6","181","7","0","76","2","5","60","3","3","2","0","23","0","0","29.10.12"
"740142","209","Чернігівська область","школа, спортзала
вул.Майдан Центральний, 2, с.Журавка, Варвинський р-н, Чернігівська обл., 17620","2256","1020","2260","78","1175","61","1236","","0","1175","61","1236","30","1206","95","7","501","34","57","372","58","29","5","1","24","0","23","29.10.12"
"740143","209","Чернігівська область","фельдшерсько-акушерський пункт, к.3
вул.Степова, 2, с.Кулишівка, Варвинський р-н, Чернігівська обл., 17620","108","22","105","19","67","19","86","","0","67","19","86","2","84","5","0","42","4","1","22","2","1","1","0","4","0","2","29.10.12"
