"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Бабенко
Микола
Вікторович","Вутке
Сергій
Віталійович","Гацько
Василь
Миколайович","Гуляєв
Леонід
Олексійович","Звягінцева
Тамара
Петрівна","Кирилюк
Давид
Олексійович","Колечко
Микола
Григорович","Костриков
Сергій
Сергійович","Лисов
Ігор
Володимирович","Макарян
Артур
Владиславович","Нікітін
Андрій
Володимирович","Стопник
Валерій
Анатолійович","Стрілець
Тетяна
Олександрівна","Терьохін
Андрій
Юрійович","Терьохін
Сергій
Анатолійович","Туровська
Леся
Олегівна","Федоришин
Олег
Петрович","Чорний
Вадим
Володимирович","Дата підписання протоколу"
"800001","211","м.Київ","Київський національний лінгвістичний університет, гуртожиток №3, читальний зал
вул.Феодосійська, 8/13, м.Київ, 03028","2368","958","2370","10","1400","10","1410","","0","1400","10","1410","44","1366","448","10","54","13","13","9","15","9","217","2","4","4","1","42","438","44","8","35","29.10.12"
"800002","211","м.Київ","гімназія №59, великий спортивний зал
вул.Велика Китаївська, 85, м.Київ, 03028","2472","906","2470","15","1552","14","1566","","0","1552","14","1566","50","1516","507","13","58","16","7","10","14","7","303","1","5","7","4","26","415","88","8","27","29.10.12"
"800003","211","м.Київ","Національний університет харчових технологій, гуртожиток №2, дискозал
просп.Науки, 21, м.Київ, 03028","1960","821","1994","3","1137","2","1139","","0","1137","2","1139","25","1114","269","2","38","7","7","11","10","1","526","7","10","1","4","15","161","27","5","13","29.10.12"
"800004","211","м.Київ","Національний університет харчових технологій, корпус фізичного виховання, хол, 1-й поверх
просп.Науки, 29А, м.Київ, 03028","2116","836","2107","7","1275","5","1280","","0","1275","5","1280","49","1231","450","11","23","10","10","9","17","3","295","5","2","4","3","25","288","54","4","18","29.10.12"
"800005","211","м.Київ","Національний університет харчових технологій, корпус фізичного виховання, хол, 1-й поверх
просп.Науки, 29А, м.Київ, 03028","1532","546","1519","31","962","24","986","","0","962","24","986","29","957","309","1","16","9","4","11","16","4","222","0","3","5","2","23","265","54","0","13","29.10.12"
"800006","211","м.Київ","спеціалізована школа №273, хол, 1-й поверх
вул.Набережно-Корчуватська, 94А, м.Київ, 03045","2076","798","2049","49","1263","15","1278","","0","1263","15","1278","53","1225","350","4","34","12","13","28","14","2","325","2","4","1","2","46","318","40","3","27","29.10.12"
"800007","211","м.Київ","науковий центр НАПН України, коридор навчального корпусу
вул.Набарежно-Корчуватська, 78, м.Київ, 03045","1712","782","1692","3","930","0","930","","0","930","0","930","39","891","294","4","11","3","9","8","17","4","202","0","3","7","6","23","248","26","3","23","29.10.12"
"800008","211","м.Київ","спеціалізована школа №273, 1-й поверх, хол
вул.Набережно-Корчуватська, 94А, м.Київ, 03045","1916","636","1899","73","1270","10","1280","","0","1270","10","1280","50","1230","363","6","51","7","6","25","13","2","273","2","4","2","2","40","386","30","3","15","29.10.12"
"800009","211","м.Київ","школа №151, хол, 1-й поверх
вул.Ліснична, 3, м.Київ, 03131","1652","746","1650","9","901","5","906","","0","901","5","906","54","852","261","7","16","10","8","7","16","7","103","5","2","1","4","44","318","20","8","15","29.10.12"
"800010","211","м.Київ","будинок культури ""Конча-Заспа"", 1-й поверх, зал
вул.Генерала Матикіна, 10, м.Київ, 03084","1324","393","1338","8","925","6","931","","0","925","6","931","26","905","256","7","8","2","4","5","16","2","306","1","4","3","2","44","215","18","4","8","29.10.12"
"800011","211","м.Київ","школа №108, 2-й поверх, хол
вул.Уральська, 2/10, м.Київ, 03028","1764","759","1747","9","998","7","1005","","0","998","7","1005","21","984","279","6","112","4","3","10","7","1","180","2","5","2","0","34","301","23","1","14","31.10.12"
"800012","211","м.Київ","школа №108, 1-й поверх, хол
вул.Уральська, 2/10, м.Київ, 03028","1268","519","1257","11","738","11","749","","0","738","11","749","28","721","218","4","33","3","0","6","7","2","164","0","3","1","2","29","199","23","4","23","29.10.12"
"800013","211","м.Київ","ліцей №241 ""Голосіївський"", 1-й поверх, коридор
вул.Голосіївська, 12, м.Київ, 03039","2280","928","2246","12","1341","11","1352","","0","1338","11","1349","52","1297","343","6","42","8","7","8","23","4","310","4","7","4","4","28","409","64","3","23","29.10.12"
"800014","211","м.Київ","Національний університет харчових технологій, гуртожиток №5, актовий зал
просп.Науки, 26, м.Київ, 03028","2128","862","2122","12","1257","9","1266","","0","1257","9","1266","55","1211","380","13","29","5","3","10","8","4","307","3","12","3","4","29","307","77","5","12","29.10.12"
"800015","211","м.Київ","Національний університет харчових технологій, гуртожиток №4, дискозал
просп.Науки, 36, м.Київ, 03028","2136","942","2130","32","1177","17","1194","","0","1177","17","1194","49","1145","378","8","28","13","15","11","14","2","212","2","7","2","7","30","358","24","3","31","29.10.12"
