"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Безпалюк
Віталій
Анатолійович","Биструшкін
Ярослав
Олександрович","Борисов
Валерій
Дмитрович","Булавінцев
Володимир
Федорович","Власенко
Юрій
Дмитрович","Кобєлєв
Володимир
Іванович","Кузьмінський
Віктор
Іванович","Ліщенко
Олександр
Васильович","Ощановський
Мар’ян
Іванович","Самохін
Олексій
Юрійович","Соколовський
Валентин
Іванович","Сокур
Валентина
Дмитрівна","Харчук
Володимир
Владиславович","Яворівський
Володимир
Олександрович","Дата підписання протоколу"
"800215","213","м.Київ","школа №264, вестибюль
вул.Оноре де Бальзака, 8Г, м.Київ, 02225","2370","950","2369","6","1415","5","1420","","0","1415","5","1420","48","1372","20","45","188","3","5","10","7","183","14","3","20","292","34","548","29.10.12"
"800216","213","м.Київ","школа №264, спортзал
вул.Оноре де Бальзака, 8Г, м.Київ, 02225","2376","864","2347","6","1507","5","1512","","0","1507","5","1512","22","1490","19","85","207","0","5","5","5","246","15","4","19","264","41","575","29.10.12"
"800217","213","м.Київ","школа №264, коридор, 1-й поверх
вул.Оноре де Бальзака, 8Г, м.Київ, 02225","1866","668","1858","7","1192","6","1198","","0","1192","6","1198","45","1153","16","90","176","4","12","5","9","143","9","3","16","172","31","467","29.10.12"
"800218","213","м.Київ","школа №275, вестибюль
просп.Володимира Маяковського, 3Г, м.Київ, 02225","2274","777","2260","2","1495","2","1497","","0","1495","2","1497","33","1464","11","112","199","4","9","9","6","297","12","5","13","226","38","523","29.10.12"
"800219","213","м.Київ","школа №275, 1-й спортзал
просп.Володимира Маяковського, 3Г, м.Київ, 02225","2184","821","2185","3","1360","3","1363","","0","1360","3","1363","40","1323","11","60","183","5","6","9","1","181","17","1","19","241","42","547","29.10.12"
"800220","213","м.Київ","школа №275, 2-й спортзал
просп.Володимира Маяковського, 3Г, м.Київ, 02225","2304","815","2285","6","1486","3","1489","","0","1486","3","1489","57","1432","17","75","166","3","15","13","13","276","9","5","13","242","54","531","30.10.12"
"800221","213","м.Київ","ЖЕК №311, актова зала
вул.Каштанова, 8Г, м.Київ, 02225","2292","858","2268","12","1423","11","1434","","0","1423","11","1434","42","1392","16","121","215","5","5","13","5","250","19","8","19","164","17","535","29.10.12"
"800222","213","м.Київ","школа №259, рекреація початкової школи
просп.Володимира Маяковського, 21Г, м.Київ, 02225","2430","888","2407","12","1535","7","1542","","0","1535","7","1542","28","1514","7","213","264","7","13","7","3","300","5","4","18","173","21","479","29.10.12"
"800223","213","м.Київ","школа №259, рекреація старшої школи
просп.Володимира Маяковського, 21Г, м.Київ, 02225","2412","862","2380","13","1538","12","1550","","0","1538","12","1550","36","1514","8","382","194","3","2","5","4","360","7","10","34","122","35","348","29.10.12"
"800224","213","м.Київ","школа №259, спортзал, 1-й поверх
просп.Володимира Маяковського, 21Г, м.Київ, 02225","2448","845","2415","13","1591","12","1603","","0","1591","12","1603","25","1578","6","403","163","8","9","12","6","233","3","5","27","210","48","445","29.10.12"
"800225","213","м.Київ","школа №270, хол, 2-й поверх
просп.Володимира Маяковського, 21В, м.Київ, 02225","2328","837","2304","6","1488","3","1491","","0","1488","3","1491","37","1454","13","194","196","7","9","6","5","267","12","10","24","174","37","500","29.10.12"
"800226","213","м.Київ","школа №270, коридор, 2-й поверх
просп.Володимира Маяковського, 21В, м.Київ, 02225","2490","955","2461","8","1528","7","1535","","0","1528","7","1535","54","1481","13","76","196","3","6","11","4","482","12","9","11","159","44","455","29.10.12"
"800227","213","м.Київ","школа №270, спортзал
просп.Володимира Маяковського, 21В, м.Київ, 02225","2400","853","2377","9","1541","6","1547","","0","1541","6","1547","28","1519","15","108","197","3","8","12","12","452","16","6","31","210","37","412","29.10.12"
"800236","213","м.Київ","школа №249, рекреація, 2-й поверх
вул.Вікентія Беретті, 7, м.Київ, 02222","2436","909","2396","6","1523","4","1527","","0","1523","4","1527","35","1492","11","351","151","4","6","9","5","212","6","2","8","185","34","508","29.10.12"
"800237","213","м.Київ","школа №249, вестибюль
вул.Вікентія Беретті, 7, м.Київ, 02222","2448","866","2423","14","1571","11","1582","","0","1570","11","1581","31","1550","11","387","193","4","8","13","4","162","8","3","14","178","46","519","29.10.12"
