"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Бойко
Олег
Миколайович","Васильчук
Вадим
Васильович","Власко
Олена
Володимирівна","Гавриленко
Олександр
Борисович","Голубка
Степан
Михайлович","Довгий
Олесь
Станіславович","Кочкіна
Олена
Юріївна","Мартинов
Микола
Єгорович","Опимах
Оксана
Григорівна","Ратушний
Микола
Данилович","Самойленко
Анна
Василівна","Сенченко
Сергій
Анатолійович","Сміхун
Валентин
Іванович","Столяренко
Ігор
Анатолійович","Хмель
Анатолій
Олексійович","Чобіт
Дмитро
Васильович","Чубко
Оксана
Миколаївна","Чумак
Віктор
Васильович","Швачка
Наталія
Володимирівна","Шелягов
Анатолій
Васильович","Юрченко
Олександр
Іванович","Дата підписання протоколу"
"800350","214","м.Київ","спеціалізована школа №265, коридор, права сторона, 2-й поверх
вул.Райдужна, 53, м.Київ, 02218","2208","900","2198","7","1303","5","1308","","0","1303","5","1308","83","1225","48","27","7","9","8","398","28","34","25","10","12","9","5","13","28","38","7","492","6","14","7","29.10.12"
"800351","214","м.Київ","спеціалізована школа №265, коридор, права сторона, 3-й поверх
вул.Райдужна, 53, м.Київ, 02218","1904","794","1898","23","1096","14","1110","","0","1097","13","1110","62","1048","34","22","4","8","5","408","34","39","21","4","8","8","14","10","34","13","6","364","5","4","3","29.10.12"
"800352","214","м.Київ","спеціалізована школа №265, коридор, 2-й поверх
вул.Райдужна, 53, м.Київ, 02218","2024","777","2011","13","1235","12","1247","","0","1235","12","1247","94","1153","46","14","3","6","5","341","41","50","26","4","9","5","4","9","45","35","13","478","8","5","6","29.10.12"
"800353","214","м.Київ","вище професійне училище №25, коридор, 2-й поверх
вул.Старосільська, 2, м.Київ, 02125","2036","778","2053","4","1256","2","1258","","0","1256","2","1258","85","1173","63","23","2","9","2","341","31","39","28","5","10","6","7","9","29","40","12","496","7","7","7","29.10.12"
"800366","214","м.Київ","школа №4, вестибюль, 1-й поверх
вул.Сулеймана Стальського, 26А, м.Київ, 02139","2148","875","2144","11","1266","7","1273","","0","1266","7","1273","42","1231","85","9","5","4","3","443","26","37","44","5","8","9","15","9","35","9","10","414","12","46","3","29.10.12"
"800369","214","м.Київ","школа №158, коридор, 1-й поверх
вул.Сулеймана Стальського, 12, м.Київ, 02125","1816","802","1788","16","1002","12","1014","","0","1002","12","1014","49","965","33","16","12","6","1","378","27","25","23","9","8","7","3","7","33","9","8","337","8","12","3","29.10.12"
"800370","214","м.Київ","школа №158, коридор, 2-й поверх
вул.Сулеймана Стальського, 12, м.Київ, 02125","1868","790","1860","15","1063","15","1078","","0","1063","15","1078","62","1016","51","15","2","6","7","388","4","20","37","30","9","4","6","7","34","14","6","341","8","24","3","29.10.12"
"800371","214","м.Київ","спеціалізована школа-інтернат №14, вестибюль, 1-й поверх
бульв.Перова, 3, м.Київ, 02125","1968","895","1941","17","1056","17","1073","","0","1056","17","1073","69","996","57","13","3","9","3","392","23","34","19","5","6","6","3","11","52","9","9","324","10","3","5","29.10.12"
"800372","214","м.Київ","школа №158, коридор, 3-й поверх
вул.Сулеймана Стальського, 12, м.Київ, 02125","2012","887","2003","10","1114","9","1123","","0","1114","9","1123","101","1022","48","10","1","9","8","369","35","26","22","6","4","4","10","9","21","22","21","369","7","17","4","29.10.12"
"800373","214","м.Київ","спеціальна школа-інтернат №26, вестибюль, 1-й поверх
бульв.Перова, 1, м.Київ, 02125","2280","995","2256","26","1261","24","1285","","0","1261","24","1285","143","1142","29","7","7","10","1","472","27","39","23","3","5","8","11","10","38","6","14","414","5","11","2","29.10.12"
"800374","214","м.Київ","школа №201, рекреація, права сторона, 2-й поверх
бульв.Перова, 14А, м.Київ, 02125","1684","718","1659","17","957","9","966","","0","957","9","966","85","881","27","21","8","5","5","353","27","38","19","5","9","9","23","4","28","8","6","270","4","10","2","29.10.12"
"800375","214","м.Київ","школа №201, рекреація, ліва сторона, 2-й поверх
бульв.Перова, 14А, м.Київ, 02125","1728","702","1704","15","1012","14","1026","","1","1011","14","1025","82","943","26","13","8","8","1","383","33","37","22","5","3","9","12","7","26","4","7","320","3","10","6","29.10.12"
"800376","214","м.Київ","школа №201, рекреація, ліва сторона, 1-й поверх
бульв.Перова, 14А, м.Київ, 02125","2060","897","2112","56","1119","44","1163","","0","1119","44","1163","52","1110","34","20","6","5","5","460","26","49","20","3","7","2","13","11","36","16","11","336","7","34","9","29.10.12"
"800377","214","м.Київ","ПАТ ""Дарницький комбінат будівельних матеріалів і конструкцій"", клуб
вул.Степана Сагайдака, 101, м.Київ, 02660","900","390","908","1","509","1","510","","0","509","1","510","25","484","29","5","2","2","2","147","19","11","14","7","1","2","4","6","11","11","4","196","2","9","0","29.10.12"
"800378","214","м.Київ","Український коледж імені В.О. Сухомлинського, рекреація середньої школи, 2-й поверх
вул.Анатолія Луначарського, 5А, м.Київ, 02002","2240","710","2239","3","1529","1","1530","","0","1529","1","1530","53","1476","58","13","6","6","4","289","72","67","40","10","2","11","12","15","69","71","11","665","6","31","18","29.10.12"
"800379","214","м.Київ","школа джазового та естрадного мистецтв, хол
вул.Челябінська, 7В, м.Київ, 02002","2240","742","2210","8","1491","7","1498","","0","1491","7","1498","66","1432","61","12","3","7","4","423","86","53","37","5","4","8","3","9","43","32","10","601","9","18","4","29.10.12"
"800380","214","м.Київ","спеціалізована школа №65, вестибюль, 1-й поверх
вул.Челябінська, 5, м.Київ, 02002","2372","851","2368","21","1504","17","1521","","0","1504","17","1521","63","1458","43","20","13","12","3","394","50","77","31","6","7","3","18","12","77","56","9","594","6","24","3","30.10.12"
"800381","214","м.Київ","Український коледж імені В.О. Сухомлинського, рекреація молодшої школи, 2-й поверх
вул.Анатолія Луначарського, 5А, м.Київ, 02002","2460","901","2445","23","1544","15","1559","","0","1543","15","1558","61","1497","29","17","7","12","4","321","69","74","35","2","7","4","14","16","79","54","23","690","13","18","9","29.10.12"
"800382","214","м.Київ","ЖРЕО-405, актова зала, 1-й поверх
вул.Челябінська, 9Г, м.Київ, 02002","2020","673","2007","14","1335","12","1347","","0","1335","12","1347","36","1311","41","17","8","8","3","380","71","79","32","3","7","7","18","6","55","31","8","502","6","20","9","29.10.12"
"800383","214","м.Київ","спеціалізована школа №65, їдальня, 1-й поверх
вул.Челябінська, 5, м.Київ, 02002","2148","702","2139","9","1441","5","1446","","0","1441","5","1446","47","1399","43","21","9","13","5","347","51","54","42","9","7","7","14","12","44","34","5","657","2","17","6","29.10.12"
"800384","214","м.Київ","Київський технікум готельного господарства, вестибюль актової зали
вул.Генерала Жмаченка, 26, м.Київ, 02192","2468","1040","2456","1","1427","1","1428","","0","1427","1","1428","70","1358","51","25","12","13","8","444","58","46","30","10","13","7","12","11","66","30","5","492","10","11","4","29.10.12"
