"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Аксененко
Сергій
Іванович","Андрощук
Сергій
Борисович","Бутенко
Олена
Василівна","Веретьонкін
Володимир
Вікторович","Воронін
Дмитро
Олександрович","Герасимчук
Володимир
Володимирович","Гетьман
Олена
Юріївна","Давиденко
Олексій
Володимирович","Даниленко
Віталій
Васильович","Довгий
Віктор
Олександрович","Євчун
Андрій
Миколайович","Каплинська
Олександра
Вячеславівна","Кулик
Олег
Володимирович","Куліков
Олексій
Костянтинович","Ляпіна
Ксенія
Михайлівна","Новожилов
Борис
Валерійович","Очкур
Віктор
Іванович","Петранюк
Володимир
Іванович","Полуектов
Юрій
Євгенович","Самсон
Юрій
Петрович","Свищук
Данило
Олександрович","Супруненко
Олександр
Іванович","Фесенко
Аліна
Володимирівна"
"800157","216","м.Київ","гімназія №237, рекреація, 2-й поверх старшої школи
вул.Архітектора Вербицького, 28Г, м.Київ, 02121","2256","954","2233","17","1295","7","1302","","0","1294","7","1301","56","1245","50","0","10","1","16","7","16","200","0","20","9","11","7","123","348","31","5","9","5","4","68","257",""
"800158","216","м.Київ","гімназія №237, спортивна зала, 1-й поверх
вул.Архітектора Вербицького, 28Г, м.Київ, 02121","2361","892","2346","15","1460","9","1469","","0","1460","9","1469","50","1419","35","3","3","4","4","6","12","207","4","19","5","5","8","143","397","15","3","11","7","5","38","444",""
"800159","216","м.Київ","Київський професійний будівельний ліцей, коридор, 1-й поверх
вул.Горлівська, 220, м.Київ, 02121","981","341","976","2","638","2","640","","0","638","2","640","35","605","29","11","7","6","21","4","16","108","6","14","5","15","7","50","88","8","6","8","3","8","37","101",""
"800160","216","м.Київ","гімназія №261, рекреація, 2-й поверх початкової школи
вул.Архітектора Вербицького, 7, м.Київ, 02091","2070","799","2045","23","1257","14","1271","","0","1257","14","1271","43","1228","35","0","11","3","12","1","11","172","6","22","11","8","4","81","375","19","3","9","9","7","41","346",""
"800161","216","м.Київ","гімназія №261, рекреація, 3-й поверх старшої школи
вул.Архітектора Вербицького, 7, м.Київ, 02091","2445","1003","2415","15","1433","9","1442","","0","1433","9","1442","46","1396","59","2","1","1","9","2","12","212","5","21","5","8","6","80","434","14","6","7","8","8","44","408",""
"800162","216","м.Київ","гімназія №261, рекреація, 1-й поверх початкової школи
вул.Архітектора Вербицького, 7, м.Київ, 02091","2442","992","2418","18","1435","15","1450","","0","1434","15","1449","53","1396","53","5","11","4","9","1","15","202","5","20","11","8","3","71","365","19","6","13","12","10","53","458",""
"800163","216","м.Київ","гімназія №261, спортивна зала, 1-й поверх
вул.Архітектора Вербицького, 7, м.Київ, 02091","2445","973","2416","10","1467","5","1472","","0","1467","5","1472","37","1435","31","3","5","7","6","4","9","233","9","18","6","7","12","113","444","22","5","5","9","8","44","395",""
"800164","216","м.Київ","гімназія №267, рекреація, каб.139, 142, 1-й поверх
вул.Архітектора Вербицького, 7А, м.Київ, 02091","2433","1033","2432","8","1397","3","1400","","0","1397","3","1400","44","1356","44","0","10","1","17","8","19","276","4","18","6","12","8","93","419","18","4","12","6","2","49","283",""
"800165","216","м.Київ","гімназія №267, каб.268, 273, 2-й поверх
вул.Архітектора Вербицького, 7А, м.Київ, 02091","2442","1038","2429","3","1401","3","1404","","0","1401","3","1404","72","1332","38","3","4","3","10","2","11","218","8","16","5","8","8","82","414","11","4","16","7","7","51","377",""
"800166","216","м.Київ","гімназія №267, рекреація, каб.336, 341, 3-й поверх
вул.Архітектора Вербицького, 7А, м.Київ, 02091","2472","983","2439","7","1483","6","1489","","0","1483","6","1489","57","1432","47","0","3","6","3","4","6","244","5","19","14","10","5","65","464","19","5","16","7","4","65","391",""
"800167","216","м.Київ","спеціалізована школа №274, вестибюль, 1-й поверх
вул.Харківське шосе, 168І, м.Київ, 02091","2433","903","2417","21","1510","20","1530","","0","1510","20","1530","51","1479","53","6","5","7","7","2","16","254","3","14","4","7","6","71","448","18","1","15","7","5","41","449",""
"800168","216","м.Київ","спеціалізована школа №274, рекреація, каб.40-45, 2-й поверх
вул.Харківське шосе, 168І, м.Київ, 02091","2319","862","2292","10","1449","8","1457","","0","1449","8","1457","48","1409","60","1","3","6","10","2","7","231","4","16","8","8","7","89","407","26","4","13","11","7","85","373",""
"800169","216","м.Київ","спеціалізована школа №274, рекреація, каб.11-19, 2-й поверх
вул.Харківське шосе, 168І, м.Київ, 02091","2085","849","2069","10","1227","9","1236","","0","1227","9","1236","37","1199","60","2","6","5","9","6","9","191","6","15","3","6","10","65","370","23","4","7","0","7","71","287",""
"800170","216","м.Київ","спеціалізована школа №274, спортивна зала, 1-й поверх
вул.Харківське шосе, 168І, м.Київ, 02091","2460","902","2455","21","1547","11","1558","","0","1547","11","1558","42","1516","47","0","9","3","4","4","10","257","6","23","9","9","0","72","521","32","3","11","8","1","61","397",""
"800171","216","м.Київ","гімназія №290, вестибюль, 1-й поверх
вул.Ревуцького, 13А, м.Київ, 02091","2370","886","2334","12","1478","6","1484","","0","1478","6","1484","42","1442","55","3","7","3","6","1","10","249","9","30","6","7","8","79","434","19","4","12","4","1","45","416",""
"800172","216","м.Київ","гімназія №290, рекреація, каб.214-217, 2-й поверх
вул.Ревуцького, 13А, м.Київ, 02091","2328","811","2316","22","1496","21","1517","","0","1496","21","1517","50","1467","67","3","5","2","11","4","13","224","9","13","20","10","7","82","471","18","6","8","16","6","59","364",""
"800173","216","м.Київ","гімназія №290, рекреація, каб.201-206, 2-й поверх
вул.Ревуцького, 13А, м.Київ, 02091","2394","773","2392","17","1610","11","1621","","0","1610","11","1621","41","1580","66","1","7","4","17","2","17","264","1","21","9","15","8","124","512","29","9","14","2","9","46","360",""
"800174","216","м.Київ","гімназія №290, рекреація, каб.101-104, 1-й поверх
вул.Ревуцького, 13А, м.Київ, 02091","2352","860","2343","3","1490","2","1492","","0","1489","2","1491","46","1445","60","2","11","9","9","2","11","257","6","9","8","8","5","113","464","24","6","13","5","3","51","326",""
"800175","216","м.Київ","школа №284, спортивна зала, 1-й поверх
вул.Тростянецька, 7Г, м.Київ, 02091","1218","409","1210","6","804","5","809","","0","804","5","809","35","774","32","1","6","3","9","0","10","141","5","8","3","4","1","53","220","13","4","10","4","0","34","199",""
"800176","216","м.Київ","школа №284, коридор, 2-й поверх
вул.Тростянецька, 7Г, м.Київ, 02091","2478","953","2462","16","1513","12","1525","","0","1513","12","1525","47","1478","48","1","6","5","18","8","15","256","6","28","7","7","6","97","478","22","3","14","9","3","39","362",""
"800177","216","м.Київ","школа №284, коридор, 2-й поверх
вул.Тростянецька, 7Г, м.Київ, 02091","2325","847","2303","14","1467","11","1478","","0","1467","11","1478","49","1429","32","1","5","3","18","4","16","310","3","26","8","9","3","85","417","33","4","9","4","5","67","328",""
"800178","216","м.Київ","школа №284, вестибюль, 1-й поверх
вул.Тростянецька, 7Г, м.Київ, 02091","2154","843","2130","4","1309","2","1311","","0","1308","2","1310","43","1267","30","1","3","9","14","2","8","248","4","12","5","11","5","75","398","23","3","10","2","5","66","294",""
"800179","216","м.Київ","Київський медичний коледж №3, ауд.118, 1-й поверх
вул.Привокзальна, 14/2, м.Київ, 02096","2352","930","2327","25","1409","13","1422","","2","1409","13","1422","49","1373","47","0","2","3","6","5","10","252","5","50","7","8","12","53","384","27","2","10","3","10","35","419",""
"800180","216","м.Київ","Київський медичний коледж №3, спортивна зала, 1-й поверх
вул.Привокзальна, 14/2, м.Київ, 02096","2046","775","2031","15","1264","7","1271","","0","1264","7","1271","40","1231","3","0","0","1","2","0","1","177","0","36","0","0","0","2","389","31","1","1","2","3","3","574",""
