"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Андрєєв
Олександр
Вікторович","Бригинець
Олександр
Михайлович","Вільдман
Ігор
Лазаревич","Габер
Микола
Олександрович","Глуховський
Олексій
Станіславович","Годунов
Юрій
Борисович","Гуреєв
Василь
Миколайович","Дерпак
Віталій
Михайлович","Жадан
Володимир
Анатолійович","Забавський
Дмитро
Анатолійович","Ільницький
Сергій
Васильович","Карасьов
Вадим
Юрійович","Крикунов
Юрій
Володимирович","Лановий
Володимир
Тимофійович","Новіков
Олег
Володимирович","Похилевич
Валерій
Андрійович","Силантьєв
Денис
Олегович","Соболев
Максим
Олегович","Столар
Вадим
Михайлович","Товстий
Василь
Охрімович","Товтрівська
Олеся
Олександрівна","Фещук
Олег
Петрович","Дата підписання протоколу"
"800471","217","м.Київ","школа №232, фойє
вул.Гавро Лайоша, 4Г, м.Київ, 04211","2352","1231","2330","13","1116","5","1121","","0","1116","5","1121","15","1106","6","296","235","5","32","57","25","2","4","5","2","16","129","17","0","2","60","12","187","4","6","4",""
"800472","217","м.Київ","школа №216, хол
вул.Мате Залки, 8Г, м.Київ, 04211","2276","818","2257","20","1443","15","1458","","0","1441","15","1456","33","1423","2","430","245","10","31","22","15","7","2","2","8","28","157","32","1","3","95","12","305","7","5","4",""
"800473","217","м.Київ","школа №216, спортивна зала
вул.Мате Залки, 8Г, м.Київ, 04211","2276","818","2255","44","1428","30","1458","","7","1423","30","1453","35","1418","5","432","209","8","36","17","13","3","4","2","3","27","184","26","1","4","94","10","327","2","6","5",""
"800474","217","м.Київ","школа №216, спортивна зала
вул.Мате Залки, 8Г, м.Київ, 04211","2308","754","2294","20","1548","6","1554","","6","1548","6","1554","21","1525","2","508","246","8","30","34","13","2","3","0","8","38","220","43","0","1","101","12","242","3","6","5",""
"800475","217","м.Київ","школа №232, спортивна зала
вул.Гавро Лайоша, 4Г, м.Київ, 04211","3740","2175","2336","18","1555","10","1565","","0","1555","10","1565","45","1520","6","468","195","10","35","27","13","4","2","4","5","41","221","39","1","1","110","10","313","3","8","4",""
"800476","217","м.Київ","школа №232, актова зала
вул.Гавро Лайоша, 4Г, м.Київ, 04211","2008","679","1999","37","1303","26","1329","","0","1303","26","1329","27","1300","1","383","159","7","24","25","12","9","4","0","7","35","168","26","4","1","88","14","321","3","4","5",""
"800477","217","м.Київ","ЖЕК №502, актова зала
вул.Гавро Лайоша, 7А, м.Київ, 04211","2216","706","2206","19","1501","9","1510","","0","1499","9","1508","35","1473","4","483","163","7","37","30","13","3","3","0","5","41","219","48","2","2","57","8","334","7","4","3",""
"800478","217","м.Київ","школа №219, хол
просп.Оболонський, 2Б, м.Київ, 04210","2336","781","2317","34","1528","27","1555","","0","1528","27","1555","35","1520","2","533","247","9","25","26","15","1","3","3","10","37","182","35","4","3","74","13","290","1","3","4",""
"800479","217","м.Київ","школа №219, актова зала
просп.Оболонський, 2Б, м.Київ, 04210","2324","789","2308","32","1514","21","1535","","0","1513","21","1534","36","1498","7","513","191","17","24","34","22","4","6","1","6","61","207","33","1","2","85","9","260","9","4","2",""
"800480","217","м.Київ","ліцей №157, хол
просп.Оболонський, 12В, м.Київ, 04205","2064","675","2057","30","1366","23","1389","","0","1366","23","1389","48","1341","7","398","70","11","60","32","15","9","6","3","9","62","202","43","1","2","40","12","340","4","10","5",""
