"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Ар’єв
Володимир
Ігорович","Асадчев
Валерій
Михайлович","Глущенко
Олексій
Анатолійович","Грищук
Валерій
Павлович","Калашніков
Олег
Іванович","Киричук
Сергій
Леонідович","Кривенко
Тарас
Олександрович","Мирончук
Володимир
Назарович","Оськін
Олексій
Геннадійович","Парцхаладзе
Лев
Ревазович","Приходько
Микола
Сергійович","Семенюк
Віктор
Леонідович","Сидоренко
Олексій
Миколайович","Третьяков
Олександр
Юрійович","Чернишук
Тетяна
Володимирівна","Шабатин
Степан
Іванович","Шевченко
Юрій
Михайлович","Дата підписання протоколу"
"800548","218","м.Київ","школа №168, спортивна зала
вул.Озерна, 2, м.Київ, 04209","2052","667","2046","13","1375","10","1385","","0","1375","10","1385","73","1312","447","45","17","5","131","5","6","58","3","109","17","28","7","402","11","9","12","29.10.12"
"800549","218","м.Київ","школа №256, спортзал
вул.Озерна, 2А, м.Київ, 04209","2328","853","2301","24","1464","11","1475","","0","1464","11","1475","62","1413","627","33","20","7","115","9","15","50","2","89","16","14","4","379","7","12","14","29.10.12"
"800550","218","м.Київ","Академія муніципального управлвння, к.101
вул.Фрунзе, 164, м.Київ, 04073","2240","822","2204","17","1409","9","1418","","0","1408","9","1417","48","1369","542","29","10","8","72","8","5","39","3","283","15","12","6","311","10","5","11","29.10.12"
"800551","218","м.Київ","школа №8, 1-й поверх, хол
вул.Вишгородська, 6, м.Київ, 04074","2244","790","2230","19","1445","9","1454","","0","1445","9","1454","54","1400","460","39","9","6","64","6","2","35","3","392","10","20","6","322","10","8","8","29.10.12"
"800552","218","м.Київ","ЖЕК №512, актова зала
вул.Попова, 1, м.Київ, 04074","2272","869","2276","15","1392","11","1403","","0","1392","11","1403","63","1340","474","45","8","4","83","5","5","40","3","142","18","31","11","444","9","8","10","01.11.12"
"800553","218","м.Київ","школа №8, хол, 1-й поверх
вул.Вишгородська, 6, м.Київ, 04074","2364","955","2340","25","1396","13","1409","","0","1396","13","1409","62","1347","461","23","16","8","77","9","9","40","7","235","19","31","6","365","15","10","16","31.10.12"
"800554","218","м.Київ","школа №14, рекреаційне приміщення
вул.Макіївська, 5, м.Київ, 04074","2348","868","2337","22","1471","9","1480","","0","1469","9","1478","65","1413","539","65","8","9","101","9","10","65","6","170","14","19","2","352","12","12","20","30.10.12"
"800555","218","м.Київ","ліцей туризму, їдальня
вул.Агрегатна 9, м.Київ, 04074","2392","994","2359","26","1388","10","1398","","0","1388","10","1398","60","1338","493","45","18","5","89","9","0","44","6","136","20","19","7","419","8","9","11","30.10.12"
"800556","218","м.Київ","школа №14, спортивна зала
вул.Макіївська, 5, м.Київ, 04074","2456","1033","2412","26","1405","18","1423","","0","1405","18","1423","52","1371","432","88","11","5","89","11","6","42","2","160","24","21","4","443","6","12","15","29.10.12"
"800557","218","м.Київ","школа №14, вестибюль
вул.Макіївська, 5, м.Київ, 04074","2420","958","2406","22","1451","11","1462","","0","1451","11","1462","86","1376","564","73","16","8","96","12","2","56","3","147","14","23","6","323","10","10","13","29.10.12"
"800558","218","м.Київ","школа №14, спортивна зала
вул.Макіївська, 5, м.Київ, 04074","2120","808","2103","15","1302","10","1312","","0","1302","10","1312","51","1261","488","54","6","11","96","10","6","38","3","154","14","23","3","317","9","16","13","02.11.12"
"800559","218","м.Київ","школа №16, 1-й поверх
вул.Вишгородська, 42/1, м.Київ, 04114","2284","856","2253","15","1420","8","1428","","0","1418","8","1426","71","1355","554","43","9","2","94","9","0","44","3","157","18","24","5","348","15","17","13","29.10.12"
"800560","218","м.Київ","школа №16, 2-й поверх
вул.Вишгородська, 42/1, м.Київ, 04114","2244","956","2224","24","1268","20","1288","","0","1268","20","1288","54","1234","408","48","11","4","94","7","7","30","3","199","16","16","6","355","5","8","17","29.10.12"
"800561","218","м.Київ","ЖЕК №513, актова зала
вул.Автозаводська, 83, м.Київ, 04114","2280","997","2274","12","1279","4","1283","","0","1279","4","1283","63","1220","455","45","13","8","66","13","9","31","4","131","18","24","8","351","8","17","19","29.10.12"
"800562","218","м.Київ","бібліотека ім.П.Мирного, зала
вул.Кондратюка, 4Б, м.Київ, 04201","2240","855","2236","27","1365","20","1385","","0","1365","20","1385","78","1307","511","50","11","10","95","4","4","43","7","146","11","15","3","369","10","9","9","29.10.12"
