"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Антоненко
Юлія
Миколаївна","Бондаренко
Володимир
Дмитрович","Вінічук
Олександр
Миколайович","Волковой
Леонід
Анатолійович","Волошин
Андрій
Віталійович","Гальченко
Олександр
Володимирович","Грабар
Микола
Федорович","Гуменюк
Наталія
Володимирівна","Данилейко
Микола
Віталійович","Духота
Іван
Миколайович","Дьяконов
Ігор
Петрович","Копистко
Василь
Васильович","Курбацька
Ніна
Іванівна","Лащенко
Микола
Петрович","Линник
Олег
Миколайович","Миколаєнко
Тарас
Дмитрович","Осінчук
Остап
Мирославович","Пабат
Олександр
Вікторович","Петрусюк
Роман
Миколайович","Поліщук
Анатолій
Анатолійович","Пукас
Олексій
Опанасович","Савченко
Віталій
Анатолійович","Сугоняко
Олександр
Анатолійович"
"800702","219","м.Київ","школа №317, їдальня
вул.Булгакова, 12, м.Київ, 03134","2463","1023","2440","6","1436","4","1440","","0","1436","4","1440","59","1381","8","651","6","5","9","3","92","4","17","3","3","2","7","1","1","21","4","369","16","20","6","32",""
"800703","219","м.Київ","школа №317, їдальня
вул.Булгакова, 12, м.Київ, 03134","2496","833","2459","5","1661","2","1663","","0","1661","2","1663","58","1605","11","770","3","4","18","3","85","9","13","0","2","2","5","4","2","35","8","409","10","17","3","56",""
"800704","219","м.Київ","школа №317, вестибюль
вул.Булгакова, 12, м.Київ, 03134","2448","722","2418","7","1719","7","1726","","0","1719","7","1726","59","1667","9","836","4","5","32","2","95","5","10","3","3","2","7","2","3","35","5","416","8","23","1","54",""
"800705","219","м.Київ","КП ""ДУОЖФ"", актовий зал
вул.Симиренка, 17, м.Київ, 03134","2367","960","2356","6","1403","4","1407","","0","1403","4","1407","53","1354","9","586","2","12","7","2","57","6","20","0","2","1","6","5","1","20","9","380","21","16","0","57",""
"800706","219","м.Київ","Дитяча поліклініка №4, зал
вул.Симиренка, 38, м.Київ, 03134","2427","884","2407","1","1542","1","1543","","0","1542","1","1543","41","1502","10","564","3","7","13","0","66","7","19","5","5","4","9","6","4","21","21","499","18","28","1","53",""
"800707","219","м.Київ","школа №254, спортзал
просп.Корольова, 12М, м.Київ, 03134","2406","826","2389","5","1576","4","1580","","0","1576","4","1580","38","1542","7","708","2","2","6","1","73","7","12","1","0","1","6","2","3","15","9","490","12","12","4","43",""
"800708","219","м.Київ","школа №254, спортзал
просп.Корольова, 12М, м.Київ, 03134","2487","863","2464","10","1614","10","1624","","0","1614","10","1624","42","1582","6","590","6","9","12","1","62","3","19","0","4","1","4","1","1","22","2","635","14","15","3","49",""
"800709","219","м.Київ","школа №223, зал, 1-й поверх
вул.Жолудєва, 6Г, м.Київ, 03134","2301","931","2266","4","1367","3","1370","","0","1367","3","1370","45","1325","7","571","5","1","9","3","65","8","16","2","3","0","4","7","1","23","2","435","13","16","1","34",""
"800710","219","м.Київ","КП ""РЕО-1"", актовий зал
просп.Корольова, 10А, м.Київ, 03134","1734","605","1724","2","1128","1","1129","","0","1128","1","1129","24","1105","2","516","1","1","5","2","51","6","13","0","3","0","2","0","2","12","5","330","17","12","1","25",""
"800711","219","м.Київ","школа №223, спортзал
вул.Жолудєва, 6Г, м.Київ, 03134","2376","783","2356","5","1588","5","1593","","0","1587","5","1592","46","1546","6","712","2","5","7","1","91","10","16","0","2","5","4","4","3","13","6","486","11","21","3","39",""
"800712","219","м.Київ","школа №254, фойє
просп.Корольова, 12М, м.Київ, 03134","4317","2906","2154","12","1401","10","1411","","0","1401","10","1411","43","1368","6","666","1","5","12","3","78","3","14","3","1","3","1","3","0","17","1","345","19","10","3","43",""
"800713","219","м.Київ","школа №223, рекреація, 1-й поверх
вул.Жолудєва, 6Г, м.Київ, 03134","2379","808","2361","3","1569","2","1571","","0","1569","2","1571","57","1514","6","711","3","11","17","1","97","10","19","2","0","2","4","3","1","21","8","426","12","14","1","31",""
"800714","219","м.Київ","школа №297, спортзал
вул.Жолудєва, 3Г, м.Київ, 03134","2322","915","2309","6","1404","3","1407","","0","1404","3","1407","42","1365","12","516","4","3","17","3","95","10","18","1","6","2","5","1","2","25","13","438","13","8","2","39",""
"800715","219","м.Київ","школа №297, спортзал
вул.Жолудєва, 3Г, м.Київ, 03134","1815","664","1809","4","1149","2","1151","","0","1149","2","1151","36","1115","7","529","3","1","9","1","65","2","27","1","6","0","2","2","0","24","3","276","13","10","2","46",""
"800716","219","м.Київ","школа №235, рекреація, 1-й поверх
вул.Кільцева дорога, 1Б, м.Київ, 03134","1548","525","1535","1","1022","1","1023","","0","1022","1","1023","32","991","4","490","1","2","6","1","83","1","12","2","5","0","2","0","0","5","4","278","4","8","0","11",""
"800717","219","м.Київ","школа №235, вестибюль, 1-й поверх
вул.Кільцева дорога, 1Б, м.Київ, 03134","1881","733","1871","2","1146","2","1148","","0","1146","2","1148","61","1087","7","508","3","7","6","2","75","2","9","5","2","4","1","3","1","11","1","274","15","12","0","43",""
"800718","219","м.Київ","школа №235, спортзал
вул.Кільцева дорога, 1Б, м.Київ, 03134","2280","735","2268","7","1538","7","1545","","0","1537","7","1544","93","1451","8","639","8","7","8","3","84","16","12","2","4","6","2","2","1","16","3","440","10","18","1","36",""
