"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Арканова-Чорна
Ольга
Юріївна","Балабан
Іван
Костянтинович","Василенко
Олександр
Володимирович","Вельгус
В’ячеслав
Іванович","Вихристюк
Олексій
Анатолійович","Дідовець
Юрій
Вікторович","Древицький
Андрій
Юрійович","Задніпряний
Юрій
Анатолійович","Козьменко
Святослав
Любомирович","Лук’янюк
Микола
Володимирович","Лясота
Станіслава
Андріївна","Меленівська
Наталія
Василівна","Миронов
Валерій
Анатолійович","Міронов
Валерій
Євгенійович","Охріменко
Олексій
Васильович","Поміркований
Леонід
Олексійович","Романенко
Євген
Олександрович","Семак
Світлана
Петрівна","Семаш
Володимир
Адамович","Слабунов
Володимир
Анатолійович","Тімченко
Катерина
Василівна","Уманець
Анатолій
Опанасович","Федорченко
Ганна
Григорівна"
"800633","220","м.Київ","ліцей №100, вестибюль
вул.Покровська, 4-6, м.Київ, 04070","2502","1225","2468","16","1265","12","1277","","0","1265","12","1277","54","1223","107","87","11","47","1","20","0","12","20","16","9","5","24","104","5","4","27","20","15","1","24","55",""
"800634","220","м.Київ","школа №124, вестибюль
вул.Спаська, 16, м.Київ, 04070","2445","874","2438","22","1551","20","1571","","0","1551","20","1571","64","1507","83","87","15","78","5","29","0","27","14","11","9","5","26","153","2","6","24","12","17","1","16","38",""
"800635","220","м.Київ","гімназія №19, вестибюль
вул.Межигірська, 16, м.Київ, 04071","2433","910","2412","9","1517","6","1523","","0","1517","6","1523","59","1464","95","56","21","77","3","34","4","24","11","13","11","6","18","147","11","12","20","20","13","1","15","29",""
"800636","220","м.Київ","школа №17, вестибюль
вул.Фрунзе, 8, м.Київ, 04080","2451","929","2449","11","1511","11","1522","","0","1511","11","1522","41","1481","80","111","12","56","1","38","2","40","7","30","9","8","22","137","6","10","14","19","24","1","21","25",""
"800637","220","м.Київ","гімназія №107, ліве крило, вестибюль
вул.Введенська, 35, м.Київ, 04071","2508","1090","2489","5","1414","4","1418","","0","1414","4","1418","52","1366","118","89","10","55","7","30","2","33","21","19","6","5","13","114","3","13","15","11","18","1","21","26",""
"800638","220","м.Київ","СК ""Водник"", вестибюль
вул.Волоська, 62, м.Київ, 04070","2469","927","2446","9","1536","6","1542","","0","1536","6","1542","54","1488","120","106","4","63","4","47","4","18","14","31","4","4","17","130","9","3","26","17","28","1","18","22",""
"800639","220","м.Київ","гімназія №107, праве крило, вестибюль
вул.Введенська, 35, м.Київ, 04071","2379","1090","2376","11","1279","10","1289","","0","1279","10","1289","61","1228","95","103","11","46","0","30","0","27","7","33","7","4","22","158","2","2","13","10","22","2","20","16",""
"800640","220","м.Київ","Інститут авіаційної технології, вестибюль
вул.Фрунзе, 19-21, м.Київ, 04080","2433","930","2401","9","1497","6","1503","","0","1497","6","1503","47","1456","92","188","7","56","7","13","2","15","9","34","9","6","57","177","5","4","25","13","18","2","27","25",""
"800641","220","м.Київ","БК ""Ленінська кузня"", вестибюль
вул.Електриків, 26, м.Київ, 04176","1872","795","1880","1","1076","1","1077","","0","1076","1","1077","43","1034","104","46","13","30","10","10","0","12","17","15","12","7","38","268","12","5","3","19","14","2","14","12",""
"800642","220","м.Київ","БК ""Ленінська кузня"", актова зала
вул.Електриків, 26, м.Київ, 04176","1869","810","1856","2","1057","2","1059","","0","1057","2","1059","39","1020","57","140","8","22","7","9","0","17","7","17","5","3","16","199","4","4","13","14","11","2","14","12",""
"800643","220","м.Київ","школа №118, вестибюль
вул.Тульчинська, 5, м.Київ, 04080","2301","947","2275","21","1341","13","1354","","0","1341","13","1354","56","1298","227","60","1","47","5","17","1","33","6","6","5","6","19","164","6","4","4","10","16","1","18","13",""
"800644","220","м.Київ","спортбаза ""Спартак"", вестибюль
вул.Фрунзе, 105, м.Київ, 04073","2397","1088","2396","24","1294","15","1309","","0","1294","15","1309","33","1276","151","152","4","54","0","32","2","31","15","14","3","4","18","97","3","4","17","5","18","1","16","17",""
"800645","220","м.Київ","гімназія №123, спортивна зала 1
вул.Копилівська, 23, м.Київ, 04073","2382","878","2350","5","1499","5","1504","","0","1499","5","1504","54","1450","206","91","13","45","3","24","1","59","7","61","9","5","20","149","1","7","5","10","15","0","15","14",""
"800646","220","м.Київ","гімназія №123, спортивна зала 2
вул.Копилівська, 23, м.Київ, 04073","2385","1039","2358","16","1334","12","1346","","0","1333","12","1345","40","1305","205","77","5","57","3","38","2","44","8","38","2","4","16","115","0","5","11","5","8","0","18","21",""
"800647","220","м.Київ","бібліотека імені І.Франка, читальна зала
вул.Фрунзе, 117, м.Київ, 04073","2442","946","2411","12","1486","10","1496","","0","1486","10","1496","51","1445","231","71","8","54","2","27","2","41","9","65","6","1","33","145","2","14","14","9","19","2","18","21",""
"800648","220","м.Київ","школа №2, спортивна зала
вул.Копилівська, 36, м.Київ, 04073","2472","965","2455","22","1490","17","1507","","0","1490","17","1507","56","1451","219","138","5","55","4","34","0","28","5","15","4","0","27","165","5","4","12","6","14","2","14","16",""
"800649","220","м.Київ","Куренівське тролейбусне депо, актова зала
вул.Сирецька, 25, м.Київ, 04073","2415","1046","2403","12","1359","10","1369","","0","1359","10","1369","49","1320","196","84","13","38","4","32","4","27","7","51","2","1","12","110","5","3","16","8","16","3","13","12",""
"800650","220","м.Київ","школа №68, вестибюль
вул.Білицька, 41/43, м.Київ, 04078","2193","815","2165","11","1369","9","1378","","0","1368","9","1377","45","1332","70","174","10","27","4","62","2","33","10","29","4","7","30","207","1","4","15","9","17","2","10","16",""
"800651","220","м.Київ","агрокомбінат ""Пуща-Водиця"", їдальня
вул.Полкова, 57В, м.Київ, 04078","2487","786","2465","10","1692","9","1701","","0","1692","9","1701","45","1656","53","289","8","13","7","26","7","40","4","29","2","4","61","459","9","1","10","9","13","1","18","8",""
"800652","220","м.Київ","школа мистецтв імені С.Турчака, вестибюль
вул.Тираспольська, 49, м.Київ, 04136","1947","659","1929","5","1283","5","1288","","0","1283","5","1288","49","1239","67","180","11","25","2","21","0","53","10","6","4","4","14","109","8","10","17","16","16","3","10","19",""
"800653","220","м.Київ","школа №63, вестибюль
вул.Маршала Гречка, 10А, м.Київ, 04136","2142","845","2132","13","1288","9","1297","","0","1288","9","1297","40","1257","80","206","10","71","1","28","0","39","8","11","2","3","12","131","3","7","10","15","12","0","14","12",""
"800654","220","м.Київ","школа №63, їдальня
вул.Маршала Гречка, 10А, м.Київ, 04136","2121","821","2095","15","1288","12","1300","","0","1288","12","1300","51","1249","66","178","15","42","4","56","2","51","6","8","4","2","18","104","3","5","13","16","17","3","20","23",""
"800655","220","м.Київ","школа №45, праве крило, вестибюль
вул.Маршала Гречка, 22А, м.Київ, 04136","2115","742","2094","21","1355","18","1373","","0","1355","18","1373","50","1323","61","271","12","55","1","56","1","66","8","19","0","2","14","110","6","6","8","12","9","0","12","16",""
"800656","220","м.Київ","школа №45, ліве крило, вестибюль
вул.Маршала Гречка, 22А, м.Київ, 04136","2127","749","2115","13","1366","12","1378","","0","1365","12","1377","44","1333","55","201","4","46","4","45","0","48","14","17","3","2","26","137","3","7","15","12","7","2","19","17",""
"800657","220","м.Київ","Центральна районна поліклініка, вестибюль
вул.Мостицька, 9, м.Київ, 04074","2421","947","2401","17","1462","12","1474","","0","1462","12","1474","54","1420","101","233","6","35","3","26","2","32","7","15","4","3","14","150","2","2","11","9","7","2","22","9",""
"800658","220","м.Київ","Еколого-натуралістичний центр, вестибюль
вул.Вишгородська, 19, м.Київ, 04074","1938","727","1925","10","1203","8","1211","","0","1203","8","1211","35","1176","58","135","6","44","3","38","1","33","5","7","2","3","22","148","3","3","14","7","12","0","14","6",""
"800659","220","м.Київ","школа №271, ліве крило, вестибюль
вул.Мостицька, 16, м.Київ, 04074","2310","853","2305","10","1448","9","1457","","0","1448","9","1457","46","1411","78","164","9","48","9","46","1","40","17","11","7","2","17","136","4","7","17","17","14","3","9","19",""
"800660","220","м.Київ","школа №271, праве крило, кімната відпочинку
вул.Мостицька, 16, м.Київ, 04074","2169","766","2158","3","1400","3","1403","","0","1400","3","1403","38","1365","79","147","11","34","4","61","3","37","5","10","3","2","23","177","3","9","15","13","12","0","18","11",""
"800661","220","м.Київ","Центральна районна поліклініка, вестибюль
вул.Мостицька, 9, м.Київ, 04074","1968","667","1975","12","1291","10","1301","","0","1291","10","1301","36","1265","56","172","8","25","1","34","1","54","6","3","7","2","14","138","2","4","12","11","20","0","14","7",""
"800662","220","м.Київ","школа №243, ліве крило, вестибюль
вул.Новомостицька, 10, м.Київ, 04108","2286","869","2273","19","1405","12","1417","","0","1405","12","1417","41","1376","90","141","7","50","1","52","4","44","8","6","5","6","23","152","3","1","9","11","14","0","12","13",""
"800663","220","м.Київ","школа №243, праве крило, кімната відпочинку
вул.Новомостицька, 10, м.Київ, 04108","1977","685","1961","13","1280","12","1292","","0","1280","12","1292","36","1256","59","229","6","29","1","58","0","41","4","11","4","0","21","136","3","2","10","13","11","1","25","15",""
"800664","220","м.Київ","кінотеатр ""Пролісок"", кінозал
пров.Квітневий, 4, м.Київ, 04108","2244","688","2225","9","1549","7","1556","","0","1549","7","1556","55","1501","71","178","12","45","2","62","1","62","8","3","3","5","25","138","7","4","5","14","30","1","15","22",""
"800665","220","м.Київ","клуб ""Юність"", спортивна зала
пров.Квітневий, 4, м.Київ, 04108","2406","840","2384","5","1563","3","1566","","0","1563","3","1566","44","1522","75","259","7","26","2","68","4","42","10","11","2","4","18","138","5","2","11","19","12","2","20","11",""
"800666","220","м.Київ","школа №242, праве крило, вестибюль
просп.Правди, 64Г, м.Київ, 04108","2238","804","2216","11","1426","8","1434","","0","1426","8","1434","44","1390","75","214","7","49","4","56","0","73","6","11","1","7","16","155","2","7","9","11","16","1","14","14",""
"800667","220","м.Київ","школа №242, ліве крило, вестибюль
просп.Правди, 64Г, м.Київ, 04108","2355","857","2216","15","1488","10","1498","","0","1488","10","1498","36","1462","59","150","7","56","0","40","1","46","5","0","1","1","20","179","3","2","11","15","13","1","22","20",""
"800668","220","м.Київ","школа-інтернат №6, ліве крило, кімната відпочинку
вул.Світлицького, 31/7, м.Київ, 04123","2361","819","2339","14","1531","11","1542","","0","1531","11","1542","33","1509","66","186","10","50","2","69","2","93","5","4","8","4","24","154","5","6","7","12","11","0","15","17",""
"800669","220","м.Київ","школа-інтернат №6, праве крило, вестибюль
вул.Світлицького, 31/7, м.Київ, 04123","2400","868","2374","29","1506","26","1532","","0","1506","26","1532","50","1482","79","99","5","54","3","82","1","101","11","2","4","0","17","168","1","11","10","21","11","3","19","12",""
"800670","220","м.Київ","бібліотека імені К.Чуковського, читальна зала
просп.Правди, 88Б, м.Київ, 04208","2220","877","2202","23","1326","17","1343","","0","1326","17","1343","33","1310","83","141","9","38","0","78","3","146","7","5","4","3","22","123","3","1","9","15","12","1","34","19",""
"800671","220","м.Київ","школа №3, ліве крило, вестибюль
просп.Правди, 84, м.Київ, 04208","2394","885","2372","10","1499","10","1509","","0","1499","10","1509","35","1474","79","195","12","41","1","78","3","140","5","6","0","5","27","150","6","7","5","15","14","1","29","18",""
"800672","220","м.Київ","будинок дитячої творчості, тренувальна зала
просп.Правди, 96А, м.Київ, 04208","2439","926","2408","17","1499","14","1513","","0","1499","14","1513","52","1461","74","185","12","44","2","64","2","150","7","7","2","1","43","161","3","1","10","19","14","2","39","9",""
"800673","220","м.Київ","КП ""Синьоозерне"", актова зала
просп.Георгія Гонгадзе, 7А, м.Київ, 04208","2331","815","2309","12","1507","9","1516","","0","1507","9","1516","34","1482","70","116","12","62","5","90","0","103","4","15","3","4","17","146","4","2","11","39","18","2","15","15",""
"800674","220","м.Київ","школа №257, вестибюль
просп.Георгія Гонгадзе, 7Б, м.Київ, 04208","2436","825","2421","8","1606","5","1611","","0","1605","5","1610","50","1560","66","88","8","49","1","115","2","118","10","4","1","2","23","167","1","6","10","50","12","2","25","10",""
