"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Балашов
Геннадій
Вікторович","Власков
Віктор
Борисович","Гончар
Микола
Вікторович","Горбаль
Василь
Михайлович","Гудима
Олександр
Васильович","Діденко
Ярослав
Олександрович","Ємець
Леонід
Олександрович","Кондратьєв
Олександр
Володимирович","Коннов
Сергій
Володимирович","Кущ
Олексій
Іванович","Лобач
Юрій
Євгенович","Макар
Іван
Іванович","Пачковський
Сергій
Іванович","Федчук
Роман
Євгенович","Фомін
Ігор
Юрійович","Черненко
Віктор
Іванович","Черняховський
Віталій
Петрович","Шевчук
Валерій
Олександрович","Шлапак
Алла
Василівна","Дата підписання протоколу"
"800583","221","м.Київ","спеціалізована школа №94, хол, 2-й поверх
вул.Ольгинська, 2/4, м.Київ, 01001","1844","709","1839","33","1106","29","1135","","0","1106","29","1135","24","1111","42","7","15","135","16","215","363","59","14","34","4","22","4","2","14","4","6","7","148","29.10.12"
"800584","221","м.Київ","Український гуманітарний ліцей імені Т.Шевченка, вестибюль, 1-й поверх
пров.Козловського, 3, м.Київ, 01024","2196","866","2183","35","1300","30","1330","","0","1300","30","1330","34","1296","56","8","9","123","36","222","459","94","9","41","1","5","4","8","17","6","3","15","180","29.10.12"
"800585","221","м.Київ","Інститут фізіології імені О.О.Богомольця, хол, 1-й поверх
вул.Богомольця, 4, м.Київ, 01601","2484","1010","2487","33","1446","28","1474","","0","1446","28","1474","19","1455","49","4","10","165","30","271","471","99","15","56","1","18","4","11","5","15","6","12","213","29.10.12"
"800586","221","м.Київ","гімназія №117, актова зала, 2-й поверх
вул.Лютеранська, 10, м.Київ, 01024","1956","836","1952","30","1094","26","1120","","0","1094","26","1120","31","1089","33","8","9","93","23","201","404","50","16","27","1","13","1","14","12","5","11","4","164","29.10.12"
"800587","221","м.Київ","ліцей №51, фойє, 1-й поверх
вул.Пилипа Орлика, 13, м.Київ, 01024","1320","439","1312","21","863","18","881","","0","863","18","881","27","854","22","0","3","99","13","146","274","80","3","9","1","11","3","8","2","2","4","1","173","29.10.12"
"800588","221","м.Київ","Центральний будинок офіцерів Збройних Сил України, актова зала
вул.Михайла Грушевського, 30/1, м.Київ, 01021","1808","679","1802","18","1112","17","1129","","0","1112","17","1129","31","1098","36","4","4","115","12","260","359","67","9","23","0","12","1","10","10","6","2","10","158","29.10.12"
"800589","221","м.Київ","школа №90, вестибюль, 2-й поверх
вул.Лаврська, 2, м.Київ, 01010","1676","662","1685","39","984","30","1014","","0","984","30","1014","29","985","34","5","8","103","15","221","293","82","5","23","1","12","2","4","4","9","3","9","152","29.10.12"
"800590","221","м.Київ","Центр художньої та технічної творчості ""Печерськ"", мала зала, 1-й поверх
вул.Московська, 3, м.Київ, 01010","2204","772","2192","17","1415","17","1432","","0","1415","17","1432","40","1392","32","5","13","136","14","355","423","106","10","28","5","19","5","14","6","12","9","10","190","29.10.12"
"800591","221","м.Київ","гімназія №75, каб.18, 1-й поверх
вул.Андрія Іванова, 11, м.Київ, 01010","2104","657","2103","26","1424","23","1447","","0","1424","23","1447","32","1415","50","5","6","104","12","339","472","113","6","39","3","4","5","4","5","8","1","12","227","29.10.12"
"800592","221","м.Київ","спеціалізована школа №89, мала зала, 1-й поверх
вул.Рибальська, 4, м.Київ, 01011","1736","660","1714","21","1057","19","1076","","0","1057","19","1076","22","1054","39","1","5","76","21","274","319","45","5","18","3","7","3","3","2","5","3","11","214","29.10.12"
