"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Агатій
Вадим
Іванович","Андрієвський
Віктор
Миколайович","Андрієвський
Дмитро
Йосипович","Билінська
Олена
Олександрівна","Булгаков
Валерій
Андрійович","Грицишин
Ілля
Юрійович","Клепач
Ігор
Вікторович","Костюшко
Олег
Петрович","Лисак
Андрій
Васильович","Луговець
Олександр
Михайлович","Луцький
Максим
Георгійович","Мєшковой
Антон
Олександрович","Назарова
Рена
Рафіковна","Пронь
Сергій
Миколайович","Скрипець
Валентин
Вікторович","Смірнов
Антон
Миколайович","Старіков
Олег
Іванович","Стельмашов
Артем
Кирилович","Стрижко
Галина
Василівна","Шафаренко
Жанна
Юріївна","Шипінський
Владислав
Станіславович","Дата підписання протоколу"
"000001","222","м.Київ","актова зала
просп.Комарова, 3, м.Київ, 03680","228","94","143","0","134","0","134","","0","134","0","134","7","127","1","2","15","0","3","2","0","0","6","2","76","3","10","0","1","0","0","2","1","3","0","28.10.12"
"800844","222","м.Київ","ВАТ НВП ""Каскад"", хол
просп.Повітрофлотський, 54, м.Київ, 03151","1920","736","1918","18","1171","13","1184","","0","1171","13","1184","46","1138","4","32","385","7","79","3","1","23","6","7","232","10","299","1","5","7","4","6","3","21","3","29.10.12"
"800845","222","м.Київ","школа №69, хол
вул.Донецька, 25, м.Київ, 03151","2132","853","2112","7","1276","3","1279","","1","1276","3","1279","45","1234","6","35","387","7","63","5","2","36","5","8","261","12","343","2","9","6","6","4","3","30","4","29.10.12"
"800846","222","м.Київ","школа №69, хол
вул.Донецька, 25, м.Київ, 03151","2156","872","2157","7","1279","5","1284","","0","0","0","1284","49","1233","1","32","429","3","59","2","5","26","10","13","250","10","329","4","7","9","5","6","3","26","4","31.10.12"
"800847","222","м.Київ","спеціалізована школа №64, спортивна зала
вул.Ушинського, 32, м.Київ, 03151","1920","716","1909","6","1200","4","1204","","0","1199","4","1203","48","1155","7","22","399","8","52","6","1","20","4","12","190","8","329","4","7","7","2","6","2","67","2","29.10.12"
"800848","222","м.Київ","спеціалізована школа №64, вестибюль
вул.Ушинського, 32, м.Київ, 03151","2552","1250","2599","2","1300","2","1302","","0","1300","2","1302","42","1260","8","18","251","10","62","7","5","30","16","11","512","12","258","3","5","11","8","7","5","20","1","01.11.12"
"800849","222","м.Київ","Науково-методичний центр аграрної освіти Мінагрополітики, хол, актова зала
вул.Смілянська, 11, м.Київ, 03151","2028","811","2007","12","1206","11","1217","","0","1206","11","1217","29","1188","4","42","408","3","50","3","0","28","16","11","230","13","298","3","10","17","3","8","4","30","7","29.10.12"
"800852","222","м.Київ","вечірня школа №3, рекреація
вул.Ушинського, 15, м.Київ, 02151","2252","830","2248","21","1404","18","1422","","0","1404","18","1422","54","1368","4","47","474","11","76","0","4","43","15","13","268","7","324","6","9","16","6","6","6","30","3","29.10.12"
"800853","222","м.Київ","КП ""Чоколівське"", актова зала
вул.Волинська, 4А, м.Київ, 03087","1668","758","1651","14","902","8","910","","0","902","8","910","29","881","2","20","274","3","53","3","2","31","9","11","216","8","207","2","3","5","5","4","1","20","2","29.10.12"
"800854","222","м.Київ","Управління ветеринарної медицини, актова зала, хол
вул.Волинська, 12, м.Київ, 03151","2364","878","2367","25","1468","18","1486","","0","1468","18","1486","46","1440","9","42","472","10","85","4","4","41","20","16","278","9","368","2","18","9","9","6","2","31","5","29.10.12"
