"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Брицький
Руслан
Михайлович","Бузина
Олесь
Олексійович","Гайдук
Андрій
Валерійович","Гладчук
Вадим
Федорович","Глущенко
Артем
Ігорович","Голодняк
Микола
Володимирович","Колбун
Микола
Дмитрович","Куташев
Ігор
Вікторович","Лебедівський
Валерій
Анатолійович","Левченко
Юрій
Володимирович","Ліснича
Вікторія
Миколаївна","Олексюк
Федір
Юрійович","Осадчий
Євгеній
Сергійович","Панченко
Сергій
Федорович","Пархоменко
Ігор
Леонідович","Пилипишин
Віктор
Петрович","Розинська
Наталія
Миколаївна","Супрун
Юрій
Михайлович","Тарима
Сергій
Миколайович","Хмара
Степан
Ілліч","Шаповал
Ігор
Володимирович","Швидкін
Андрій
Олександрович","Шум
Олександр
Вікторович"
"000001","223","м.Київ","Київський слідчий ізолятор
вул.Дегтярівська, 13, м. Київ","3280","259","3041","26","2995","26","3021","","0","2995","26","3021","321","2700","301","107","23","19","44","43","16","96","13","113","142","10","30","22","28","1286","169","29","20","75","43","19",""
"000002","223","м.Київ","
пров.Косогірний, 7, м. Київ","52","11","41","0","41","0","41","","0","41","0","41","1","40","11","3","1","0","0","0","0","4","0","3","0","0","0","0","0","12","2","2","0","0","0","0",""
"800965","223","м.Київ","школа №25, коридор, 2-й поверх
вул.Володимирська, 1/15, м.Київ, 01025","1424","578","1410","13","838","10","848","","0","836","10","846","31","815","155","95","1","3","4","2","15","38","18","261","15","0","3","5","0","109","10","2","1","50","25","0",""
"800968","223","м.Київ","Університет імені М.Драгоманова, хол, 1-й поверх
вул.Пирогова, 9, м.Київ, 01030","1148","407","1140","14","728","13","741","","0","728","13","741","23","718","113","85","2","1","3","3","2","28","9","244","12","2","3","3","1","116","6","2","0","52","29","2",""
"800969","223","м.Київ","поліклініка №1, хол, 1-й поверх
вул.Хмельницького Богдана, 37/1, м.Київ, 01030","1628","680","1630","18","933","15","948","","0","933","15","948","24","924","190","81","1","4","8","3","7","56","5","278","10","3","4","5","1","145","12","3","0","49","47","4",""
"800970","223","м.Київ","школа №49, вестибюль, 1-й поверх
вул.Ярославів Вал, 27, м.Київ, 01034","1596","544","1600","13","1042","10","1052","","0","1042","10","1052","26","1026","172","111","2","4","6","1","7","66","13","341","11","2","9","14","0","160","7","0","0","54","38","2",""
"800971","223","м.Київ","клуб ""Соколятко"" КП ""Дитячі мріїї"", хол, 1-й поверх
вул.Смирнова-Ласточкіна, 14, м.Київ, 04053","768","268","771","9","494","6","500","","0","494","6","500","18","482","65","48","0","4","3","0","5","19","11","184","5","0","1","3","1","87","10","2","0","16","18","0",""
"800972","223","м.Київ","коледж Київського національно-економічного уніврситету, вестибюль, 2-й поверх
Львівська площа, 14, м.Київ, 04053","1164","430","1159","13","721","13","734","","0","721","13","734","29","704","107","94","1","5","3","3","6","28","16","220","13","0","3","4","0","97","7","0","1","56","35","2",""
"800973","223","м.Київ","школа №91, хол, 1-й поверх
пров.Чеховський, 4А, м.Київ, 01054","1100","335","1098","7","759","6","765","","0","759","6","765","15","750","100","74","1","7","1","0","4","30","7","298","9","0","0","2","0","124","3","0","1","40","46","1",""
"800974","223","м.Київ","школа №58, актова зала, 3-й поверх
пров.Белінського, 3, м.Київ, 01032","840","311","833","4","525","4","529","","0","525","4","529","11","518","97","37","2","3","2","3","9","23","6","172","4","3","0","5","0","83","3","3","1","34","26","0",""
