"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Бєлогорцев
Дмитро
Альбертович","Васильченко
Федір
Анатолійович","Дємєнок
Олексій
Вікторович","Дьяченко
Василь
Іванович","Зеленчук
Василь
Васильович","Колесніченко
Вадим
Васильович","Неганов
Віктор
Вадимович","Пархоменко
Василь
Михайлович","Пархоменко
Марина
Анатоліївна","Пархоменко
Юрій
Володимирович","Пермінов
Олександр
Павлович","Печенева
Юлія
Миколаївна","Помогалов
Микола
Миколайович","Рижова
Галина
Мар’янівна","Тітова
Олена
Володимирівна","Хвальков
Олександр
Петрович","Шамрай
Роман
Віталійович","Дата підписання протоколу"
"850088","225","м.Севастополь","будівельний технікум, актовий зал
вул.Пожарова, 28А, м.Севастополь, 99008","1016","563","1012","8","447","6","453","","0","447","6","453","15","438","3","8","20","4","40","207","3","76","4","2","2","23","31","4","1","3","7","28.10.12"
"850089","225","м.Севастополь","КП ""Діловій та культурний центр"", хол, 1-й поверх
пл.Восставших, 6, м.Севастополь, 99008","1328","741","1328","6","582","5","587","","0","582","5","587","21","566","0","14","27","5","75","229","1","101","6","4","10","17","56","2","6","9","4","28.10.12"
"850090","225","м.Севастополь","магазин ""Мартинова бухта"", хол
вул.Катерна, 10, м.Севастополь, 99008","784","452","776","13","321","11","332","","0","321","11","332","7","325","2","8","3","3","48","153","3","59","2","1","6","8","22","2","2","3","0","28.10.12"
"850091","225","м.Севастополь","філія ЗАТ ""Кримніопроект"", приміщення для засідань
вул.Демідова, 13, м.Севастополь, 99011","1072","580","1082","14","481","11","492","","0","480","11","491","18","473","6","18","11","1","59","194","2","100","3","1","5","19","35","1","4","10","4","31.10.12"
"850092","225","м.Севастополь","вечірня школа №1, каб.1
вул.Щербака, 12, м.Севастополь, 99011","1504","904","1495","12","593","7","600","","0","593","7","600","14","586","4","16","15","4","83","251","7","101","8","2","13","23","38","4","4","11","2","29.10.12"
"850093","225","м.Севастополь","школа №44, хол, 1-й поверх
вул.Одеська, 5, м.Севастополь, 99011","664","308","663","7","351","5","356","","0","351","5","356","5","351","3","7","12","0","47","138","3","75","2","2","6","13","24","5","2","10","2","28.10.12"
"850094","225","м.Севастополь","ВАТ ""Югрибтехцентр"", зал, 1-й поверх
вул.Кулакова, 58, м.Севастополь, 99011","1288","626","1284","22","655","7","662","","0","655","7","662","15","647","3","23","21","2","78","274","0","161","3","3","3","13","45","6","3","9","0","28.10.12"
"850095","225","м.Севастополь","школа №39, хол, 1-й поверх
вул.Очаковців, 25, м.Севастополь, 99011","784","324","768","21","443","17","460","","0","443","17","460","21","439","5","9","12","3","51","202","2","73","4","2","3","17","28","7","5","13","3","29.10.12"
"850096","225","м.Севастополь","МКП ""Севміськводоканал"", конференц-зал, 3-й поверх
вул.Адмірала Октябрьського, 4, м.Севастополь, 99011","996","470","987","23","508","18","526","","0","508","18","526","11","515","4","14","12","2","58","227","2","109","2","3","7","13","46","0","6","8","2","28.10.12"
"850097","225","м.Севастополь","школа №3, шкільний коридор, 1-й поверх
вул.Советська, 57, м.Севастополь, 99011","760","336","759","14","417","7","424","","0","417","7","424","7","417","5","7","11","5","38","170","2","69","1","2","4","18","30","2","0","52","1","29.10.12"
"850098","225","м.Севастополь","школа №1, хол
вул.Суворова, 10, м.Севастополь, 99011","2220","1155","2208","46","1026","39","1065","","0","1026","39","1065","24","1041","9","24","32","15","126","448","8","174","3","6","7","28","94","3","6","55","3","29.10.12"
"850099","225","м.Севастополь","кінотеатр ""Україна"", приміщення для засідань
вул.Леніна, 35, м.Севастополь, 99011","720","338","712","11","374","8","382","","0","374","8","382","9","373","0","9","8","6","36","178","0","53","4","4","3","11","32","0","2","24","3","29.10.12"
"850100","225","м.Севастополь","Севастопольський національний технічний університет, зал засідань
вул.Гоголя, 14, м.Севастополь, 99011","1124","566","1113","24","543","15","558","","0","543","15","558","22","536","9","12","14","5","69","210","4","106","4","5","3","22","51","1","7","9","5","29.10.12"
"850101","225","м.Севастополь","дошкільний навчальний заклад №22, музичний зал, 1-й поверх
вул.Гоголя, 33А, м.Севастополь, 99011","1172","719","1160","18","439","14","453","","0","439","14","453","15","438","2","6","8","3","57","187","7","92","4","5","10","28","15","2","6","5","1","29.10.12"
"850102","225","м.Севастополь","комерційний технікум, хол
вул.Кожанова, 2, м.Севастополь, 99003","556","295","555","9","257","4","261","","0","257","4","261","3","258","3","3","10","1","35","98","0","51","2","1","0","12","36","0","1","5","0","28.10.12"
"850103","225","м.Севастополь","школа №45, актовий зал, 1-й поверх
вул.Івана Голубця, 1, м.Севастополь, 99003","1004","484","994","22","506","14","520","","0","506","14","520","10","510","1","9","9","2","80","222","4","114","5","1","3","17","36","2","1","2","2","28.10.12"
"850104","225","м.Севастополь","технічний ліцей, актовий зал, 1-й поверх
вул.Олега Кошевого, 1, м.Севастополь, 99007","1544","805","1522","27","719","20","739","","0","719","20","739","30","709","3","24","21","3","81","312","7","136","4","2","9","24","54","5","9","10","5","28.10.12"
