"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","Latitude","Longitude","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Акашев
Валентин
Анатолійович","Вітушко
Олег
Вікторович","Гудов
Іван
Ілліч","Корж
Євген
Юрійович","Кравченко
Микола
Васильович","Пономаренко
Ілля
Миколайович","Пономарьов
Андрій
Вікторович","Сурін
Андрій
Миколайович","Герасимчук
Анатолій
Андрійович","Коваленко
Василь
Васильович","Міщенко
Ігор
Іванович","Раковський
Олександр
Степанович","Риженков
Олександр
Миколайович","Філіндаш
Сергій
Миколайович","Ясько
Геннадій
Геннадійович","Борковець
Алла
Олексіївна","Васильєв
Олександр
Андрійович","Прилепський
Віктор
Володимирович","Сучков
Олексій
Анатолійович","Шанова
Людмила
Миколаївна","Асєєв
Олег
Анатолійович","Білий
Олексій
Петрович","Гудзюк
Сергій
Степанович","Дейнєс
Віталій
Геннадійович","Конишев
Геннадій
Аркадійович","Красновський
Сергій
Борисович","Решетняк
Ігор
Миколайович","Тіхонова
Лілія
Валентинівна","Асєєв
Ігор
Анатолійович","Забавін
Дмитро
В’ячеславович","Матвієнков
Сергій
Анатолійович","Мороз
Анатолій
Михайлович","Пуговкін
Дмитро
Юрійович","Романюк
Олександр
Володимирович","Щербаков
Сергій
Андрійович","Яременко
Микола
Дмитрович","Бакуліна
Наталія
Василівна","Борт
Віталій
Петрович","Молоков
Денис
Геннадійович","Наумов
Олександр
Олександрович","Новаковський
Іван
Сергійович","Поліванов
Олег
Олександрович","Ткачук
Лариса
Віталіївна","Бєліков
Юрій
Миколайович","Кисельов
Юрій
Анатолійович","Ложечкін
Вадим
Сергійович","Нагорний
Тимофій
Олександрович","Новиков
Станіслав
Олегович","Омельченко
Валерій
Павлович","Волинець
Євгеній
Валерійович","Здор
Костянтин
Семенович","Кушніров
Олександр
Леонідович","Лук’янов
Владислав
Валентинович","Півень
Микола
Іванович","Подорожко
Євген
Сергійович","Романченко
Олексій
Віталійович","Волошин
Геннадій
Якович","Литвинов
Леонід
Федорович","Славгородський
Ігор
Васильович","Стужук
Микола
Олександрович","Другашов
Дмитро
Олександрович","Жмурко
Андрій
Анатолійович","Поддубний
Володимир
Анатолійович","Подколзін
Тимур
Сергійович","Попов
Василь
Миколайович","Проценко
Володимир
Васильович","Рибак
Володимир
Іванович","Рижков
Анатолій
Іванович","Шкіря
Ігор
Миколайович","Алишев
Олександр
Миколайович","Антип
Петро
Іванович","Березовий
Микола
Вікторович","Весьолкін
Володимир
Юрійович","Вініченко
Сергій
Вікторович","Герасимов
Артур
Володимирович","Гончаров
Анатолій
Дмитрович","Карпушев
Олексій
Олександрович","Поляков
Віталій
Дмитрійович","Попов
Роман
Валентинович","П’ятько
Роман
Анатолійович","Черненко
Віталій
Григорович","Шило
Віталій
Олександрович","Байсаров
Леонід
Володимирович","Єлін
Ілля
Костянтинович","Єрмоленко
Олена
Олександрівна","Яструбенко
Олександр
Васильович","Гур
Юлія
Олександрівна","Омельянович
Денис
Сергійович","Ходус
Микола
Олександрович","Шипілов
Олег
Федорович","Боярський
Юрій
Іванович","Гордієнко
Сергій
Леонідович","Городенський
Максим
Олексійович","Корнієнко
Сергій
Миколайович","Кривошеєв
Дмитро
Олексійович","Ржавський
Володимир
Іванович","Сопельник
Віктор
Іванович","Азаров
Олексій
Миколайович","Бондарєв
Вадим
Анатолійович","Вєкуа
Фрідон
Напойович","Єрмак
Олег
Віталійович","Зонтов
Олег
Вячеславович","Казацький
Дмитро
Геннадійович","Котенко
Олег
Олексійович","Мельник
Віталій
Володимирович","Підлісний
Ігор
Павлович","Хмельовий
Анатолій
Петрович","Єрдакій
Олег
Миколайович","Каплунов
Денис
Вікторович","Капля
Вадим
Вікторович","Клюєв
Сергій
Петрович","Матейченко
Костянтин
Володимирович","Теплицький
Валерій
Павлович","Волкова
Ольга
Іванівна","Гришко
Олег
Борисович","Звягільський
Юхим
Леонідович","Сінілов
Олександр
Валерійович","Топузов
Олександр
Юрійович","Волинко
Микола
Миколайович","Жнівін
Сергій
Юрійович","Кравченко
Анатолій
Васильович","Левицький
Євген
Леонідович","Левченко
Микола
Олександрович","Лигін
Роман
Олександрович","Лягін
Роман
Вікторович","Нікітін
Станіслав
Олександрович","Симоненко
Олександр
Борисович","Абрамчук
Євген
Миколайович","Бунтовський
Сергій
Юрійович","Вельдяксова
Ольга
Олександрівна","Волков
Роман
Юрійович","Екштейн
Інна
Миколаївна","Коваленко
Юрій
Тимофійович","Кутепов
Микола
Леонідович","Ландик
Валентин
Іванович","Лівочка
Олександр
Васильович","Рищенко
Наталя
Ашотовна","Анікушин
Сергій
Ігорович","Бахтеєва
Тетяна
Дмитрівна","Лук’янець
Володимир
Васильович","Талишев
Євген
Іванович","Шейко
Вольга
Василівна","Юрчак
Вадим
Олександрович","Бобков
Олександр
Михайлович","Деркач
Володимир
Григорович","Заярний
Артем
Олексійович","Скакун
Павло
Петрович","Дата підписання протоколу"
"140001","61","Донецька область","вул.Урицького, 3, м.Амвросіївка, Амвросіївський р-н, Донецька обл., 87300","47.7995684","38.4661534","1288","576","1258","74","647","65","712","","0","647","65","712","33","679","7","12","15","17","208","37","307","76","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"140002","61","Донецька область","вул.Фрунзе, 19, м.Амвросіївка, Амвросіївський р-н, Донецька обл., 87300","47.7962237","38.4758435","1120","502","1093","61","570","48","618","","0","570","48","618","30","588","9","13","10","24","180","45","262","45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","01.11.12"
"140003","61","Донецька область","вул.2 П’ятирічка, 17, м.Амвросіївка, Амвросіївський р-н, Донецька обл., 87300","47.7919385","38.4680613","1192","476","1176","105","619","97","716","","0","619","97","716","26","690","8","16","19","21","186","48","325","67","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"140004","61","Донецька область","вул.Кутузова, 37, м.Амвросіївка, Амвросіївський р-н, Донецька обл., 87300","47.7812283","38.4776386","1944","817","1891","101","1040","87","1127","","0","1040","87","1127","46","1081","13","33","14","54","310","67","486","104","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"140005","61","Донецька область","вул.Леніна, 7, м.Амвросіївка, Амвросіївський р-н, Донецька обл., 87300","47.8001324","38.4799626","776","400","747","34","349","27","376","","0","349","27","376","20","356","3","6","11","8","103","21","170","34","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.10.12"
"140006","61","Донецька область","вул.Леніна, 15, м.Амвросіївка, Амвросіївський р-н, Донецька обл., 87300","47.8001324","38.4799626","944","397","940","54","501","46","547","","0","501","46","547","22","525","6","12","15","22","108","49","268","45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"140008","61","Донецька область","пл.ім.Леніна, 1, м.Амвросіївка, Амвросіївський р-н, Донецька обл., 87300","47.80001","38.48035","984","442","956","47","501","41","542","","0","501","41","542","21","521","4","13","13","24","147","26","233","61","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.10.12"
"140009","61","Донецька область","вул.Свободи, 2А, м.Амвросіївка, Амвросіївський р-н, Донецька обл., 87300","47.79001","38.49945","1856","769","1827","41","1049","38","1087","","0","1049","38","1087","46","1041","15","29","32","49","238","69","513","96","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.10.12"
"140010","61","Донецька область","вул.Молодіжна, 3А, м.Амвросіївка, Амвросіївський р-н, Донецька обл., 87300","47.7862082","38.4919997","1912","766","1883","72","1087","59","1146","","0","1087","59","1146","57","1089","7","38","35","33","256","83","550","87","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"140011","61","Донецька область","вул.8 з’їзд рад, 100А, м.Амвросіївка, Амвросіївський р-н, Донецька обл., 87300","47.788577","38.4974472","1576","606","1553","46","934","36","970","","0","934","36","970","45","925","11","26","18","40","164","76","510","80","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"140012","61","Донецька область","вул.Ульяновська, 40, м.Амвросіївка, Амвросіївський р-н, Донецька обл., 87300","47.7992599","38.50258","1136","578","1087","54","510","48","558","","0","510","48","558","27","531","7","13","6","13","129","37","278","48","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"140014","61","Донецька область","вул.Шкільна, 55, смт Кутейникове, Амвросіївський р-н, Донецька обл., 87321","47.81075","38.28566","1424","484","1396","77","863","77","940","","0","863","77","940","35","905","8","18","31","32","240","58","419","99","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"140015","61","Донецька область","вул.Миру, 5А, смт Новоамвросіївське, Амвросіївський р-н, Донецька обл., 87333","47.83462","38.5001","1728","475","1715","115","1138","115","1253","","0","1138","115","1253","50","1203","10","27","49","33","334","69","555","126","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"140017","61","Донецька область","вул.Шкільна, 2, с.Карпово-Надеждинка, Амвросіївський р-н, Донецька обл., 87341","47.82320023","38.57949829","472","126","469","36","310","36","346","","0","310","36","346","12","334","4","1","8","7","39","22","199","54","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.10.12"
